기준_년분기_코드,계절,상권_구분_코드_명,상권_코드_명,매출_금액,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,출근_매출_금액,점심_매출_금액,퇴근_매출_금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,출근_유동인구_수,점심_유동인구_수,퇴근_유동인구_수,주중_유동인구_수,주말_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20241,봄,골목상권,도신초등학교,13359723143.0,11259518763.0,2100204380.0,6519915622.0,3053532120.0,3504188088.0,9133302604.0,722232451.0,825667,403167,422501,414335,177866,233464,580968,244698,393,256,137
20241,봄,전통시장,도화동 상점가,30249543941.0,23818577939.0,6430966002.0,15366534588.0,9215702329.0,2946713138.0,9079679282.0,18223151521.0,1580927,736117,844811,531416,512010,537500,1153921,427006,2419,1469,950
20241,봄,골목상권,독립문역 1번,4995096821.0,4569641818.0,425455003.0,2333808836.0,2494054414.0,1172737227.0,3068357798.0,754001796.0,517847,226914,290934,219530,144840,153479,374072,143780,403,109,294
20241,봄,발달상권,63빌딩,25832663628.0,24651470050.0,1181193578.0,18167520287.0,5278512440.0,8995803218.0,15110127030.0,1726733380.0,62134,31901,30233,24777,21794,15563,48180,13956,8016,5688,2328
20241,봄,발달상권,DMC(디지털미디어시티),43846405259.0,38338088358.0,5508316901.0,17704063891.0,15995627480.0,5393218652.0,26187554024.0,12265632583.0,504301,249612,254689,157314,214064,132923,418206,86096,12628,7785,4843
20241,봄,골목상권,GS강동자이아파트,2129201037.0,1524862734.0,604338303.0,1208087949.0,816252878.0,201370222.0,883062731.0,1044768084.0,829493,390022,439469,387147,195380,246964,569935,259557,282,144,138
20241,봄,골목상권,G타워,2552905848.0,1878170186.0,674735662.0,1780755488.0,695099284.0,564252203.0,575111521.0,1413542124.0,343585,197255,146329,166684,89110,87789,258525,85056,2711,1778,933
20241,봄,골목상권,후암동주민센터,7370589509.0,5602067064.0,1768522445.0,2989562235.0,3105682529.0,614807822.0,3305474992.0,3450306695.0,2164454,1027045,1137408,1158771,439663,566019,1538245,626208,1044,619,425
20241,봄,골목상권,화계역 2번,100019816.0,70538089.0,29481727.0,74751410.0,25268406.0,7766398.0,18137381.0,74116037.0,564485,257363,307121,304883,119481,140121,396359,168124,11,6,5
20241,봄,골목상권,화계중학교,80939050.0,46323677.0,34615373.0,32835304.0,39064261.0,0.0,48016716.0,32922334.0,333098,157071,176027,162028,89939,81131,245225,87872,46,21,25
20241,봄,골목상권,화곡2동주민센터,5133919397.0,4112327720.0,1021591677.0,2581802766.0,2507442676.0,519901605.0,2418279317.0,2195738475.0,1547550,699960,847591,786453,314987,446110,1087146,460405,1708,1043,665
20241,봄,골목상권,화곡4동주민센터,1494690627.0,1058245794.0,436444833.0,916101574.0,553390363.0,280023017.0,402927067.0,811740543.0,1498951,673495,825456,815593,289989,393368,1064592,434360,309,156,153
20241,봄,골목상권,홍제역 2번,1354069489.0,1008020288.0,346049201.0,731298376.0,566311265.0,145599034.0,501999529.0,706470926.0,473219,207508,265711,223836,107484,141900,328981,144236,132,65,67
20241,봄,골목상권,홍제역 3번,295992085.0,210116481.0,85875604.0,159842421.0,136005406.0,67264430.0,91877886.0,136849769.0,301549,131735,169812,121957,77686,101902,219943,81606,822,419,403
20241,봄,발달상권,휘문고교사거리,37058830304.0,35521695275.0,1537135029.0,29334908273.0,7040130059.0,8163492470.0,17081883268.0,11813454566.0,335363,190135,145229,106777,146965,81622,271306,64056,12183,6813,5370
20241,봄,전통시장,흑석시장,756293061.0,583406763.0,172886298.0,344171263.0,384469248.0,79573548.0,440321639.0,236397874.0,84704,39436,45268,30648,26329,27729,62149,22555,1,1,0
