번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","나에게도 빵빵한 하루가 필요해!","개띠랑,이다솜,두루 지음","개띠랑","2024","9791198016980","","","","818","1","2","2024-12-09",
"2","위대한 게임의 시작 : 게임 시나리오 작법 - 플레이어를 몰입시키는 스토리텔링 기술부터 RPG, AOS, VR/AR 게임 기획까지","이진희 지음","한빛미디어","2024","9791169212915","","","","691.15","1","2","2024-11-07",
"3","게임 밸런스 수치 기획 바이블 - 유저를 붙잡아두는 수치 기획의 모든 것","위안자오양 지음, 권유라 옮김","Jpub(제이펍)","2024","9791193926291","","","","691.15","1","2","2024-11-07",
"4","진정한 기독교적 위로 :성부 하나님과 성자 하나님의 사역과 그 위로 ","이승구 지음","말씀과 언약","2022","9791197060175","","9","","231.8","1","1","2024-10-19",
"5","트렌드 코리아 2025 :2025 대한민국 소비트렌드 전망 ","김난도 [외] 지음","미래의창","2024","9788959897223","","1","","320.911","1","8","2024-10-19",
"6","영원한 천국 :정유정 장편소설 ","정유정 지음","은행나무","2024","9791167374561","","0","","813.6","1","5","2024-10-19",
"7","대온실 수리 보고서 :김금희 장편소설 ","김금희 지음","창비","2024","9788936439651","","0","","813.6","1","5","2024-10-19",
"8","이중 하나는 거짓말 :김애란 장편소설 ","김애란 지음","문학동네","2024","9791141601300","","0","","813.6","1","6","2024-10-19",
"9","알리야 물결, 약속의 땅으로 :예언과 성취로 이루어진 4천 년 역사 속 이스라엘 귀환 스토리 ","홍광석 지음","홈앤에듀","2023","9791197800740","","0","","233","1","2","2024-10-19",
"10","긍정의 야구 :실패는 철저히 버린다, 오효주와 이정후의 깊은 면담 ","오효주,이정후 지음","BS(브레인스토어)","2023","9791169780209","","0","","695.704","1","1","2024-10-19",
"11","디자인씽킹, 비즈니스 현장을 겪다 :혁신적 아이디어는 어떻게 현실에 구현되는가? ","손일상,양경목,윤영웅 [공]지음","워터베어프레스","2024","9791191484205","","0","","325.1","1","0","2024-10-19",
"12","매너의 역사 :품격은 어떻게 만들어지는가 ","설혜심 지음","휴머니스트","2024","9791170872498","","9","","909","1","2","2024-10-19",
"13","무엇이 삶을 부유하게 만드는가 :돈이 전부인 시대의 도스토옙스키 읽기 ","석영중 지음","위즈덤하우스","2024","9791171712885","","0","","892.809","1","5","2024-10-19",
"14","서울의 말들 :여기두 사투리 있걸랑 ","한성우 지음","유유","2024","9791167701015","","0","","718.6","1","2","2024-10-19",
"15","움직이는 국가, 거란 :거란의 통치전략 연구 ","김인희 엮음","동북아역사재단","2020","9788961875493","","9","","912.042","1","1","2024-10-19",
"16","어느 독일통 외교관의 일본 역사 기행","장시정 지음","한국학술정보","2024","9791172174811","","9","","981.302","1","4","2024-10-15",
"17","미국을 안다는 착각 :전 세계를 지배하는 진짜 힘의 실체는 무엇인가 ","김봉중 지음","빅피시","2024","9791194033301","","0","","309.142","1","3","2024-10-15",
"18","다 읽은 순간 하늘이 아름답게 보이는 구름 이야기 ","아라키 켄타로 지음,김현정 옮김","윌북","2024","9791155817568","","0","","453.76","1","1","2024-10-15",
"19","오십의 말하기는 달라야 합니다 :사람을 사로잡는 재치 있고 긍정적인 포용의 대화법 ","이호선 지음","오아시스","2024","9791168272286","","0","","802.56","1","3","2024-10-15",
"20","이제 나도 수제맥주가 좋다 ","이재훈,이원옥 공저","백산출판사","2024","9791165678449","","0","","573.42","1","1","2024-10-14",
"21","맥주 이야기만 합니다 :잔에서 흘러넘친 맥주 인문학 ","염태진 지음","애플북스","2024","9791192641416","","0","","573.42","1","2","2024-10-14",
