번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","그런대로 괜찮다","윤옥난 지음","해드림출판사","2024","9791156346098","","0","","811.6","1","0","2024-12-30",
"2","시는 나의 꽃 : 오수인 시집","오수인 지음","유성","2024","9791198895417","","0","","811.6","1","0","2024-12-30",
"3","시는 나의 꽃 : 오수인 시집","오수인 지음","유성","2024","9791198895417","","0","","811.6","1","0","2024-12-30",
"4","외눈박이 사랑 : 박영 시집","박영 지음","현대문예","2024","9788993873269","","0","","811.6","1","0","2024-12-30",
"5","바람의 사원 : 박순 시집","박순 지음","책나라","2024","9791192271309","","0","","811.6","1","0","2024-12-30",
"6","84세에 쓰는 시 : 성점아 시집","성점아 지음","청어","2024","9791168552739","","0","","811.6","1","0","2024-12-30",
"7","장미는 고양이다 : 이효 제2시집","이효 지음","책나라","2024","9791192271293","","0","","811.6","1","0","2024-12-30",
"8","神松 바라밀 : 여윤동 제3민조시집","呂閏東 지음","天山","2024","9791192198163","","0","","811.6","1","0","2024-12-30",
"9","팔십 고개 넘고 보니 : 조상현 제4시집","조상현 지음","문학세계 출판부","2024","9788979549218","","0","","811.6","1","0","2024-12-30",
"10","바람둥이 애인 : 류금선 시집","류금선 지음","계간문예","2024","9788965542940","","0","","811.6","1","0","2024-12-30",
"11","바람둥이 애인 : 류금선 시집","류금선 지음","계간문예","2024","9788965542940","","0","","811.6","1","0","2024-12-30",
"12","보아야 봄이다","서장원 지음","작가","2024","9791190566780","","0","","811.6","1","0","2024-12-30",
"13","괜찮아, 괜찮아 : 어린이와 어른을 위한 동시","박순경 지음 양채은 그림","아동문예","2024","9791159134258","","7","","811.8","1","1","2024-12-30",
"14","미주 한인 동포사회의 발전과 도전 1903-2023 = Development & Challenges of the Korean American Community","미주 한인 이민 120주년 기념 출판위원회 미주한인회서북미연합회 [편]","미주한인회서북미연합회","2023","9798218214203","","9","","331","1","0","2024-12-10",
"15","거인의 정원","오스카 와일드 원작 진 보우만 그림; 이진영 옮김","아이위즈","2020","9791186316214","","7","","843","1","1","2024-12-10",
"16","크레파스가 뚝!","헤이즐 허친스 글 듀산 페트릭 그림; 정명숙; 이진영 [공]옮김","아이위즈","2016","9791186316085","","7","","843","1","3","2024-12-10",
"17","수학 뒤집으면 풀린다 : 재미있는 수학 원리 이야기","이명구 엮음 한결 그림","아테나","2006","9788989886761","","7","","410","1","0","2024-12-10",
"18","한 알의 씨앗이 내게 떨어진다면","엘리 맥케이 글·그림 정명숙 옮김","아이위즈북","2015","9788991494343","","7","","843","1","1","2024-12-10",
"19","(천국에서 만난 바보)김수환 추기경","비타컴 글·그림","아테나","2010","9788991494633","","7","","998.23","1","1","2024-12-10",
"20","어린왕자 : 증강현실","앙투안 드 생텍쥐베리 지음 서나연 옮김","아이위즈","2016","9791186316047","","0","","863","1","1","2024-12-10",
"21","(아무도 본 적이 없는)무시무시한 공룡들","도라 마틴스 글 다니엘 해밀턴 그림; 윤영 옮김","아이위즈","2022","9791186316306","","7","","457.279","1","1","2024-12-10",
"22","나는 한때 : 지우 그림책","지우 [지음]","킨더랜드","2021","9788956189598","","7","","813.8","1","3","2024-12-10",
"23","그림자를 쫓는 아이들","엘리 맥케이 글·그림 정명숙 옮김","아이위즈북","2015","9788991494923","","7","","843","1","2","2024-12-10",
"24","준치가시 : 베트남어, 영어판","백석 시 김세현 그림","창비","2016","9788936454975","","7","","811.8","1","3","2024-12-10",
"25","공룡은 살아있다","[Carlton Books 편집부 편] 김아림 번역","아이위즈","2013","9788991494947","","1","","457.279","1","2","2024-12-10",
"26","걷다보면","이윤희 글·그림","글로연","2021","9788992704830","","7","","813.8","1","0","2024-12-10",
"27","숲속 사진관에 온 편지","이시원 글·그림","고래뱃속","2020","9788992505147","","7","","813.8","1","2","2024-12-10",
"28","검정토끼","오세나 지음","달그림","2020","9791197092381","","7","","813.8","1","0","2024-12-10",
"29","갸우뚱? 앨","한국독서교육연구회 글 이소형 그림","아테나","2010","9788991494626","","7","","990.8","1","1","2024-12-10",
"30","시간을 훔친 알베르트 : 알베르트 아인슈타인","한국독서교육연구회 글 박승원 그림","아테나","2011","9788991494695","","7","","990.8","1","1","2024-12-10",
