번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","육각형 신문 기사 읽기.","배혜림 글;황대윤 그림","메가스터디북스","2024","9791129713902","","7","2","070","1","1","2025-02-20",
"2","육각형 신문 기사 읽기.","배혜림 글;황대윤 그림","메가스터디북스","2024","9791129713896","","7","1","070","1","1","2025-02-20",
"3","겨울철 한정 봉봉 쇼콜라 사건.","요네자와 호노부 지음;김선영 옮김","엘릭시르","2024","9791141601522","","0","하","833.6","1","1","2025-02-20",
"4","겨울철 한정 봉봉 쇼콜라 사건.","요네자와 호노부 지음;김선영 옮김","엘릭시르","2024","9791141601515","","0","상","833.6","1","1","2025-02-20",
"5","이야기를 파는 양과자점 달과 나.","노무라 미즈키 지음;이은혜 옮김","알토북스","2025","9791198853974","","0","1","833.6","1","0","2025-02-20",
"6","4세~13세 보드게임 베스트 56","놀이샘 외","센시오","2024","9791166571732","","","","598.4","1","0","2025-02-20",
"7","초등 과학 보다 탐험대 1","임영제","알파주니어","2025","9791191122879","","","","404","1","1","2025-02-20",
"8","정영진의 시대유감","정영진","21세기북스","2025","9791171179565","","","","330.4","1","1","2025-02-20",
"9","프랑스 수도원 순례","유재경","대한기독교서회","2024","9788951121517","","","","234.8","1","1","2025-02-20",
"10","나의 두 번째 교과서 x 나민애의 다시 만난 국어","나민애","페이지2(page2)","2024","9791169851169","","","","710.4","1","1","2025-02-20",
"11","생각의 속도가 부의 크기를 바꾼다","샐리 퍼시","동양북스(동양문고)","2024","9791172100711","","","","325.211","1","1","2025-02-20",
"12","어른들의 행복은 조용하다","태수","페이지2(page2)","2024","9791169851053","","","","818","1","0","2025-02-20",
"13","SKY 입시생 중등 필독서","박은선, 배혜림","체인지업","2025","9791191378641","","","","376","1","1","2025-02-20",
"14","좋은 사람 도감","묘엔 스구루, 사사키 히나, 마나코 지에미","서교책방","2025","9791198944047","","","","838","1","1","2025-02-20",
"15","우리, 나이 드는 존재","고금숙 외","휴머니스트","2025","9791170872580","","","","818","1","1","2025-02-20",
"16","행동하지 않으면 인생은 바뀌지 않는다","브라이언 트레이시","현대지성","2024","9791139716146","","","","325.211","1","0","2025-02-20",
"17","1등급 집공부 학습법","유선화","비욘드","2024","9791198896469","","","","373.4","1","0","2025-02-20",
"18","고흐로 읽는 심리 수업","김동훈","민음사","2025","9788937428517","","","","600.18","1","1","2025-02-20",
"19","괴테 할머니의 인생 수업","전영애","문학동네","2024","9791141608453","","","","814.7","1","0","2025-02-20",
"20","발 팬클럽","차야다","씨드북","2024","9791160516920","","","","808.91","1","0","2025-02-20",
"21","거부기의 저주","김이슬","보랏빛소어린이","2024","9791194356271","","","","813.8","1","0","2025-02-20",
"22","지는 건 싫어!","류호선","봄볕","2024","9791193150276","","","","813.8","1","0","2025-02-20",
"23","세뱃돈 되찾기 프로젝트","송선혜","마루비","2024","9791191917574","","","","813.8","1","0","2025-02-20",
"24","반드시 알림장","김영주","아이앤북(I&BOOK)","2024","9791157922918","","","","813.8","1","0","2025-02-20",
"25","또, 일렀다!","조성자","아이앤북(I&BOOK)","2024","9791157923014","","","","813.8","1","0","2025-02-20",
"26","쌍둥이 보이저호","김바다","빨간콩","2024","9791191864502","","","","558","1","0","2025-02-20",
"27","어른의 영향력","데이비드 예거","어크로스","2025","9791167741837","","","","183.3","1","1","2025-02-20",
"28","교육의 수익률을 높여라","박경인, 권준모","크리에이티브탱크","2025","9791199079502","","","","373","1","1","2025-02-20",
"29","둔색환시행","온다 리쿠","시공사","2024","9791171257492","","","","833.6","1","1","2025-02-20",
"30","밤이 끝나는 곳","온다 리쿠","시공사","2024","9791171257508","","","","833.6","1","1","2025-02-20",
"31","여자 셋이 모이면 집이 커진다","김은하","서스테인","2024","9791193388143","","","","818","1","1","2025-02-20",
"32","스스로 공부하는 아이들","임민찬","한국경제신문 한경BP","2024","9788947549851","","","","373","1","0","2025-02-20",
"33","기록이라는 세계","리니","더퀘스트","2025","9791140711970","","","","199.1","1","1","2025-02-20",
"34","나라를 위해서 일한다는 거짓말","노한동","사이드웨이","2024","9791191998375","","","","350.3104","1","0","2025-02-20",
"35","어린이를 위한 불편한 세계 지리","박동한 외","봄나무","2024","9791156132240","","","","980","1","0","2025-02-20",
"36","얼음 속의 여인","엘리스 피터스","북하우스 퍼블리셔스","2024","9791164052769","","","","843.5","1","1","2025-02-20",
"37","아이의 뇌","김붕년","포레스트북스","2024","9791193506981","","","","598.1","1","1","2025-02-20",
"38","새들이 남쪽으로 가는 날","리사 리드센","북파머스","2024","9791193937372","","","","859.7","1","0","2025-02-20",
"39","그림의 쓸모","윤지원","유노콘텐츠그룹","2024","9791171830695","","","","650.4","1","1","2025-02-20",
"40","AI는 어떻게 인생의 무기가 되는가","이경전","21세기북스","2024","9791171179640","","","","331.5412","1","1","2025-02-20",
"41","급변하는 교육 환경에 불안한 부모를 위한 2025 대한민국 교육 키워드","방종임, 이만기","21세기북스","2024","9791171179329","","","","370.911","1","1","2025-02-20",
"42","운명을 바꾸는 말하기 수업","이영선","웅진지식하우스","2024","9788901290669","","","","325.26","1","0","2025-02-20",
"43","아무튼, 뉴욕","신현호","제철소","2024","9791188343768","","","","818","1","1","2025-02-20",
"44","다정함이 인격이다","김선희","나무생각","2025","9791162183397","","","","186","1","1","2025-02-20",
"45","엄마의 얼굴","김재원","달먹는토끼","2025","9791198935038","","","","814.7","1","1","2025-02-20",
"46","심장보다 단단한 토마토 한 알","고선경","열림원","2025","9791170403203","","","","811.7","1","1","2025-02-20",
"47","부여 역사 탐험대.","이순,김소정 글;홍수진 그림","","2024","9791194309017","","","2","911.79","1","1","2025-02-06",
"48","부여 역사 탐험대.","이순,김소정 글;홍수진 그림","","2024","9791194309000","","","1","911.79","1","1","2025-02-06",
"49","(K-기업가정신의 고장) 진주에서 공부하기","윤소영 글·그림","노란상상","2024","9791193074374","","","","911","1","1","2025-02-06",
"50","비산동","이정수, 여수경 지음","대구광역시문화원연합회","2024","9791189050115","","","","911.84","1","0","2025-02-06",
"51","(한 손에 들어오는) 대구역사","임언미, 박진홍 기획·편집","대구광역시","2025","9791198626349","","","","911.84","1","0","2025-02-06",
"52","생명 태초에 설계되었다","김광수 지음","바른북스","2024","9791193879191","","","","476","1","0","2025-02-06",
"53","대구 원로 여성","최세정 글, 황인모 외 사진","대구광역시행복진흥사회서비스원","2024","9788991533097","","","","337.0984","1","0","2025-02-06",
"54","걸어갑니다, 세계 속으로","김가람 지음","한빛라이프","2023","9791190846127","","","","818","1","1","2025-02-06",
"55","(꼬리에 꼬리를 무는) 한국 근대사","조성일 지음","태학사","2024","9791168102989","","4","","911.059","1","3","2024-12-31",
"56","이 지랄맞음이 쌓여 축제가 되겠지","조승리 글","달 출판사","2024","9791158161767","","0","","818","1","4","2024-12-31",
"57","다시 조선으로","이연식 지음","역사비평사","2024","9788976965899","","9","","911.07","1","1","2024-12-31",
"58","어떤 어른","김소영 지음","사계절","2024","9791169813419","","0","","818","1","3","2024-12-31",
"59","몬스터","넬레 노이하우스 지음;전은경 옮김","더난콘텐츠그룹","2024","9791158792237","9791158792220","0","1","853","1","2","2024-12-31",
"60","원더풀 랜드","더글라스 케네디 지음;조동섭 옮김","밝은세상","2024","9788984374928","","0","","843.6","1","4","2024-12-31",
"61","몬스터","넬레 노이하우스 지음;전은경 옮김","더난콘텐츠그룹","2024","9791158792244","9791158792220","0","2","853","1","4","2024-12-31",
"62","온라인과 오프라인 사이에서 철학하다","도야 히로시 글;불키드 그림;이소담 옮김","위즈덤하우스","2024","9791171712144","","4","1","104","1","2","2024-12-31",
"63","세계미래보고서 2025-2035","박영숙;제롬 글렌 지음","교보문고(단행본)","2024","9791170612001","","0","","331.544","1","1","2024-12-31",
"64","(열심히 살아봤지만 허무함에 지친 당신을 위한) 김미경의 딥마인드","김미경 지음","어웨이크북스","2024","9791198013088","","0","","325.211","1","3","2024-12-31",
"65","몸과 마음 사이에서 철학하다","가시라기 히로키 글;윤예지 그림;김경원 옮김","위즈덤하우스","2024","9791171712151","","4","2","104","1","1","2024-12-31",
"66","나와 너 사이에서 철학하다","다나카 마치 글;최진영 그림;이소담 옮김","위즈덤하우스","2024","9791171712908","","4","3","104","1","2","2024-12-31",
"67","한 컷 쏙 한국사","윤상석 글;박정섭 그림","풀빛","2024","9791161726687","","7","","911","1","5","2024-12-31",
"68","열두 달 근현대사 체험","배성호 글·사진;한지선 그림","보리","2024","9791163143734","","7","","911.06","1","2","2024-12-31",
"69","열두 달 역사 체험","배성호 지음;한지선 그림","보리","2024","9791163143543","","7","","911","1","5","2024-12-31",
