번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","구술사로 만나는 당진포구:송악편","집필: 우현선;기획: 당진시청 문화관광과","","2023","9791198082923","","0","4","911.78","1","0","2024-08-27",
"2","그섬에 사람이 살았네","심규상 집필","","2024","9791198082947","","0","","911.78","1","0","2024-08-27",
"3","뉴베리상 필독서 35:100년 전통 아동문학계의 노벨상, 뉴베리상 필독서 35권을 한 권에","조연호 지음","센시오","2024","9791166571565","","1","","029.52","1","0","2024-08-24",
"4","홀썸의 집밥 예찬:매일의 건강 집밥이 불러온 놀라운 일상의 기적","홀썸모먼트 지음","다산북스","2024","9791130653044","","1","","594.5","1","0","2024-08-24",
"5","허송세월:김훈 산문","김훈 지음","나남","2024","9788930041683","","0","","814.7","1","1","2024-08-24",
"6","레몬과 식초로 맛을 낸 간단 건강 요리","후지이 메구미 지음;백현숙 옮김","팬앤펜(PAN n PEN)","2024","9791191739121","","1","","594.5","1","0","2024-08-24",
"7","두 사람의 인터내셔널","김기태 지음","문학동네","2024","9788954697941","","0","","813.7","1","0","2024-08-24",
"8","녹나무의 여신","히가시노 게이고 지음;양윤옥 옮김","소미미디어","2024","9791138483049","","0","","833.6","1","0","2024-08-24",
"9","노플라잇 세계여행:서울에서 시애틀까지 비행기 없이 세계일주","조진서 지음","리토스","2024","9791198342126","","0","","980.24","1","0","2024-08-24",
"10","(나병관 프로의)탈골 스윙:아마추어 골퍼와 프로 지망생을 위한 인생 레슨서","나병관 지음","Cypress(싸이프레스)","2024","9791160322255","","1","","695.8","1","0","2024-08-24",
"11","그의 운명에 대한 아주 개인적인 생각","유시민 지음","아름다운사람들","2024","9788965138068","","0","","340.1","1","0","2024-08-24",
"12","결혼·여름","알베르 까뮈 지음;장소미 옮김","녹색광선","2023","9791198375308","","0","","864","1","0","2024-08-24",
"13","가무사리 숲의 느긋한 나날","미우라 시온 지음;임희선 옮김","청미래","2024","9788986836967","","0","","833.6","1","0","2024-08-24",
