번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","갈라파고스 섬 :탄생과 진화 이야기 ","제이슨 친 지음 ;윤소영 옮김","위즈덤하우스","2013","9788962473933","","7","","431","1","0","2020-12-22",
"2","좀비 아이 :고문영 동화 ","조용 지음;잠산 그림","위즈덤하우스","2020","9791190908160","","0","","813.8","1","0","2020-12-22",
"3","이현석의 입이 트이는 영어 최고의 스피킹 60 :일상생활 편 ","이현석 지음","EBS BOOKS","2020","9788954753937","","1","","747.5","1","0","2020-12-22",
"4","오래 준비해온 대답 :김영하의 시칠리아 ","김영하 지음","복복서가","2020","9791197021602","","0","","816.7","1","0","2020-12-22",
"5","사소해서 물어보지 못했지만 궁금했던 이야기 :일상에서 발견하는 호기심 과학 ","사물궁이 잡학지식 지음","Arte(북이십일 아르테)","2020","9788950991913","","0","","400","1","0","2020-12-22",
"6","심판 ","베르나르 베르베르 지음 ;전미연 옮김","열린책들","2020","9788932920405","","0","","862","1","0","2020-12-22",
"7","나는 남편에게 아파트를 선물했다 :아파트 투자로 부자 아내 되는 법 ","이진화 지음","유노북스","2020","9791190826174","","0","","327.87","1","0","2020-12-22",
"8","트렌드 코리아 2021 :서울대 소비트렌드분석센터의 2021 전망 :팬데믹 위기에 대응하는 전략은 무엇인가? ","김난도 ;전미영;최지혜 ;이향은 외 지음","미래의창","2020","9788959896837","","1","2021","320.911","1","0","2020-12-22",
"9","1분 과학 :세상에서 가장 놀라운 꿀잼 과학 이야기 ","이재범 지음 ;최준석 그림","위즈덤하우스","2020","9791190908771","","0","","400","1","0","2020-12-22",
"10","부지런한 사랑 :이슬아 에세이 ","이슬아 지음","문학동네","2020","9788954675352","","0","","818","1","0","2020-12-22",
"11","나는 울 때마다 엄마 얼굴이 된다 ","이슬아 지음","문학동네","2018","9788954653381","","0","","818","1","0","2020-12-22",
"12","좋은 사람에게만 좋은 사람이면 돼 ","김재식 지음","위즈덤하우스","2020","9791190908634","","0","","818","1","0","2020-12-22",
"13","당신의 인생을 정리해드립니다 :삶이 바뀌는 신박한 정리 ","이지영 지음","쌤앤파커스","2020","9791165342333","","1","","595.4","1","0","2020-12-22",
"14","(읽기만 하면 내 것이 되는)1페이지 미술 365 ","김영숙 지음","비에이블","2020","9791190931106","","0","","609","1","0","2020-12-22",
"15","코로나 사피엔스 :문명의 대전환, 대한민국 대표 석학 6인이 신인류의 미래를 말한다 ","최재천 ;장하준 ;최재붕 ;홍기빈 외 지음","인플루엔셜","2020","9791189995898","","0","","331.5414","1","0","2020-12-22",
"16","아침에는 죽음을 생각하는 것이 좋다 ","김영민 지음","어크로스","2018","9791160560640","","0","","818","1","0","2020-12-22",
"17","누가 이무기 신발을 훔쳤을까? ","최소희 지음 ;정인하 그림","책내음","2020","9791186771426","","7","","813.8","1","0","2020-12-22",
"18","추리소설가의 살인사건 ","히가시노 게이고 지음 ;민경욱 옮김","㈜소미미디어","2020","9791166111983","","0","","833.6","1","0","2020-12-22",
"19","초역 다빈치 노트 :역사상 가장 비범한 인간의 7가지 생각 도구 ","사쿠라가와 다빈치 지음 ;김윤경 옮김","한국경제신문","2020","9788947546225","","0","","325.211","1","0","2020-12-22",
"20","달러구트 꿈 백화점 :이미예 장편소설 ","이미예 지음","팩토리나인","2020","9791165341909","","0","","813.7","1","0","2020-12-22",
"21","나는 풍요로웠고, 지구는 달라졌다 ","호프 자런 지음; 김은령 옮김","김영사","2020","9788934990307","","0","","539.9","1","0","2020-12-22",
"22","(마카베 앨리스의) 누가 해도 참 예쁜 자수 :꽃과 식물을 수놓으며 행복해지는 시간 ","마카베 앨리스 지음 ;남궁가윤 옮김","즐거운상상","2020","9791155361559","","1","","592.27","1","0","2020-12-22",
"23","어쩌다 보니 50살이네요 :몸과 마음, 물건과 사람, 자신과 마주하는 법 ","히로세 유코 지음 ;박정임 옮김","indigo(인디고)","2017","9791159350115","","0","","838","1","0","2020-12-22",
"24","(읽기만 하면 내 것이 되는) 1페이지 한국사 365 ","심용환 지음","비에이블","2020","9791197035258","","0","","911","1","0","2020-12-22",
