번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","나는 찐빵","황혜진","책고래","2025","9791165022037","","","","813.8","1","2","2025-02-20",
"2","우리 아이가 처음 학교에 갑니다 : 21년 차 현직 교사가 알려주는 현실적인 초등 입학 준비","김선","포레스트북스","2024","9791193506967","","","","598.6","1","0","2025-02-20",
"3","어딘가엔 나의 서점이 있다","마리야 이바시키나","윌북","2024","9791155817773","","","","834","1","3","2025-02-20",
"4","삶은 작은 것들로 : 장영희 문장들","장영희","샘터사","2024","9788946422940","","","","814.6","1","1","2025-02-20",
"5","나의 선인장에 꽃을 피울 수 있을까 : 93년생 초등교사이자 초등 학부모, MZ 세대가 바라본 교실과 가정의 생생한 기록","오현수","퍼플","2024","9788924139266","","","","818","1","1","2025-02-20",
"6","천둥 꼬마 선녀 번개 꼬마 선녀","한강","문학동네","2007","9788954602792","","","","813.8","1","2","2025-02-20",
"7","알고 싶어 네 마음 : 김효정 그림책","김효정","문학동네","2024","9791141608316","","","","813.8","1","1","2025-02-20",
"8","부릉부릉 부르릉","니고 마리코","주니어RHK(주니어랜덤)","2024","9788925574257","","","","375.1","1","3","2025-02-20",
"9","걷는 나무 : 박달달 그림책","박달달","아동출판 상상아","2024","9791199030206","","","","813.8","1","0","2025-02-20",
"10","(흔한남매)과학 탐험대 . 12 , 공룡과 화석","흔한남매","주니어김영사","2024","9791194330592","","","12","404","1","0","2025-02-20",
"11","요괴의 아이를 키우고 있습니다 . 4","히로시마 레이코","넥서스","2024","9791166839474","9791166832918","","4","833.8","1","0","2025-02-20",
"12","(설민석의)그리스 로마 신화 대모험 . 5 , 불을 훔친 프로메테우스","설민석","Dankkum i(단꿈아이)","2023","9791193031278","9791191496611","","5","219.2","1","0","2025-02-20",
"13","때가왔다","이선미","북만손","2024","9791190535205","","","","813.8","1","3","2025-02-20",
"14","하나코는 없다","최윤","문학과지성사","2024","9788932041919","","","","813.6","1","0","2025-02-20",
"15","어쩌다 노산","김하율","은행나무","2024","9791167374059","","","","813.6","1","0","2025-02-20",
"16","스피노자의 진찰실 : 나쓰카와 소스케 장편소설","나쓰카와 소스케","알토북스","2024","9791198853929","","","","833.6","1","1","2025-02-20",
"17","무조건 나부터 생각할 것 : 상처받고 후회하는 관계에 익숙한 당신을 위한 심리 처방 45","후지노 토모야","비즈니스북스","2024","9791162543993","","","","331.18","1","1","2025-02-20",
"18","급류","정대건","민음사","2022","9788937473401","","","","813.6","1","1","2025-02-20",
"19","해피버쓰데이 : 백희나 그림책","백희나","Storybowl(스토리보울)","2024","9791198807281","","","","813.8","1","0","2025-02-20",
"20","우리 집에 고양이가 온대","이시즈 치히로","길벗어린이","2024","9788955827804","","","","833.8","1","2","2025-02-20",
"21","아기 눈송이 = A baby snowflake","오얏 민규","지식과감성#","2024","9791139222890","","","","813.8","1","0","2025-02-20",
"22","단짝 구함 : 설찌 그림책","설찌","소원나무","2024","9791193207888","","","","813.8","1","0","2025-02-20",
"23","금동향로 속으로 사라진 고양이","이하은","파란자전거","2014","9788994258928","","","","813.8","1","0","2025-02-20",
"24","청수 할머니의 기도","김양오","빈빈책방","2024","9791190105941","","","","813.6","1","0","2025-02-20",
"25","시곗바늘을 돌려 봐","윤주성","좋은책어린이","2024","9788928340866","","","","813.8","1","3","2025-02-20",
"26","(빨간내복야코)안 읽으면 완전 위험한 과학책 . 1 , 일상이 위기","빨간내복야코","위즈덤하우스","2024","9791171712793","","","1","404","1","1","2025-02-20",
"27","나의 첫 저축통장 : 미래를 준비하는 아이들을 위한 슬기로운 청약저축 동화","정지영","다산북스","2024","9791130661360","","","","327.04","1","0","2025-02-20",
"28","조금망한 사랑","김지연","문학동네","2024","9791141601508","","","","813.6","1","0","2025-02-20",
"29","어떤 어른 : 김소영 에세이","김소영","사계절(사계절출판사)","2024","9791169813419","","","","814.6","1","2","2025-02-20",
"30","(흔들림 없이 나아가는)삶의 태도","반건호","북플레저","2024","9791193937402","","","","189.1","1","1","2025-02-20",
"31","내 여자의 열매 : 한강 소설집","한강","문학과지성사","2018","9788932034829","","","","813.6","1","1","2025-02-20",
"32","검은 사슴 : 한강 장편소설","한강","문학동네","2017","9788954648905","","","","813.6","1","0","2025-02-20",
"33","할 수 있어, 아기 토끼야","밀버른, 안나","어스본코리아","2024","9791171200153","","","","375.1","1","3","2025-02-20",
"34","온실 호텔","이지언","다정다감","2024","9791193140154","","","","813.8","1","1","2025-02-20",
"35","쉿! 비밀 소꿉놀이","김시연","개똥이","2024","9791191988116","","","","813.8","1","0","2025-02-20",
"36","눈 극장","아라이 료지","FIKAJUNIOR(피카주니어)","2024","9791192869254","","","17","808.9","1","0","2025-02-20",
"37","어쩌다 보니 가구를 팝니다","이수연","길벗어린이","2024","9788955827583","","","","813.8","1","0","2025-02-20",
"38","채널고정! 시끌벅적 PD 삼총사가 떴다!","태미라","한겨레아이들","2024","9791172131876","","","","326.739","1","0","2025-02-20",
"39","(설민석의)세계사 대모험 . 23 , 인도 편 - 황자의 첫사랑","설민석","단꿈아이","2024","9791193031803","","","23","909","1","0","2025-02-20",
"40","목이 말라요!","제자크, 요안나","안녕로빈","2025","9791191942316","","","","892.95","1","1","2025-02-20",
"41","초코초코 초코해!","한라경","토끼섬","2024","9791198578082","","","","813.8","1","1","2025-02-20",
"42","어딨지 눈코입","조희연","호호집","2024","9791198768629","","","","375.1","1","3","2025-02-20",
"43","빛나는 비법","전예지","바즈","2024","9791198968326","","","","813.8","1","0","2025-02-20",
"44","꽃괴물","정성훈","한솔수북","2024","9791194439011","","","","813.8","1","0","2025-02-20",
"45","(흔한남매)과학 탐험대 . 13 , 생식과 유전","흔한남매","주니어김영사","2024","9791173320101","","","13","404","1","1","2025-02-20",
"46","우리들의 아지트","김흰돌","뜨인돌어린이","2024","9788958070504","","","","813.8","1","1","2025-02-20",
"47","(설민석의)그리스 로마 신화 대모험 . 6 , 가정의 여신 헤라","설민석","Dankkum i(단꿈아이)","2024","9791193031377","9791191496611","","6","219.2","1","0","2025-02-20",
"48","마루 탐정! 우리 집을 찾아 줘","정유리","개암나무","2024","9788968308437","","","","813.8","1","1","2025-02-20",
"49","(5학년 2반)집중력 도둑","김연희","터닝페이지","2024","9791193650134","","","","199.4","1","1","2025-02-20",
"50","엄마의 얼굴","김재원","달먹는토끼","2025","9791198935038","","","","814.6","1","1","2025-02-20",
"51","슬픔의 모양","이석원","김영사","2024","9791194330813","","","","814.6","1","1","2025-02-20",
"52","미로 속 아이","뮈소, 기욤","밝은세상","2024","9788984374942","","","","863","1","1","2025-02-20",
"53","김미경의 딥마인드 : 열심히 살아봤지만 허무함에 지친 당신을 위한","김미경","엠케이유니버스","2024","9791198013088","","","","325.211","1","1","2025-02-20",
"54","차곡차곡 정리를 해요","김경애","을파소","2024","9791171173341","","","7","375.1","1","3","2025-02-20",
"55","아무하고도 안 나눌 거야","스몰, 스티브","봄의정원","2025","9791166340628","","","","843","1","0","2025-02-20",
"56","동백 호빵 : 백유연 그림책","백유연","웅진주니어","2024","9788901290706","","","","813.8","1","0","2025-02-20",
"57","같은 시간, 다른 순간","황성혜","노란돼지","2025","9791191592610","","","","813.8","1","0","2025-02-20",
"58","흔한남매 . 18","흔한남매","미래엔아이세움","2024","9791173114038","","","18","813.8","1","2","2025-02-20",
"59","요괴의 아이를 키우고 있습니다 . 3","히로시마 레이코","넥서스","2023","9791166837104","9791166832918","","3","833.8","1","0","2025-02-20",
"60","(설민석의)그리스 로마 신화 대모험 . 4 , 신들의 전쟁 - 티타노마키아","설민석","Dankkum i(단꿈아이)","2023","9791193031209","9791191496611","","4","219.2","1","0","2025-02-20",
"61","돈방석 목욕탕","성주희","소원나무","2024","9791193207505","","","","813.8","1","3","2025-02-20",
"62","파주 : 김남숙 소설","김남숙","자음과모음","2024","9788954451895","","","","813.6","1","0","2025-02-20",
"63","어른의 행복은 조용하다","태수 지음","페이지2(page2)","2024","9791169851053","","","","818","1","1","2025-02-20",
"64","쉼과 나아감에 대하여 : 인생의 오아시스를 만나는 예일대 명강의","폴, 마릴린","북플레저","2024","9791193937341","","","","325.2112","1","1","2025-02-20",
"65","말은 안 되지만","정해연","자음과모음","2024","9788954451505","","","","813.6","1","0","2025-02-20",
"66","그물을 거두는 시간 : 이선영 장편소설","이선영","김영사","2024","9791194330493","","","","813.6","1","0","2025-02-20",
"67","차곡차곡 정리를 해요","김경애","을파소","2024","9791171173358","","","8","375.1","1","3","2025-02-20",
