번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","밥스 패밀리","이연지 글 이정화 그림","겜툰","2023","9791168441057","","7","5","813.8","1","5","2024-11-20",
"2","밥스 패밀리","이연지 글 이정화 그림","겜툰","2023","9791168440487","","7","4","813.8","1","6","2024-11-20",
"3","밥스 패밀리","이연지 글 이정화 그림","겜툰","2022","9791168440319","9791190980999","7","3","813.8","1","7","2024-11-20",
"4","밥스 패밀리","이연지 글 이정화 그림","겜툰","2022","9791168440104","9791190980999","7","2","813.8","1","7","2024-11-20",
"5","밥스 패밀리","이연지 글 이정화 그림","겜툰","2021","9791190980258","9791190980999","7","1","813.8","1","7","2024-11-20",
"6","해든 분식","동지아 글 윤정주 그림","문학동네","2024","9791141607791","","7","","813.8","1","5","2024-11-20",
"7","언제나 다정 죽집","우신영 글 서영 그림","비룡소","2024","9788949122076","","7","","813.8","1","4","2024-11-20",
"8","와일드 로봇","피터 브라운 글·그림 엄혜숙 번역","거북이북스","2019","9788966072057","","7","","843","1","3","2024-11-20",
"9","몬스터 : 넬레 노이하우스 장편소설","넬레 노이하우스 지음 전은경 옮김","더난콘텐츠그룹","2024","9791158792237","9791158792220","0","1","853","1","5","2024-11-20",
"10","백설공주에게 죽음을 : 넬레 노이하우스 장편소설","넬레 노이하우스 지음 김진아 옮김","더난콘텐츠그룹","2024","9791158792152","","0","","853","1","3","2024-11-20",
"11","몬스터 : 넬레 노이하우스 장편소설","넬레 노이하우스 지음 전은경 옮김","더난콘텐츠그룹","2024","9791158792244","9791158792220","0","2","853","1","6","2024-11-20",
"12","더 푸드 랩 : 더 나은 요리를 위한 주방 과학의 모든 것!","J. 켄지 로페즈-알트 저 임현수 역","영진닷컴","2017","9788931455625","","1","","574.07","1","1","2024-11-20",
"13","부자의 언어 : 어떻게 살아야 부자가 되는지 묻는 아들에게","존 소포릭 지음 이한이 옮김","윌북","2023","9791155815915","","0","","327.04","1","1","2024-11-20",
"14","이중 하나는 거짓말 : 김애란 장편소설","김애란 지음","문학동네","2024","9791141601300","","0","","813.7","1","9","2024-11-20",
"15","회복하는 인간","한강 지음 전승희 옮김","아시아","2013","9788994006826","","0","","813.7","1","4","2024-11-20",
"16","내 이름은 태양꽃","한강 지음 김세현 그림","문학동네","2002","9788982814792","","0","","813.8","1","3","2024-11-20",
"17","너에게 들려주는 단단한 말","김종원 지음","퍼스트펭귄","2024","9791198682550","","4","","199.5","1","5","2024-11-20",
"18","영원한 천국 : 정유정 장편 소설","정유정 지음","은행나무","2024","9791167374561","","0","","813.7","1","4","2024-11-20",
"19","생각의 연금술 : 생각이 인생의 예언이 되는 순간","제임스 알렌 지음 하와이 대저택 엮음; 송은선, 함희영 [공]옮김","포레스트북스","2024","9791193506844","","0","","325.211","1","3","2024-11-20",
"20","그대의 차가운 손 : 한강 장편소설","한강 지음","문학과지성사","2010","9788932013046","","0","","813.7","1","8","2024-11-20",
"21","한강","한강 지음","문학동네","2023","9788954693462","","0","","810.81","1","6","2024-11-20",
"22","겨울의 언어 : 김겨울 산문집","김겨울 글·사진","웅진씽크빅","2023","9788901276816","","0","","818","1","1","2024-11-20",
"23","넥서스 : 석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사","유발 하라리 지음 김명주 옮김","김영사","2024","9791194330424","","0","","909","1","5","2024-11-20",
"24","과학 하는 용기","조정훈 외 지음","살림출판사","2016","9788952235374","","4","","404","1","2","2024-11-20",
"25","우리만의 편의점 레시피","범유진 지음","토토북","2021","9788964964477","","4","","813.7","1","6","2024-11-20",
"26","순례 주택 : 유은실 소설","유은실 지음","비룡소","2021","9788949123493","","4","","813.7","1","5","2024-11-20",
"27","허구의 삶 : 이금이 장편소설","이금이 지음","문학동네","2019","9788954658263","","0","","813.7","1","3","2024-11-20",
"28","대도시의 사랑법 : 박상영 연작소설","박상영 지음","창비","2019","9788936437978","","0","","813.7","1","5","2024-11-20",
"29","가벼운 고백 : 김영민 단문집","김영민 지음","김영사","2024","9788934920892","","0","","814.7","1","3","2024-11-20",
"30","13계단 : 다카노 가즈아키 장편 추리소설","다카노 가즈아키 지음 전새롬 옮김","황금가지","2009","9788982738654","","0","","833.6","1","6","2024-11-20",
"31","유괴의 날 : 정해연 장편소설","정해연 지음","시공사","2019","9788952736253","","0","","813.7","1","4","2024-11-20",
"32","베러티","콜린 후버 지음 민지현 옮김","미래지향","2022","9791185851204","","0","","843.6","1","3","2024-11-20",
"33","고백 : 미나토 가나에 장편소설","미나토 가나에 지음 김선영 옮김","비채","1994","9788992036962","","0","","833.6","1","4","2024-11-20",
"34","박시백의 일제강점사 35년 : 1936-1940 결전의 날","박시백 지음","비아북","2024","9791192904979","","0","6","911.06","1","0","2024-11-20",
"35","박시백의 일제강점사 35년 : 1931-1935 무장투쟁으로","박시백 지음","비아북","2024","9791192904962","","0","5","911.06","1","0","2024-11-20",
"36","박시백의 일제강점사 35년 : 1926-1930 공산주의 열풍","박시백 지음","비아북","2024","9791192904955","","0","4","911.06","1","0","2024-11-20",
"37","박시백의 일제강점사 35년 : 1921-1925 대투쟁의 시대","박시백 지음","비아북","2024","9791192904948","","0","3","911.06","1","2","2024-11-20",
