번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","레이크사이드:히가시노 게이고 장편소설","히가시노 게이고 지음;민경욱 옮김","하빌리스","2023","9791171240593","","0","","833.6","1","2","2023-10-07",
"2","힘든 일을 먼저 하라:자기 인생 자기가 망치는 미루기 중독자를 위한 최후의 처방","스콧 앨런 지음;이희경 옮김","갤리온","2023","9788901273976","","0","","325.04","1","2","2023-09-03",
"3","달팽이도 달린다:황지영 창작동화집","황지영 [지음];최민지 그림","사계절","2023","9791169811088","","7","39","808.9","1","2","2023-07-29",
"4","쓰는 대로 이루어지다!","멜리사 다소리 글;첼렌 에시하 그림;정다은 옮김","개암나무","2023","9788968307553","","7","67","808.9","1","0","2023-07-29",
"5","하늘이 보내주시는 선물","박경선 지음;이재진 그림","지식산업사","2023","9788942391165","","7","52","808.9","1","0","2023-07-29",
"6","봉주르, 장 발장:이미례 창작 동화","이미례 글;박상추 그림","현북스","2022","9791157413485","","7","88","808.9","1","0","2023-07-29",
"7","꿈이 사라진 날","고정욱 글;임광희 그림","한솔수북","2022","9791192686134","","7","","813.8","1","1","2023-07-29",
"8","수수께끼·퀴즈 700가지:교과서에서 쏙쏙 뽑은","지경사 편집부 지음;권석란 그림","지경사","2023","9788931934304","","7","","388.6","1","2","2023-07-29",
"9","내 이름은 축구왕","하신하 글;박영주 그림","키큰도토리(어진교육)","2023","9791192762098","","7","","813.8","1","0","2023-07-29",
"10","육두품 아이 성무의 꿈","김영주 글;김다정 그림","푸른숲","2022","9791156753254","","7","","813.8","1","1","2023-07-29",
"11","읽는 사람 김득신","전자윤 글;박슬기 그림","우주나무","2022","9791189489373","","7","","991.1","1","1","2023-07-29",
"12","기염이네 반 상벌 수첩:상과 벌은 꼭 필요한 걸까?","김원석 글;박선미 그림","동아엠앤비","2022","9791163636120","","7","","199","1","2","2023-07-29",
"13","외계인 게스트하우스","오드 글·그림","북멘토","2023","9788963195049","","7","","813.8","1","1","2023-07-29",
"14","소금아, 진짜 고마워!","이영란 글;끌레몽 그림","풀과바람(영교출판)","2023","9788983891495","","7","","458.63","1","1","2023-07-29",
"15","오늘부터 달탐사:선생님도 몰랐던 미래 읽기 프로젝트","줄리 라르동 글;실비 세르프리 그림;윤여연 옮김","다산어린이","2023","9791130698618","","7","","443.3","1","1","2023-07-29",
"16","라이라이 라이온의 새빨간 거짓말 상담소","권재원 지음","웅진주니어","2023","9788901269986","","7","","813.8","1","0","2023-07-29",
"17","반려동물도 우리 가족이야","김주희 글;홍지연 그림","리틀씨앤톡","2023","9788960988859","","7","","527.386","1","1","2023-07-29",
"18","우리 집이 사라지고 있어:하나뿐인 지구를 지키는 환경 탐험","엘레나 판토하,안드레아 베르가라 [공]글;파블로 루에버트 그림;김정하 옮김","다봄","2023","9791192148540","","7","","539.9","1","0","2023-07-29",
"19","홍길동, 조선을 박차고 새 나라를 만들다","김기정 글;이해정 그림","천개의바람","2023","9791165734084","","7","","813.5","1","0","2023-07-29",
"20","벼룩시장에서 생긴 일:김옥애 장편동화","김옥애 지음;고은지 그림","청개구리","2022","9791162520642","","7","","813.8","1","0","2023-07-29",
"21","손톱의 톱","동백 지음;코끼리씨 그림","프롬아이","2023","9791188801145","","7","","813.8","1","1","2023-07-29",
"22","잘 헤어졌어:김양미 동화집","김양미 지음;김효은 그림","문학과지성사","2023","9788932041308","","7","","813.8","1","0","2023-07-29",
"23","음식 쓰레기와 고양이 구조대:에코 소셜 액션","시그문드 브라우어 글;박민희 그림;김배경 옮김","책속물고기","2022","9791163271277","","7","","539.9","1","1","2023-07-29",
"24","하얀 제비의 노래:아름다운 생태 환경 동화","유명은 글;정다희 그림","아롬주니어","2023","9791191902167","","7","","813.8","1","0","2023-07-29",
"25","긴급 구조작전, 허들링","안수자 글","모해출판사","2022","9791168301467","","7","","813.8","1","1","2023-07-29",
"26","언어 천재 윌슨 쌤의 영어 비밀 탐험대","톰 리드 윌슨 지음;이언 모리스 그림;정한결 옮김","윌북주니어","2023","9791155816011","","7","","740.7","1","0","2023-07-29",
"27","(국어 쑥쑥 표현 쑥쑥)초등 사자성어","송재환 글;인호빵 그림","위즈덤하우스","2023","9791168123137","","6","","711.4","1","1","2023-07-29",
"28","어느 날 이런 미래가 온다면:SF 동화로 만나는 6가지 미래 과학 기술","오승현 글;이로우 그림","휴먼어린이","2023","9788965915089","","7","","004.73","1","3","2023-07-29",
"29","과학 추리반 아이들:어린이를 위한 과학 사고력 동화","윤자영 글;이갑규 그림","한국경제신문","2023","9788947548984","","7","","404","1","0","2023-07-29",
"30","나를 만드는 열두 가지 태도:마음이 치우치지 않게 중심을 잡는 힘","강승임 글;김혜령 그림","책속물고기","2023","9791163271345","","7","","199.1","1","1","2023-07-29",
"31","빛나라초등학교 과학추리반:사라진 선생님과 이름 없는 초대장","강미숙 글;주영휘 그림","이지북","2023","9788957073261","","7","","404","1","1","2023-07-29",
"32","내일을 위한 정원 산책:지속가능한 세상을 만드는 세계 공원과 조경사 이야기","디디에 코르니유 지음;최지혜,권선영 [공]옮김","놀궁리","2023","9791191900088","","7","","525.9","1","1","2023-07-29",
"33","(멋지고 자신 있게)말 잘하는 법:발표, 설득, 대화를 어려워하는 어린이를 위한 말하기 비법 노트","엘리너 레저 글;미아 닐손 그림;김아영 옮김","북멘토(도서출판)","2023","9788963195087","","7","","802.5","1","1","2023-07-29",
"34","환경을 살리는 환경사전","권민석,김수연 [공]글;달다 그림","킨더랜드","2023","9791192759760","","7","","539.9","1","0","2023-07-29",
"35","오사카 보고 교토!:일본 여행 그림책","김성은 글;리안 그림","위즈덤하우스","2023","9791168124875","","7","","981.302","1","1","2023-07-29",
"36","아파트 서당에 나타난 맹자 선생님","김래주 글;민만 그림","북네스트","2023","9788993409444","","7","","813.8","1","0","2023-07-29",
"37","나, 언니 안 할래!","이토 미쿠 글;이케베 아오이 그림;윤수정 옮김","주니어김영사","2023","9788934959595","","7","","833.8","1","1","2023-07-29",
"38","파도 타고 조선 너머","오진원 글;최희옥 그림","샘터사","2023","9788946474253","","7","","813.8","1","0","2023-07-29",
"39","무단 도움 연구소:가짜 편지와 사라진 돈뭉치","주미경 글;홍선주 그림","문학동네","2023","9788954690522","","7","","813.8","1","0","2023-07-29",
"40","뭐든지 마트","상자 글;비비테 그림","꼬마이실","2023","9788931381481","","7","","813.8","1","0","2023-07-29",
