번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","(낙동강 상류의 실존 왕국)고녕가야","김도상,이대영[공저]","생각나눔","2024","9791170487739","","","","911.0359","1","1","2025-02-26",
"2","도와줘, 키키!","조지은 글;이은지 그림","그레이트 Books(그레이트북스)","2021","9788927199472","","7","42","308","1","1","2025-01-16",
"3","우리 대화하자","서예나 글;김유대 그림","그레이트 Books(그레이트북스)","2021","9788927199465","","7","41","308","1","2","2025-01-16",
"4","막아라! 감기","함박눈 글;윤희재 그림","그레이트 Books(그레이트북스)","2021","9788927199458","","7","40","308","1","1","2025-01-16",
"5","다시는 볼 수 없어요?","조지은 글;구보람 그림","그레이트 Books(그레이트북스)","2021","9788927199434","","7","38","308","1","1","2025-01-16",
"6","꼭 나눠야 해요?","노지영 글;김희영 그림","그레이트 Books(그레이트북스)","2021","9788927199441","","7","39","308","1","2","2025-01-16",
"7","달라서 참 좋아!","허은실 글;진유현 그림","그레이트 Books(그레이트북스)","2021","9788927199427","","7","37","308","1","1","2025-01-16",
"8","내 몸은 소중해","남현희 글;이경석 그림","그레이트 Books(그레이트북스)","2021","9788927199403","","7","35","308","1","2","2025-01-16",
"9","삐삐와 친구가 되는 법","정미희 글;전미화 그림","그레이트 Books(그레이트북스)","2021","9788927199410","","7","36","308","1","1","2025-01-16",
"10","나야, 나","최민지 글·그림","그레이트 Books(그레이트북스)","2021","9788927199373","","7","32","308","1","2","2025-01-16",
"11","우리는 가족이야","한수프 글;오정택 그림","그레이트 Books(그레이트북스)","2021","9788927199397","","7","34","308","1","1","2025-01-16",
"12","지금 내 기분은?","김수현 글;안은진 그림","그레이트 Books(그레이트북스)","2021","9788927199380","","7","33","308","1","2","2025-01-16",
"13","지도로 보는 우리 땅 우리 문화","오윤선,이승연 [공]글;박혜림 그림","그레이트북스(그레이트 Books)","2021","9788927199359","","7","30","308","1","1","2025-01-16",
"14","어서오세요, 민속마을입니다!","콩닥콩 글;이수영 그림","그레이트 Books(그레이트북스)","2021","9788927199342","","7","29","308","1","2","2025-01-16",
