번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","(낙동강 상류의 실존 왕국)고녕가야","김도상,이대영[공저]","생각나눔","2024","9791170487739","","","","911.0359","1","1","2025-02-26",
"2","놀이방에 처음 가는 날","[펭귄랜덤하우스코리아 편집부 편]","펭귄랜덤하우스코리아","2020","8809505530287","","","","808.9","1","0","2025-01-31",
"3","School Bus Trip","by Ladybird","","2018","9780241376980","","","","747","1","0","2025-01-31",
"4","Nature Trail","by Ladybird","","2018","9780241377932","","","","747","1","0","2025-01-31",
"5","(The) Fancy Dress Party","by Ladybird","","2018","9780241378397","","","","747","1","0","2025-01-31",
"6","Ballet Lesson","by Ladybird","","2018","9780241378540","","","","747","1","0","2025-01-31",
"7","Tooth Fairy","by Ladybird","","2018","9780241378359","","","","747","1","0","2025-01-31",
"8","New Shoes","by Ladybird","","2018","9780241378588","","","","747","1","0","2025-01-31",
"9","Bicycle Race","by Ladybird","","2018","9780241378557","","","","747","1","0","2025-01-31",
"10","George`s First Day at Playgroup","by Ladybird","","2018","9780241378052","","","","747","1","1","2025-01-31",
"11","친구 집에서 자는 날","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","20","808.9","1","0","2025-01-16",
"12","재미있는 축구 시합","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","18","808.9","1","0","2025-01-16",
"13","즐거운 숲속 탐험","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","19","808.9","1","0","2025-01-16",
"14","치과 가는 날","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","15","808.9","1","0","2025-01-16",
"15","멋진 옷 파티","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","16","808.9","1","0","2025-01-16",
"16","소풍을 가요","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","17","808.9","1","0","2025-01-16",
"17","아빠 회사에 가요","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","13","808.9","1","0","2025-01-16",
"18","감기에 걸린 조지","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","14","808.9","1","0","2025-01-16",
"19","신나는 수영장","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","12","808.9","1","0","2025-01-16",
"20","아빠의 낡은 의자","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","11","808.9","1","0","2025-01-16",
"21","페파의 첫 안경","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","10","808.9","1","0","2025-01-16",
"22","발레를 해요","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","9","808.9","1","0","2025-01-16",
"23","페파가 아파요","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","8","808.9","1","0","2025-01-16",
"24","이가 빠졌어요","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","7","808.9","1","0","2025-01-16",
"25","페파의 새 신발","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","6","808.9","1","0","2025-01-16",
"26","즐거운 운동회","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","5","808.9","1","0","2025-01-16",
"27","재활용을 해요","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530300","","","4","808.9","1","0","2025-01-16",
"28","자전거를 타요","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","3","808.9","1","0","2025-01-16",
"29","우리 가족 컴퓨터","[펭귄랜덤하우스코리아 편집부 편];윤영 번역","펭귄랜덤하우스코리아","2020","8809505530287","","","2","808.9","1","0","2025-01-16",
