번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","시한부:백은별 장편소설","백은별 지음","바른북스","2024","9791193647646","","0","","813.7","1","3","2024-12-19",
"2","(명문대 입학을 위해 반드시 읽어야 할)생기부 고전 필독서 30","김미성 지음","데이스타","2024","9791168272453","","4","","377.37","1","3","2024-12-19",
"3","루시드 드림:강은지 장편소설","강은지 지음","창비","2024","9788936457303","","4","","813.7","1","1","2024-12-19",
"4","아주 사적인 미술관:이건희 홍라희 마스터피스","권근영 지음","중앙books(중앙북스)","2024","9788927880677","","0","","606.9","1","0","2024-12-19",
"5","중등 필독 신문:고등학생이 되기 전에 읽어야 할 비문학 독해 이야기","이현옥,이현주 [공]지음","체인지업","2024","9791191378610","","4","2","373.3","1","1","2024-12-19",
"6","(당신이 수학을 사랑하게 만들 책)다시 쓰는 수학의 역사:당신이 수학을 사랑하게 만들 책","케이트 기타가와,티모시 레벨 [공]지음;이충호 옮김","서해문집","2024","9791192988917","","0","","410.9","1","0","2024-12-19",
"7","더 퍼지, AI 시대 누가 미래를 이끄는가:인문학적 감각으로 인공지능 혁명을 일으키다","한지우 지음","미디어숲","2024","9791158742362","","4","","004.73","1","0","2024-12-19",
"8","당뇨 잡는 사계절 저당 식단＆도시락","임재영 지음","레시피팩토리","2024","9791192366449","","1","","594.6","1","2","2024-12-19",
"9","포근포근 코바늘 손뜨개 인형:귀여운 동물과 디저트, 계절별 행사 옷차림","i.iro 지음;남궁가윤 옮김","한스미디어","2024","9791193712597","","1","","592.27","1","0","2024-12-19",
"10","여행하는 일본사:도쿄에서 가고시마까지, 여행하며 공부하는 일본의 역사","구완회 지음","따비","2024","9791192169415","","0","","913","1","3","2024-12-19",
"11","빛이 이끄는 곳으로:백희성 장편소설","백희성 지음","책읽어주는남자","2024","9791193937198","","0","","813.7","1","1","2024-12-19",
