번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","화성과 나:배명훈 연작소설집","배명훈","인플루엔셜","2023","9791168341432","","","","813.7","1","0","2025-02-11",
"2","프레너미:심아진 장편소설","심아진","강","2024","9788982183409","","","","813.7","1","0","2025-02-11",
"3","푸른색 루비콘:2023 제17회 김유정문학상 수상작품집","김혜진^김병운^김이정^전성태^조경란","강","2023","9788982183317","","","","813.7","1","0","2025-02-11",
"4","거기, 있나요?","이필원","낮은산","2023","9791155251683","","","","813.7","1","0","2025-02-11",
"5","나, 나, 마들렌:박서련 소설집","박서련","한겨레엔 ","2023","9791160405385","","","","813.7","1","0","2025-02-11",
"6","문제아:2024년 어린이도서연구회 추천도서, 학교도서관저널 추천도서","Cho, John","도토리숲","2023","9791185934945","","","","843","1","0","2025-02-11",
"7","탱크:제28회 한겨레문학상 수상작","김희재","한겨레엔","2023","9791160405422","","","","813.7","1","0","2025-02-11",
"8","버젓한 아버지에게","후카자와 우시오","전망","2023","9788979736076","","","","833.6","1","0","2025-02-11",
"9","백호 소녀 은가비:이현아 장편소설","이현아","별숲","2024","9791192370668","","","","813.7","1","1","2025-02-11",
"10","특별한 날 특별한 동화","최도영","별숲","2023","9791192370521","","","","813.7","1","1","2025-02-11",
"11","유리의 집:한국안데르센상 대상 수상작","신미애","해와나무","2023","9788962682915","","","","813.7","1","0","2025-02-11",
"12","책방거리 수사대: 한양풍문기의 진실:한양풍문기의 진실","고재현","사계절(사계절출판사)","2023","9791169811682","","","","813.6","1","0","2025-02-11",
"13","백정의 아들, 포와에 가다","남경희","봄볕","2023","9791193150160","","","","813.7","1","0","2025-02-11",
"14","목소리들:이승우 소설집","이승우","문학과지성사","2023","9788932042350","","","","813.62","1","0","2025-02-11",
"15","파견자들:김초엽 장편소설","김초엽","퍼블리온","2023","9791191587524","","","","813.7","1","0","2025-02-11",
"16","푸른 낙엽:김유경 소설집","김유경","푸른사상(푸른사상사)","2023","9791130820828","","","","813.7","1","0","2025-02-11",
"17","이혼 대책 본부","범유진","다림","2024","9788961773256","","","","813.7","1","0","2025-02-11",
"18","발끝이 바다에 닿으면:하승민 장편소설","하승민","황금가지","2023","9791170522874","","","","813.7","1","1","2025-02-11",
"19","우리는 마이너스 2야:전앤 장편소설","전앤","사계절(사계절출판사)","2023","9791169811620","","","","813.7","1","0","2025-02-11",
"20","미인 1941","조두진","이정서재","2024","9791198202499","","","","813.7","1","1","2025-02-11",
"21","특이사항 보고서","최도담","네오북스","2024","9791157404018","","","","813.7","1","0","2025-02-11",
"22","요괴 도서관","김해우","크레용하우스","2023","9788955472332","","","","813.7","1","1","2025-02-11",
