번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","당신이 좋아지면, 밤이 깊어지면:안희연 산문","안희연 지음","난다","2023","9791191859485","","0","","814.7","1","2","2024-12-10",
"2","피오렐로 씨의 헤어스타일","세실리아 루이즈 글·그림;김지은 옮김","미래엔아이세움","2024","9791168418967","","7","","873","1","6","2024-12-10",
"3","나는 그림을 보며 어른이 되었다:오답노트 같았던 삶에 그림이 알려준 것들","이유리 지음","수오서재","2024","9791193238455","","0","","650.4","1","4","2024-12-10",
"4","벚꽃 팝콘","백유연 글·그림","웅진씽크빅","2020","9788901241371","","7","","813.8","1","4","2024-12-10",
"5","책을 사랑하는 사람들:이 책이 우리 집에 오기까지","스테파니 베르네 글;카미유 드 퀴삭 그림;이정주 옮김","우리학교","2024","9791167552945","","7","","010","1","6","2024-12-10",
"6","목련 만두:백유연 그림책","백유연 글·그림","웅진씽크빅","2023","9788901269061","","7","","813.8","1","5","2024-12-10",
"7","망설이는 사랑:케이팝 아이돌 논란과 매혹의 공론장","안희제 지음","오월의봄","2023","9791168730687","","0","","331.53","1","2","2024-12-10",
"8","연잎부침:백유연 그림책","백유연 글·그림","웅진씽크빅","2024","9788901283357","","7","","813.8","1","3","2024-12-10",
"9","코펜하겐 삼부작","토베 디틀레우센 지음;서제인 옮김","을유문화사","2022","9788932461311","","0","1","859.81","1","0","2024-12-10",
"10","잃어버린 것들의 목록:소멸을 통해 우리가 기억해야 하는 것들","유디트 샬란스키 지음;박경희 옮김","뮤진트리","2022","9791161111131","","0","","001.3","1","1","2024-12-10",
"11","편지 쓰는 법:손으로 마음을 전하는 일에 관하여","문주희 지음","유유","2022","9791167700452","","0","","802.6","1","3","2024-12-10",
"12","호두와 사람","조원희 글·그림","사계절출판사","2024","9791169813389","","7","","813.8","1","5","2024-12-10",
"13","긴 호흡:시를 사랑하고 시를 짓기 위하여","메리 올리버 지음;민승남 옮김","마음산책","2019","9788960906037","","0","","844","1","2","2024-12-10",
"14","산타클로스와 산타 마을의 일 년","마우리 쿤나스 글·그림;페트리 칼리올라 옮김","북뱅크","2022","9788966351718","","7","","839.64","1","7","2024-12-10",
"15","여러 가지 크리스마스 트리","오오데 유카코 글·그림;이정연 옮김","아이노리","2020","9791189768331","","7","","833.8","1","6","2024-12-10",
"16","산타클로스의 겨울 휴가","마우리 쿤나스 글·그림;페트리 칼리올라 옮김","북뱅크","2024","9788966352111","","7","","839.64","1","5","2024-12-10",
"17","휠체어 공주는 없어요?","공진하 글;홍선주 그림","낮은산","2024","9791155251768","","7","","813.8","1","5","2024-12-10",
"18","페퍼와 나:나의 작은 딱지 이야기","베아트리체 알레마냐 글·그림;정회성 옮김","비룡소","2024","9788949114484","","7","332","808.9","1","1","2024-12-10",
"19","마음의 기술:부정적 감정을 지우는 효과적인 뇌 사용법","안-엘렌 클레르,뱅상 트리부 [공]지음;구영옥 옮김","상상스퀘어","2024","9791192389233","","0","","186.5","1","3","2024-12-10",
"20","어쩌다 산타","박성익 글·그림","책읽는곰","2023","9791158364380","","7","","813.8","1","3","2024-12-10",
"21","우연의 질병, 필연의 죽음:죽음을 앞둔 철학자가 의료인류학자와 나눈 말들","미야노 마키코,이소노 마호 [공]지음;김영현 옮김","다다서재","2021","9791196820091","","0","","126.5","1","1","2024-12-10",
"22","아버지의 상자:가족, 혈통, 상속에 대한 도발","루카스 베르푸스 지음;박종대 옮김","마라카스","2023","9791198165015","","0","","858","1","1","2024-12-10",
"23","뜨뜨뜨뜨 뜩구:이혜란 그림책","이혜란 글·그림","곰곰","2024","9791198513113","","7","","813.8","1","5","2024-12-10",
"24","새벽의 그림자:최유안 장편소설","최유안 지음","은행나무","2024","9791167374325","","0","","813.7","1","3","2024-12-10",
"25","나의 인생만사 답사기:유홍준 잡문집","유홍준 지음","창비","2024","9788936480608","","0","","818","1","4","2024-12-10",
"26","자개장 할머니:안효림 그림책","안효림 지음","소원나무","2024","9791193207956","","7","","813.8","1","7","2024-12-10",
"27","(정재승의)인간 탐구 보고서:어린이를 위한 뇌과학 프로젝트","정재은 글;김현민 그림","아울북(북이십일 아울북)","2024","9788950968519","9788950983062","7","14","508","1","8","2024-12-10",
"28","돌머리들","오소리 지음","이야기꽃","2024","9791192102313","","7","","813.8","1","5","2024-12-10",
"29","빨간 장갑","하야시 기린 글;오카다 치아키 그림;유지은 옮김","천개의바람","2022","9791165733728","","7","","833.8","1","1","2024-12-10",
"30","(정재승의)인간 탐구 보고서:어린이를 위한 뇌과학 프로젝트","정재은 글;김현민 그림","아울북(북이십일 아울북)","2024","9788950969301","9788950983062","7","15","508","1","7","2024-12-10",
"31","풍미 마스터 클래스","백지혜 지음;정멜멜 사진","세미콜론","2024","9791194087588","","1","","594.5","1","5","2024-12-10",
"32","나를 아끼는 마음","김져니 글·그림","요호이","2024","9791198898814","","0","","818","1","2","2024-12-10",
"33","초밥이 여행을 갔어요","타나카 타츠야 지음;권남희 옮김","토토북","2024","9788964965214","","7","","833.8","1","6","2024-12-10",
"34","멜라닌:하승민 장편소설","하승민 지음","한겨레엔","2024","9791172130879","","0","","813.7","1","4","2024-12-10",
"35","사랑한다는 말","아니카 알다무이 데니즈 글;루시 루스 커민스 그림;남은주 옮김","북뱅크","2022","9788966351534","","7","","843","1","1","2024-12-10",
"36","삼각뿔 속의 잠:임희진 시","임희진 지음;나노 그림","문학동네","2024","9791141607951","","7","","811.8","1","3","2024-12-10",
"37","일주일:최진영 소설","최진영 지음","자음과모음","2021","9788954447546","","0","","813.7","1","4","2024-12-10",
"38","그거 사전:대체로 즐겁고 가끔은 지적이며 때로는 유머러스한 사물들의 이야기","홍성윤 지음","인플루엔셜(주)","2024","9791168342286","","0","","001.3","1","3","2024-12-10",
"39","시선 너머","오소리 지음","길벗어린이","2024","9788955827484","","7","","813.8","1","3","2024-12-10",
"40","음악소설집=音樂小說集","김애란 외 지음","Franz(프란츠)","2024","9791197325892","","0","","813.7","1","4","2024-12-10",
"41","황석영의 어린이 민담집","황석영 글;최준규 그림","휴먼큐브","2024","9791165383824","9791165383602","7","13","388.111","1","5","2024-12-10",
"42","황석영의 어린이 민담집","황석영 글;최명미 그림","휴먼큐브","2024","9791165383831","9791165383602","7","14","388.111","1","6","2024-12-10",
"43","돼지 안 돼지","이순옥 지음","킨더랜드","2016","9788956187273","","7","","813.8","1","3","2024-12-10",
"44","빨강","이순옥 지음","킨더랜드","2017","9788956187495","","7","","813.8","1","3","2024-12-10",
"45","안개 숲을 지날 때","송미경 글;장선환 그림","봄볕","2024","9791193150443","","7","","813.8","1","4","2024-12-10",
"46","딸기토마토호박감귤","김근영 지음","향출판사","2024","9791191886306","","7","","813.8","1","4","2024-12-10",
"47","누구일까요?","엘레나 셀레나 지음;박선주 옮김","보림","2024","9788943317140","","7","","375.1","1","3","2024-12-10",
"48","위키드","그레고리 머과이어 지음;송은주 옮김","민음사","2024","9788937428210","","0","1","843","1","5","2024-12-10",
"49","19호실로 가다","도리스 레싱 지음;김승욱 옮김","문예출판사","2018","9788931011012","","0","","843","1","4","2024-12-10",
"50","건축물의 기억","최경식,오소리,홍지혜 [공]지음","사계절","2024","9791169813365","","7","","813.8","1","1","2024-12-10",
"51","기술자들:김려령 소설집","김려령 지음","창비","2024","9788936439569","","0","","813.7","1","4","2024-12-10",
"52","올리브 키터리지:엘리자베스 스트라우트 소설","엘리자베스 스트라우트 지음;권상미 옮김","문학동네","2010","9788954611152","","0","","843","1","2","2024-12-10",
"53","다시 조선으로:해방된 조국, 돌아온 자들과 무너진 공동체","이연식 지음","역사비평사","2024","9788976965899","","9","","911.07","1","1","2024-12-10",
