번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","아무도 본 적 없는 자이언트 젤리피시를 찾아서","클로이 새비지 지음 이현아 옮김","주니어RHK(주니어랜덤)","2024","9788925574929","","7","","843","1","3","2024-12-20",
"2","하얀 선물 : 이연 그림책","이연 지음","책읽는곰","2024","9791158364854","","7","","813.8","1","5","2024-12-20",
"3","아빠, 나의 바다 : 이경아 그림책","이경아 지음","창비","2024","9788936429348","","7","","813.8","1","2","2024-12-20",
"4","아빠 : 모두 다르지만, 변함없는 31명의 이야기","엘렌 델포르주 글 캉텡 그레방 그림; 권지현 옮김","밝은미래","2024","9788965467052","","7","","863","1","2","2024-12-20",
"5","다리","에바 린드스트룀 지음 이유진 옮김","단추","2024","9791189723354","","7","","859.7","1","1","2024-12-20",
"6","자그맣고 커다란 고릴라 : 반대와 반대의 세계","앤서니 브라운 지음 이훤 옮김","웅진주니어","2024","9788901284026","","7","","843","1","2","2024-12-20",
"7","우리 함께 겨울을 보내면 어떨까?","앙드레 프리장 지음 제님 옮김","목요일","2024","9791198660930","","7","","863","1","2","2024-12-20",
"8","길을 잃었어","알리체 로르바케르 글 리다 치루포 그림; 이승수 옮김","풀빛","2024","9791161729428","","7","","883","1","3","2024-12-20",
"9","자개장 할머니 : 안효림 그림책","안효림 지음","소원나무","2024","9791193207956","","7","","813.8","1","3","2024-12-20",
"10","파도가 지나간 뒤","상드린 카오 지음 이세진 옮김","웅진씽크빅","2024","9788901285542","","7","","863","1","4","2024-12-20",
"11","불꽃 아이","사르탁 신하 지음 김세실 옮김","위즈덤하우스","2024","9791192655871","","7","","843","1","1","2024-12-20",
"12","나는 크고 아름다워요","배슈티 해리슨 지음 김서정 옮김","책읽는곰","2024","9791158364700","","7","","843","1","3","2024-12-20",
"13","마마레인저","박지선 글 박소연 그림","발견","2024","9791164635016","","7","","813.8","1","3","2024-12-20",
"14","터널 밖으로","바버라 레이드 지음 나희덕 옮김","제이포럼","2024","9791198710482","","7","","843","1","1","2024-12-20",
"15","이길 저길","문정인 지음","노란돼지","2024","9791191592597","","7","","813.8","1","0","2024-12-20",
