번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","(개발자의 하루를 바꾸는) 코파일럿＆챗GPT ","마이클 D. 캘러핸 지음;정원창 옮김","한빛미디어","2023","9791169211420","","","","004.73","1","0","2025-02-27",
"2","우리가 처음 사피엔스였을 때 ","김상태 지음","사계절","2025","9791169813525","","0","","909.1","1","0","2025-02-25",
"3","우리 반 문병욱 ","이상교 글;한연진 그림","문학동네","2023","9788954695091","","7","","813.8","1","0","2025-02-25",
"4","[큰글자책] 침팬지 폴리틱스 ","프란스 드 발 지음;장대익 ;황상익 옮김","","2024","9791166892905","","0","","491.51","1","0","2025-02-22",
"5","[큰글자책] 챗GPT ","반병현 지음","","2024","9791192932781","","0","","331.5412","1","0","2025-02-22",
"6","[큰글자책] 줬으면 그만이지 ","김주완 지음","","2024","9791186351666","","0","","338.17099","1","0","2025-02-22",
"7","[큰글씨책] (장하준의) 경제학 레시피","장하준 지음;김희정 옮김","","2024","9791193528280","","0","","320","1","0","2025-02-22",
"8","[큰글자책] 우리는 모두 죽는다는 것을 기억하라 ","웨인 다이어 지음;정지현 옮김","","2024","9791158512934","","0","","199.1","1","0","2025-02-22",
"9","[큰글자책] 영어책 한 권 외워봤니? ","김민식 지음","","2024","9791171712489","","0","","740","1","0","2025-02-22",
"10","[큰글자책] 시에나에서의 한 달 ","히샴 마타르 지음;신해경 옮김","","2024","9788930107884","","0","","650.4","1","0","2025-02-22",
"11","[큰글자책] 스토너 ","존 윌리엄스 지음;김승욱 옮김","","2024","9878925574585","","0","","843.5","1","0","2025-02-22",
"12","[큰글자책] 생에 감사해 ","김혜자 지음","","2024","9791193238394","","0","","818","1","0","2025-02-22",
"13","[큰글자책] 비가 오면 열리는 상점 ","유영광 지음","","2023","9791193235249","","0","","813.7","1","0","2025-02-22",
"14","토마토 ","이지연 지음","NC문화재단(엔씨문화재단)","2024","9791196368234","","7","","813.8","1","0","2025-02-22",
"15","[큰글자책] 느리게 나이 드는 습관 ","정희원 지음","","2024","9791193080399","","0","","517.3","1","0","2025-02-22",
"16","[큰글자책] 내가 가진 것을 세상이 원하게 하라 ","최인아 지음","","2024","9791167140869","","0","","325.211","1","0","2025-02-22",
"17","[큰글자책] 나는 어떻게 삶의 해답을 찾는가 ","고명환 지음","","2024","9791193939154","","0","","029.4","1","0","2025-02-22",
"18","[큰글자책] 나는 메트로폴리탄 미술관의 경비원입니다 ","패트릭 브링리 지음;김희정,조현주 [공]옮김","","2024","9788901285528","","0","","848","1","0","2025-02-22",
