번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","나라를 위해서 일한다는 거짓말","노한동","사이드웨이","2024","9791191998375","","","","350.31","1","0","2025-01-24",
"2","생각하는 즐거움: 소설","박두진문학관","","2024","9791193446157","","","2024","813.7","1","0","2025-01-08",
"3","생각하는 즐거움: 시","박두진문학관","","2024","9791193446140","","","2024","811.7","1","0","2025-01-08",
"4","생각하는 즐거움: 아동문학","박두진문학관","","2024","9791193446164","","","2024","813.8","1","0","2025-01-08",
"5","딸기토마토호박감귤","김근영","향","2024","9791191886306","","","","813.8","1","0","2025-01-02",
"6","용궁 공주와 붕어빵: 송태고 그림책","송태고","노는날","2024","9791198833228","","","","813.8","1","0","2025-01-02",
"7","생리를 시작한 너에게 : 소녀들을 위한 솔직하고 유쾌한 생리 안내서","스타인스, 유미","다산어린이","2024","9791130635804","","","","516","1","0","2025-01-02",
"8","수집가들의 보물 : 평범한 일상에서 찾은 특별한 수집 이야기","브뤼넬리에르, 뤼시","씨드북","2023","9791160514926","","","","699.9","1","0","2025-01-02",
"9","자연","삼성출판사","삼성출판사 [판매]","2020","9788915002593","","","20","408","1","0","2025-01-02",
"10","곡식과 열매","삼성출판사","삼성출판사 [판매]","2020","9788915002586","","","19","408","1","0","2025-01-02",
"11","채소","삼성출판사","","2020","9788915002579","","","18","408","1","0","2025-01-02",
"12","과일","삼성출판사","","2020","9788915002562","","","17","408","1","0","2025-01-02",
"13","꽃","삼성출판사","","2020","9788915002555","","","16","408","1","0","2025-01-02",
"14","나무와 풀","삼성출판사","","2020","9788915002548","","","15","408","1","0","2025-01-02",
"15","누구일까","삼성출판사","","2020","9788915002531","","","14","408","1","0","2025-01-02",
"16","눈 나라 얼음 나라","삼성출판사","","2020","9788915002524","","","13","408","1","0","2025-01-02",
"17","친구가 좋아","삼성출판사","","2020","9788915002517","","","12","408","1","0","2025-01-02",
"18","우리 엄마 최고","삼성출판사","","2020","9788915002500","","","11","408","1","0","2025-01-02",
"19","엄마처럼 아빠처럼","삼성출판사","","2020","9788915002494","","","10","408","1","0","2025-01-02",
"20","곤충","삼성출판사","삼성출판사 [판매]","2020","9788915002487","","","9","408","1","0","2025-01-02",
"21","새","삼성출판사","삼성출판사 [판매]","2020","9788915002470","","","8","408","1","0","2025-01-02",
"22","토지: 박경리 대하소설.20(제5부 5권)","박경리","다산책방","2024","9791130699455","","","20","813.6","1","0","2025-01-02",
"23","신기한 동물","삼성출판사","삼성출판사 [판매]","2020","9788915002463","","","7","408","1","0","2025-01-02",
"24","갯벌","삼성출판사","삼성출판사 [판매]","2020","9788915002456","","","6","408","1","0","2025-01-02",
"25","강과 연못","삼성출판사","삼성출판사 [판매]","2020","9788915002449","","","5","408","1","0","2025-01-02",
"26","토지: 박경리 대하소설.19(제5부 4권)","박경리","다산책방","2024","9791130699455","","","19","813.6","1","0","2025-01-02",
"27","토지: 박경리 대하소설.18(제5부 3권)","박경리","다산책방","2024","9791130699455","","","18","813.6","1","0","2025-01-02",
"28","토지: 박경리 대하소설.17(제5부 2권)","박경리","다산책방","2024","9791130699455","","","17","813.6","1","0","2025-01-02",
"29","토지: 박경리 대하소설.16(제5부 1권)","박경리","다산책방","2024","9791130699455","","","16","813.6","1","0","2025-01-02",
"30","토지: 박경리 대하소설.15(제4부 3권)","박경리","다산책방","2024","9791130699455","","","15","813.6","1","0","2025-01-02",
"31","토지: 박경리 대하소설.14(제4부 2권)","박경리","다산책방","2024","9791130699455","","","14","813.6","1","0","2025-01-02",
"32","토지: 박경리 대하소설.13(제4부 1권)","박경리","다산책방","2024","9791130699455","","","13","813.6","1","0","2025-01-02",
"33","토지: 박경리 대하소설.12(제3부 4권)","박경리","다산책방","2024","9791130699455","","","12","813.6","1","0","2025-01-02",
"34","토지: 박경리 대하소설.11(제3부 3권)","박경리","다산책방","2024","9791130699455","","","11","813.6","1","0","2025-01-02",
"35","토지: 박경리 대하소설.10(제3부 2권)","박경리","다산책방","2024","9791130699455","","","10","813.6","1","0","2025-01-02",
"36","토지: 박경리 대하소설.9(제3부 1권)","박경리","다산책방","2024","9791130699455","","","9","813.6","1","0","2025-01-02",
"37","토지: 박경리 대하소설.8(제2부 4권)","박경리","다산책방","2024","9791130699455","","","8","813.6","1","0","2025-01-02",
"38","토지: 박경리 대하소설.7(제2부 3권)","박경리","다산책방","2024","9791130699455","","","7","813.6","1","0","2025-01-02",
"39","토지: 박경리 대하소설.6(제2부 2권)","박경리","다산책방","2024","9791130699455","","","6","813.6","1","0","2025-01-02",
"40","토지: 박경리 대하소설.5(제2부 1권)","박경리","다산책방","2024","9791130699455","","","5","813.6","1","0","2025-01-02",
"41","토지: 박경리 대하소설.4(제1부 4권)","박경리","다산책방","2024","9791130699455","","","4","813.6","1","0","2025-01-02",
"42","토지: 박경리 대하소설.3(제1부 3권)","박경리","다산책방","2024","9791130699455","","","3","813.6","1","0","2025-01-02",
"43","토지: 박경리 대하소설.2(제1부 2권)","박경리","다산책방","2024","9791130699455","","","2","813.6","1","0","2025-01-02",
"44","바다와 극지방","삼성출판사","삼성출판사 [판매]","2020","9788915002432","","","4","408","1","0","2025-01-02",
"45","초원과 사막","삼성출판사","삼성출판사 [판매]","2020","9788915002425","","","3","408","1","0","2025-01-02",
"46","숲속 동물","삼성출판사","삼성출판사 [판매]","2020","9788915002418","","","2","408","1","0","2025-01-02",
