번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","긴자 시호도 문구점 : 우에다 겐지 장편소설","우에다 겐지","오팬하우스","2024","9791194293156","","","","833.6","1","0","2025-02-14",
"2","(처음 읽는) 삼국지.1, 영웅과의 만남","나관중","미래엔","2024","9791173111402","","","1","823.5","1","0","2025-02-13",
"3","우리말을 지킨 사람들","곽영미","숨쉬는책공장","2021","9791186452776","","","","998.7","1","0","2025-02-06",
"4","오월의 주먹밥 : 1980년 한국, 5·18 민주화 운동","정란희","한울림","2022","9791163931157","","","","911.0745","1","1","2025-02-06",
"5","수상한 옆집","박현숙","북멘토(도서출판)","2024","9788963196176","","","","813.8","1","1","2025-02-06",
"6","모든 순간, 너였어","류한월","봄볕","2024","9791193150474","","","","813.8","1","1","2025-02-06",
"7","말이야와 좋은 습관 친구들.4, 용돈이 더 필요해!","말이야와 친구들","주니어김영사","2025","9791173320606","","","4","308","1","0","2025-02-06",
"8","흔한남매.18","흔한남매","미래엔아이세움","2024","9791173114038","","","18","813.8","1","0","2025-01-31",
"9","변비 탐정 실룩.4, 왕관을 노리는 토끼들","이나영","북스그라운드","2024","9791168342422","","","4","813.8","1","2","2025-01-16",
"10","아기 돼지 세 마리","위즈너, 데이비드","마루벌","2024","9791194090014","","","","843.6","1","0","2025-01-15",
"11","사람의 향기","홍승표","위(도서출판)","2024","9791186861394","","","","199.1","1","1","2025-01-14",
"12","생각하는 즐거움: 소설","박두진문학관","","2024","9791193446157","","","2024","813.7","1","0","2025-01-08",
"13","생각하는 즐거움: 시","박두진문학관","","2024","9791193446140","","","2024","811.7","1","0","2025-01-08",
"14","생각하는 즐거움: 아동문학","박두진문학관","","2024","9791193446164","","","2024","813.8","1","0","2025-01-08",
"15","상처도 꽃이다 : 김석규 시조집","김석규","미소(미소출판사)","2024","9791186803158","","","","811.36","1","0","2025-01-08",
"16","더 나은 어휘를 쓰고 싶은 당신을 위한 필사책","이주윤","빅피시","2024","9791194033455","","","","802","1","0","2025-01-03",
