번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","나의 뇌를 지켜주는 건강한 피부 : 정진호 교수가 연구를 통해 발견한 재미있고 유익한 피부 이야기","정진호","디자인메카","2024","9788996880752","","","","593.2","1","0","2025-02-27",
"2","걱정 해방: 불안 과잉 시대, 마음의 면역력을 키우는 멘탈 수업","부슈, 폴커","비즈니스북스","2025","9791162544051","","","","199.1","1","1","2025-02-11",
"3","상처와 불안 이렇게 극복해!","최범수","가나북스","2025","9791164461172","","","","199.1","1","0","2025-02-05",
"4","이 책은 돈에 관한 동기부여 이야기 : 돈에 대해 어떠한 노력도 하지 않는 너에게","곽지현","생각지도","2024","9791187875437","","","","327.04","1","0","2025-01-22",
"5","놓지 마 맞춤법.5, 좀비 시티 대모험","신태훈","주니어김영사","2024","9791173320385","","","5","711.25","1","0","2025-01-16",
"6","(의사가 추천하는 혼자 힘으로) 약해진 심장을 건강하게 만드는 방법","고즈키 마사히로","청홍(지상사)","2025","9791191136326","","","","513.1","1","1","2025-01-14",
"7","(혼자해도 쉽게 배우는) 릴리의 어반스케치 기초+완성: 차근차근 배우는 펜 드로잉부터 수채화까지","릴리의 아뜰리에","심통","2025","9791193247082","","","","656","1","2","2025-01-09",
"8","생각하는 즐거움: 소설","박두진문학관","","2024","9791193446157","","","2024","813.7","1","0","2025-01-08",
"9","생각하는 즐거움: 시","박두진문학관","","2024","9791193446140","","","2024","811.7","1","0","2025-01-08",
"10","생각하는 즐거움: 아동문학","박두진문학관","","2024","9791193446164","","","2024","813.8","1","1","2025-01-08",
"11","천개산 패밀리.4","박현숙","특서주니어","2024","9791167031372","","","4","813.8","1","2","2024-12-17",
"12","내 멋대로 산타 뽑기. 4, 크리스마스 축제 대소동","최은옥","주니어김영사","2024","9791194330509","","","4","813.8","1","0","2024-12-10",
"13","현명한 존재는 무리에 섞이지 않는다: 군중심리","봉, 귀스타브 르","Page2(페이지2북스)","2024","9791169851039","","","","331.16","1","3","2024-12-10",
"14","당신을 알기 전에는 시 없이도 잘 지냈습니다","류시화","수오서재","2024","9791193238493","","","","811.7","1","1","2024-11-30",
"15","다산의 일기장: 백문백답으로 읽는 인간 다산과 천주교에 얽힌 속내","정민","김영사","2024","9791194330530","","","","991.05","1","2","2024-11-30",
"16","린치핀 : 세상은 이들을 따른다","고딘, 세스","필름(Feelm)","2024","9791193262290","","","","325.211","1","2","2024-11-30",
"17","(김미경의) 딥마인드: 열심히 살아봤지만 허무함에 지친 당신을 위한","김미경","엠케이유니버스","2024","9791198013088","","","","325.211","1","3","2024-11-30",
"18","딕테","차학경","문학사상","2024","9788970123103","","","","848","1","0","2024-11-30",
"19","일의 감각=Work and Sense","조수용","B Media Company","2024","9791193383193","","","","325.04","1","0","2024-11-30",
"20","반려 요괴.2, 조마구","김영주","위즈덤하우스","2024","9791171712687","9791171712663","","2","813.8","1","2","2024-11-26",
"21","어떤 어른: 김소영 에세이","김소영","사계절(사계절출판사)","2024","9791169813419","","","","814.7","1","0","2024-11-18",
"22","진흙에 물들지 않는 연꽃처럼 : 불광법회 창립 50주년 기념문집","대한불교조계종 불광사·불광법회","나무향","2024","9791189052867","","","","220.4","1","1","2024-11-16",
"23","어른의 글쓰기: '쓰는 사람'에서 '작가'가 되기까지","황유진","호호아","2024","9791197519475","","","","802","1","1","2024-11-16",
"24","들개","조원희","LOB","2024","9791186825365","","","","813.8","1","0","2024-11-15",
"25","나 혼자 풍경 드로잉: 기초 연필 스케치부터 고급 테크닉까지","이일선","그림책방","2023","9791197437113","","","","656","1","4","2024-11-13",
"26","내가 알던 사람 : 알츠하이머의 그늘에서","자우하르, 샌디프","글항아리","2024","9791169092890","","","","513.819","1","1","2024-11-09",
"27","나의 인생만사 답사기 : 유홍준 잡문집","유홍준","창비","2024","9788936480608","","","","818","1","2","2024-11-09",
"28","인생을 건너는 한 문장 : 당신에겐 한 문장이 있습니까?","정철","김영사","2024","9791194330028","","","","818","1","4","2024-11-08",
"29","어른의 행복은 조용하다","태수","페이지2(page2)","2024","9791169851053","","","","818","1","3","2024-11-06",
"30","(흔한남매의) 흔한 호기심.12","흔한남매","미래엔","2024","9791168419018","9791164136025","","12","408","1","4","2024-11-05",
"31","파스칼 인생 공부 : 인간의 마음을 해부한, 67가지 철학수업","파스칼, 블레즈","Pascal(파스칼)","2024","9791186151716","","","","166.3","1","1","2024-10-31",
"32","하루 한 꼭지 초등 한국사.2, 조선 시대~현대","박경렬","김영사","2022","9788934943556","","","2","911","1","2","2024-10-28",
"33","모두의 금리=Interest Rates for All: 흔들리는 부의 공식과 금리의 황금 비밀","조원경","에프엔미디어","2024","9791194322009","","","","327.4","1","0","2024-10-28",
"34","저도 사춘기 딸이 어렵습니다만","제나","두드림미디어","2024","9791193210369","","","","598.125","1","1","2024-10-07",
"35","쿠키런 킹덤.20, 찬란하게 빛나는 나날","김강현","서울문화사","2024","9791169233187","","","20","813.8","1","5","2024-10-04",
"36","(설민석의) 한국사 대모험.30, 공민왕 편 - 세상에서 가장 슬픈 이야기","설민석","단꿈아이","2024","9791193031681","","","30","911","1","0","2024-10-04",
"37","이스라엘에 대한 열 가지 신화 : 유대인 역사학자의 통렬한 이스라엘 비판서","파페, 일란","틈새책방","2024","9791188949649","","","","918.63","1","2","2024-09-13",
"38","유딧의 제주 어반 스케치 : 제주, 걷고 그리다","박지현","YH Media(와이에치미디어)","2024","9791189993351","","","","656","1","3","2024-09-13",
"39","오늘의 할 일","김동수","창비","2024","9788936429331","","","","813.8","1","2","2024-09-11",
"40","그림책을 읽는 12가지 방법 : 12가지 플롯으로 그림책 읽기","황보현","고요아침","2023","9791167241788","","","","029.8","1","1","2024-09-11",
"41","다시, 그림책테라피가 뭐길래","오카다 다쓰노부","나는별","2024","9791188574582","","","","029.4","1","1","2024-09-11",
"42","감정을 이해하는 그림책 큐레이션","그림책심리성장연구소","사우","2024","9791194126027","","","","029.4","1","2","2024-09-11",
"43","남겨두고 싶은 순간들 : 박성우 시집","박성우","창비","2024","9788936425074","","","","811.7","1","1","2024-09-11",
