번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","똑똑! 은혜 갚으러 왔습니다:굽이굽이 전해오는 남과 북의 엣이야기","선안나 글;심은숙 그림","국립통일교육원","2023","9791197224065","","","","082","1","0","2025-02-19",
"2","장군 정기룡:하용준 장편소설","하용준","은행나무","2023","9791167372994","","","","813.8","1","0","2025-02-19",
"3","날 부르지 마!","안선희 글 ; 허자영 그?","샘터(샘터사)","2023","9788946474369","","","","813.8","1","0","2025-02-19",
"4","(독립의 꿈을 잃지 않은) 김지섭","김빈애 글 ; 정은주 그림","경상북도독립운동기념관","2023","9788963836591","","","","911.06","1","0","2025-02-19",
"5","서명주 동시집 :어린이와 어른을 위한 동시","서명주 글","착한북스","2022","9791190579025","","","","811.8","1","0","2025-02-19",
"6","(바로미와 함께하는) 좌충우돌 재판이야기","서울교육대학교 법과인권교육연구소 글 ; 극동만화연구소 그림","사법발전재단","2024","9791160861204","","","6","367","1","0","2025-02-19",
"7","(바로미와 함께하는) 좌충우돌 재판이야기","서울교육대학교 법과인권교육연구소 글 ; 극동만화연구소 그림","사법발전재단","2024","9791160861174","","","3","367","1","0","2025-02-19",
"8","(바로미와 함께하는) 좌충우돌 재판이야기","서울교육대학교 법과인권교육연구소 글 ; 극동만화연구소 그림","사법발전재단","2024","9791160861167","","","2","367","1","0","2025-02-19",
"9","우리 태극기 = TAEGEUKGI","양산시립독립기념관","양산시립독립기념관","2024","9791198284471","","","","910","1","0","2025-02-19",
"10","(바로미와 함께하는) 좌충우돌 재판이야기","서울교육대학교 법과인권교육연구소 글 ; 극동만화연구소 그림","사법발전재단","2024","9791160861150","","","1","367","1","0","2025-02-19",
"11","(바로미와 함께하는) 좌충우돌 재판이야기","서울교육대학교 법과인권교육연구소 글 ; 극동만화연구소 그림","사법발전재단","2024","9791160861198","","","5","367","1","0","2025-02-19",
"12","(바로미와 함께하는) 좌충우돌 재판이야기","서울교육대학교 법과인권교육연구소 글 ; 극동만화연구소 그림","사법발전재단","2024","9791160861181","","","4","367","1","0","2025-02-19",
"13","토마토","이지연 지음","NC문화재단(엔씨문화재단)","2024","9791196368234","","","","813.7","1","0","2025-02-19",
"14","두 번 사는 도령","김명신, 김정현, 김현숙, 박혜영, 장인욱, 한정혜 글 ; 땃쥐 작가 그림","정읍시","2024","9791139419290","","","","813.8","1","0","2025-02-19",
"15","보림사 장사천의 비밀","곽선미,김영화,박은정,송윤선,이종원,주경하 글;유미지 그림","정읍시","2024","9791139419306","","","","813.8","1","0","2025-02-19",
"16","梁山文學(양산문학) = The Yangsan Literature","양산문인협회","양산문인협회","2023","9772799537005","","","","810","1","0","2025-02-17",
"17","여정의 끝자락에서","이씨 글·사진","바른북스","2024","9791172631512","","","","981.502","1","1","2025-02-17",
"18","해리에게 생긴 일 : 디지털 성폭력 예방을 위한 그림책","안성기","경남서부해바라기센터","2024","9791189146184","","","","813.8","1","0","2025-02-17",
"19","아장아장 박물관 첫걸음 = First Steps to the Museum","박연희","국립춘천박물관","2024","9788996294993","","","","069","1","0","2025-02-17",
"20","사송 숲에 봄이 왔어요!","권혜진 지음 ; 허인석 그림","디자인&출판 더함","2024","9791198104892","","","","472","1","1","2025-02-17",
"21","부여 역사 탐험대","이순, 김소정 글 ; 홍수진 그림","부여군","2024","9791194309000","","","1","911.79","1","2","2025-02-17",
"22","문학산 술바위와 효자","김옥재 글·그림 ; 인천광역시 기획·감수","인천광역시","2024","9791192697888","","","","388.311","1","1","2025-02-17",
"23","건강한 바다, 건강한 지구!","뮤지엄교육연구소","국립해양과학관","2024","9791198936707","","","","454","1","1","2025-02-17",
"24","부여 역사 탐험대","이순, 김소정 글 ; 홍수진 그림","부여군","2024","9791194309017","","","2","911.79","1","1","2025-02-17",
"25","(독립 운동가의 마음을 하나로 모은) 김동삼","김미애 글 ; 문구선 그림","안동시·(재)경상북도호국보훈재단","2024","9791198536242","","","","990.8","1","0","2025-02-17",
"26","교동도의 욕심쟁이 마을","김현정 글·그림 ; 인천광역시 기획·감수","인천광역시","2024","9791192697895","","","","388.311","1","1","2025-02-17",
"27","어른의 행복은 조용하다","태수 지음","페이지2(page2)","2024","9791169851053","","","","818","1","1","2025-02-17",
"28","사춘기 아들의 마음을 잡아주는 부모의 말 공부:상처 주지 않고 진심을 전하는 존중 대화 솔루션 37","이은경 지음","콘텐츠그룹 포레스트","2023","9791192625393","","","","378.9","1","1","2025-02-17",
"29","아들 사춘기 대 갱년기","제성은 지음 ; 이승연 그림","개암나무","2024","9788968308512","","","","808.9","1","1","2025-02-17",
"30","버티고 견디고 살아내라","안호성 지음","규장(규장문화사)","2024","9791165045883","","","","234.8","1","1","2025-02-17",
"31","길 위에서 던진 질문:그분과 함께 걸어가는 대단하지 않지만 빛나는 일상","이요셉 사진·글","규장","2024","9791165045715","","","","234.8","1","1","2025-02-17",
"32","마법의 푸드 트럭","박민희 지음 ; 안병현 그림","라곰스쿨","2025","9791193939222","","","","813.8","1","1","2025-02-17",
"33","정브르의 별별 파충류 일기:브르와 함께 떠나는 별별 파충류·양서류 탐험!","정브르 지음 ; 샌드박스네트워크 감수","서울문화사","2025","9791169234986","","","","497.9","1","1","2025-02-17",
"34","왜 그들만 부자가 되는가:부의 격차를 좁히는 진짜 돈의 모습","필립 바구스,안드레아스 마르크바르트 지음; 배진아 옮김","북모먼트","2025","9791193937396","","","","327.21","1","1","2025-02-17",
"35","(초보에서 최고의 마케터가 되는) 하루 10분 마케팅 습관 ","흑상어쌤 지음","다반","2023","9791185264813","","","","325.5","1","1","2025-02-17",
"36","타키 포오 코믹 어드벤처:캐릭온TV 오리지널 코믹스","캐릭온TV 원작 ; 안도감 지음 ; 김규태 그림","대원키즈","2024","9791171249480","","","","813.8","1","1","2025-02-17",
"37","타키 포오 코믹 어드벤처:캐릭온TV 오리지널 코믹스","캐릭온TV 원작;안도감 지음; 김규태 그림","대원키즈","2024","9791172038953","","","","813.8","1","2","2025-02-17",
"38","(타키·포오의) 이세계 여행사:캐릭온TV 창작 어드벤처 만화","캐릭온TV 원작 ; 동암, 송도수 지음 ; 이지운 그림","대원키즈","2024","9791172452223","9791169794176","","","813.8","1","2","2025-02-17",
"39","매일 수채화:붓 가는대로 보태니컬 아트, 서툴러도 괜찮아!","김정희 지음","더 디퍼런스","2018","9791161251042","","","","652.52","1","2","2025-02-17",
"40","최강 신화왕:신화 속 절대 강자는 누구인가","학연 컨텐츠 개발팀 지음 ; 김건 옮김 ; 다케루베 노부아키 감수","다락원","2022","9788927701576","","","","187.41","1","1","2025-02-17",
"41","대치동 수학 고민 상담소 :수학을 유난히 어려워하는 아이들을 위한 공부 전략","김현정 지음","브리드북스","2025","9791198545350","","","","410.7","1","1","2025-02-17",
"42","상한 감정 버리기:감정을 감성으로 리셋하라","도은미 지음","규장(규장문화사)","2025","9791165045913","","","","235.2","1","1","2025-02-17",
"43","아들을 잘 키우는 말은 따로 있습니다:아들 내면의 숨겨진 가능성을 깨우는 부모의 말 50가지","이진혁 지음","Whale Books(웨일북)","2024","9791192097916","","","","598.132","1","1","2025-02-17",
"44","(타키·포오의) 이세계 여행사:캐릭온TV 창작 어드벤처 만화","캐릭온TV 원작; 동암, 송도수 지음; 이지운 그림","대원키즈","2024","9791172883690","9791169794176","","","813.8","1","2","2025-02-17",
"45","(타키·포오의) 이세계 여행사 :캐릭온TV 창작 어드벤처 만화","캐릭온TV 원작;동암, 송도수 지음; 이지운 그림","대원키즈","2024","9791142303708","","","","813.8","1","2","2025-02-17",
"46","STOP THE STEAL:대법원의 부정선거 은폐기록","도태우, 박주현, 윤용진, 현성삼 지음","스카이","2025","9791198718532","","","","344","1","0","2025-02-17",
"47","해피버쓰데이","백희나 (지은이)","Storybowl(스토리보울)","2024","9791198807281","","","","813.8","1","3","2025-01-20",
"48","흔한남매 18","흔한남매 (지은이),백난도 (글),유난희 (그림),흔한컴퍼니 (감수)","미래엔아이세움","2024","9791173114038","","","","813.8","1","5","2025-01-20",
"49","박태웅의 AI 강의 2025 - 인공지능의 출현부터 일상으로의 침투까지 우리와 미래를 함께할 새로운 지능의 모든 것","박태웅 (지은이)","한빛비즈","2024","9791157847679","","","","004.73","1","0","2025-01-20",
"50","책으로 뭘 하지?","프란체스카 마스케로니 (지은이),프란체스카 아이엘로 (그림),김경희 (옮긴이)","FIKAJUNIOR(피카주니어)","2024","9791192869285","","","","883","1","3","2025-01-20",
"51","다람쥐를 따라간 숲","이명희 (지은이),차상미 (그림)","이론과실천","2023","9788931381498","","","","813.7","1","2","2025-01-20",
"52","자본주의 편의점 1 : 돈과 신용 - 어린이 경제 교육 동화","정지은,이효선 (지은이),김미연 (그림),이성환 (감수)","가나출판사","2024","9791168091504","","","","320","1","4","2025-01-20",
"53","절대 막히지 않는 웹소설 작법","천지혜 (지은이)","오늘","2023","9791197924811","","","","802.3","1","2","2025-01-20",
"54","설날 한상","양주현 (지은이)","FIKAJUNIOR(피카주니어)","2025","9791192869292","","","","808.91","1","1","2025-01-20",
"55","동백 호빵","백유연 (지은이)","웅진주니어","2024","9788901290706","","","","813.8","1","3","2025-01-20",
"56","독서, 큰솔처럼","강준이,구미옥,권은주,문미옥,안현정,이은숙,전미경,전세병,조은경 (지은이)","북랩","2024","9791172243913","","","","029.04","1","2","2025-01-20",
"57","나목","박완서 (지은이)","세계사컨텐츠그룹","2024","9788933872390","","","","813.62","1","2","2025-01-20",
"58","한 말씀만 하소서 - 출간 20주년 특별 개정판","박완서 (지은이)","세계사","2024","9788933872482","","","","816.6","1","2","2025-01-20",
"59","하루 10분 브랜딩 습관 - 소규모 사업자가 처음 읽는 브랜드 책","흑상어쌤 (지은이)","다반","2024","9791194267126","","","","325.5","1","2","2025-01-20",
"60","매일 로고 365 - 하루, 하나","이시카와 류타 (지은이),김경균 (옮긴이)","우듬지","2022","9788967541187","","","","658.3","1","1","2025-01-20",
"61","하루 한 장 UX의 법칙 100 - 바쁜 기획자와 디자이너를 위한 원포인트 UX/UI 디자인 레슨","아이린 페레이라 (지은이), 현호영 (옮긴이)","유엑스리뷰","2024","9791193217771","","","","658.3","1","1","2025-01-20",
"62","태양을 만드는 사람들 - 토카막으로 만드는 핵융합 무한 에너지","나용수 (지은이)","계단","2024","9788998243302","","","","429.264","1","1","2025-01-20",
"63","초전도체 - 양자 시대를 여는 꿈의 물질","김기덕 (지은이)","김영사","2024","9788934941514","","","","427.623","1","2","2025-01-20",
"64","우당탕탕 김장 원정대","무돌","노란돼지","2024","9791159954146","","","","594","1","3","2025-01-13",
"65","지옥 고양이","이지","페이퍼독","2024","9791197931642","","","","813.8","1","4","2025-01-13",
"66","사탕 트리","백유연","웅진씽크빅","2020","9788901247656","","","67","813.7","1","3","2025-01-13",
"67","용궁 공주와 붕어빵","송태고","노는날","2024","9791198833228","","","19","813.8","1","3","2025-01-13",
"68","용기 내! 바나나","사토 메구미;황진희 옮김","올리","2024","9791194246220","","","","833.6","1","3","2025-01-13",
"69","몽글몽글 편의점","김영진","책읽는곰","2024","9791158364823","","","111","813.7","1","3","2025-01-13",
"70","초코초코 초코해!","한라경;서영 그림","토끼섬","2024","9791198578082","","","","813.8","1","3","2025-01-13",
"71","자개장 할머니","안효림","소원나무","2024","9791193207956","","","19","813.7","1","3","2025-01-13",
"72","하늘에서 눈토끼가 내려요!","후이팡 정;정미애 옮김","신나는원숭이","2024","9791198912107","","","","863","1","3","2025-01-13",
"73","산타 할아버지의 첫 크리스마스","맥 바넷;시드니 스미스 그림, 김지은 옮김","책읽는곰","2024","9791158364953","","","080","843","1","4","2025-01-13",
"74","흔한남매 과학 탐험대","흔한남매;김언정·송은경 글, 임혜영 그림, 정현철 감수","주니어김영사","2024","9791194330592","","","12","404","1","4","2025-01-13",
"75","흔한남매 과학 탐험대","흔한남매;김언정·송은경 글, 김덕영 그림, 김희목 감수","김영사","2024","9788934935193","9788934989554","","11","400","1","4","2025-01-13",
"76","흔한남매 과학 탐험대","흔한남매;김언정·이현진 글, 이태영·임혜영 그림, 최진수 감수","주니어김영사","2024","9788934905851","","","10","408","1","5","2025-01-13",
"77","흔한남매 과학 탐험대","흔한남매;김언정·이현진 글, 이태영·김덕영 그림, 정현철 감수","김영사","2023","9788934946625","9788934989554","","9","400","1","4","2025-01-13",
"78","Who? Special IVE 아이브","조약돌;백재이 그림","다산어린이","2024","9791130657875","","","","998.6","1","4","2025-01-13",
"79","Who? Special FAKER 페이커","오기수, 김정욱;이지은 그림, 이상혁 감수","다산북스","2024","9791130655383","","","","998.6","1","4","2025-01-13",
"80","설민석의 한국사 대모험","설민석, 스토리박스;정현희 그림, 강석화 감수","단꿈아이","2024","9791193031742","","","31","911","1","3","2025-01-13",
"81","그리스 로마 신화","박시연;최우빈 그림, 강대진 감수","북이십일","2024","9788950941635","9788950971359","","38","219","1","2","2025-01-13",
"82","그리스 로마 신화","박시연;최우빈 그림, 김헌 감수","북이십일","2024","9788950941628","9788950971359","","37","219","1","2","2025-01-13",
"83","그리스 로마 신화","박시연;최우빈 그림, 김헌 감수","북이십일","2023","9788950941611","9788950971359","","36","219","1","3","2025-01-13",
"84","설민석의 한국사 대모험","설민석, 스토리박스;정현희 그림, 강석화 감수","Dankkum i(단꿈아이)","2024","9791193031681","9791191496192","","30","911","1","4","2025-01-13",
"85","행복의 기원","서은국","북이십일 아르테","2024","9791171175864","","","","181.71","1","2","2025-01-13",
"86","일의 감각","조수용","B Media Company","2024","9791193383193","","","","325.211","1","2","2025-01-13",
"87","비스킷","김선미","위즈덤하우스","2023","9791168127630","","","7","813.7","1","5","2025-01-13",
"88","해든 분식","동지아;윤정주 그림","문학동네","2024","9791141607791","","","52","808.9","1","4","2025-01-13",
"89","설민석의 한국사 대모험","설민석, 스토리박스;정현희 그림, 강석화 감수","Dankkum i(단꿈아이)","2024","9791193031636","9791191496192","","29","911","1","3","2025-01-13",
"90","설민석의 한국사 대모험","설민석, 스토리박스;정현희 그림, 강석화 감수","Dankkum i(단꿈아이)","2024","9791193031452","9791191496192","","28","911","1","3","2025-01-13",
"91","채사장의 지대넓얕:지적 대화를 위한 넓고 얕은 지식","채사장,마케마케;정용환 그림","Dolphin Books(돌핀북)","2024","9791193487051","9791197578403","","11","001.3","1","3","2025-01-13",
"92","크리스마스 날 하늘 마을에서 온 택배","김경미;김무연 그림","슈크림북","2024","9791198511591","","","","813.8","1","4","2025-01-13",
"93","고양이 해결사 깜냥","홍민정;김재희 그림","창비","2024","9788936448752","9788936447700","","7","813.7","1","4","2025-01-13",
"94","왜왜왜 동아리","진형민;이윤희 그림","창비","2024","9788936443399","","","339","808","1","2","2025-01-13",
"95","희랍어 시간","한강","문학동네","2011","9788954616515","","","","813.7","1","3","2025-01-13",
"96","모순","양귀자","쓰다","2013","9788998441012","","","","813.7","1","2","2025-01-13",
"97","시간 유전자","김혜정;인디고 그림","라임","2024","9791194028185","","","48","813.808","1","4","2025-01-13",
"98","스스로 공부하는 아이들","임민찬;최경식 그림","한경비피","2024","9788947549851","","","","373","1","2","2025-01-13",
"99","인생의 의미:삶의 마지막 여정에서 찾은 가슴 벅찬 7가지 깨달음","토마스 힐란드 에릭센;이영래 옮김","길벗","2024","9791140710690","","","","199.1","1","3","2025-01-13",
"100","생각이 너무 많은 어른들을 위한 심리학","김혜남","메이븐","2023","9791190538602","","","","186.5","1","3","2025-01-13",
"101","트럼프 2.0 시대","박종훈","글로퍼스","2024","9791198987600","","","","321.97","1","2","2025-01-13",
"102","정재승의 인류 탐험 보고서 9 : 농사로 세상을 바꾼 호미닌 - 어린이를 위한 호모 사피엔스 뇌과학","정재승, 차유진 (지은이), 김현민 (그림), 백두성 (감수)","아울북(북이십일 아울북)","2024","9788950996581","9788950996499","","","471","1","2","2024-12-26",
"103","조금만 기다려 - 기다림 끝에 만나게 되는 경이로운 자연의 이야기","레이첼 윌리엄스 (지은이), 리어니 로드 (그림), 이원경 (옮긴이)","아이스크림미디어","2024","9791159292521","","","","462","1","3","2024-12-26",
"104","김미경의 딥마인드=:열심히 살아봤지만 허무함에 지친 당신을 위한=Deep mind:","김미경 지음","어웨이크북스","2024","9791198013088","","0","","325.211","1","3","2024-12-26",
"105","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2024","9791171712854","","7","5","813.8","1","2","2024-11-26",
"106","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2024","9791171712854","","7","5","813.8","1","2","2024-11-26",
"107","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2024","9791171712854","","7","5","813.8","1","2","2024-11-26",
"108","푸른사자 와니니","이현","창비","2019","9788936443054","","","2","808","1","0","2024-11-26",
"109","특별 주문 케이크","박지윤","보림(보림출판사)","2022","9788943314552","","","","813.7","1","7","2024-11-26",
"110","어서 와, 도서관은 처음이지?","이주희","개암나무","2022","9788968307003","","","","025","1","1","2024-11-26",
"111","너와 나","남승흥","한비CO","2024","9791164871469","","","","811.7","1","1","2024-11-26",
"112","플랫폼을 지배하는 조회수의 법칙 - 수익형 콘텐츠를 위한 6단계 SNS 마케팅","게리 바이너척 (지은이), 이지민 (옮긴이)","알에이치코리아(RHK)","2024","9788925574493","","","","325.5","1","2","2024-11-26",
"113","나를 닮은 사랑에게 - 엄마가 되어 처음 느껴 본 낯설고도 포근한 감정들","서은영 (지은이)","좋은생각사람들","2024","9791193300152","","","","818","1","5","2024-11-26",
"114","다정한 고랄라 목욕탕","박미라 (지은이), 홍그림 (그림)","주니어김영사","2024","9791194330622","","","","813.7","1","5","2024-11-26",
"115","반짝이는 돌 씨글라스","이선 (지은이)","푸른숲주니어","2024","9791172545154","","","","808.9","1","3","2024-11-26",
"116","아들 엄마의 말 연습 - 아들의 평생 습관과 공부력을 결정하는 엄마 말의 힘","윤지영 (지은이)","북라이프","2024","9791191013764","","","","598.132","1","4","2024-11-26",
"117","아들의 사춘기가 두려운 엄마들에게 - 엄마는 잘 모르는 사춘기 아들의 몸 마음 변화와 학교생활, 공부까지","이진혁 (지은이)","카시오페아(카시오페아 출판사)","2023","9791168271289","","","","598.125","1","5","2024-11-26",
"118","전사들 슈퍼 에디션 : 옐로팽의 비밀:양장","에린 헌터 (지은이), 서현정 (옮긴이)","가람어린이","2024","9791165183301","","","","843","1","3","2024-11-26",
"119","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2022","9791168123878","","7","2","813.7","1","3","2024-11-11",
"120","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2024","9791171711352","","7","4","813.8","1","5","2024-11-11",
"121","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2022","9791168123878","","7","2","813.8","1","4","2024-11-11",
"122","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2022","9791168123878","","7","2","813.7","1","3","2024-11-11",
"123","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2021","9791191583601","","7","1","813.8","1","3","2024-11-11",
"124","작은 땅의 야수들 - 2024 톨스토이 문학상 수상작","김주혜 (지은이), 박소현 (옮긴이)","다산책방","2023","9791130642574","","","","843.6","1","4","2024-11-11",
"125","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2022","9791168125384","","7","3","813.8","1","3","2024-11-11",
"126","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2024","9791171711352","","7","4","813.8","1","2","2024-11-11",
"127","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2022","9791168125384","","7","3","813.8","1","3","2024-11-11",
"128","조선 흡혈귀전.","설흔 지음;고상미 그림","위즈덤하우스","2022","9791191583601","","7","1","813.8","1","3","2024-11-11",
"129","조선 흡혈귀전.","설흔 지음;고상미 그림","위즈덤하우스","2022","9791191583601","","7","1","813.8","1","4","2024-11-11",
"130","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2022","9791168125384","","7","3","813.8","1","5","2024-11-11",
"131","달걀이 탁!","고이 글;김연제 그림","마음이음","2024","9791192183763","","7","","808","1","7","2024-11-11",
"132","외투","니콜라이 고골 지음;조주관 옮김","민음사","2017","9788937429156","","1","","892.83","1","1","2024-11-11",
"133","조선 흡혈귀전.","설흔 글;고상미 그림","위즈덤하우스","2024","9791171711352","","7","4","813.8","1","3","2024-11-11",
"134","소년이 온다:한강 장편소설","한강 지음","창비","2014","9788936434120","","0","","813.6","1","7","2024-10-28",
"135","소년이 온다:한강 장편소설","한강 지음","창비","2014","9788936434120","","0","","813.7","1","8","2024-10-28",
"136","채식주의자:한강 연작소설","한강 지음","창비","2022","9788936434595","","0","","813.7","1","6","2024-10-28",
"137","채식주의자:한강 연작소설","한강 지음","창비","2022","9788936434595","","0","","813.7","1","7","2024-10-28",
"138","흰:한강 소설","한강 지음","문학동네","2018","9788954651134","","0","","813.7","1","7","2024-10-28",
"139","서랍에 저녁을 넣어 두었다:한강 시집","지은이: 한강","문학과지성사","2013","9788932024639","","0","","811.708","1","3","2024-10-28",
"140","디 에센셜 한강:무선 보급판","한강 지음","문학동네","2023","9788954693462","","","","810.81","1","8","2024-10-28",
"141","여수의 사랑:한강 소설집","지은이: 한강","문학과지성사","2018","9788932034812","","0","","813.7","1","6","2024-10-28",
"142","작별하지 않는다:한강 장편소설","지은이: 한강","문학동네","2021","9788954682152","","0","","813.7","1","6","2024-10-28",
"143","여섯 걸음","원유경 (지은이)","규장","2023","9791165044282","","","","234.82","1","2","2024-10-23",
"144","하늘 식당","세연 (지은이), 민키 (그림)","다림","2024","9788961773379","","","","813.8","1","6","2024-10-23",
"145","천둥 꼬마 선녀 번개 꼬마 선녀 - 2024 노벨문학상 수상작가","한강 (지은이), 진태람 (그림)","문학동네","2007","9788954602792","","","","813.8","1","4","2024-10-23",
"146","늙지 않는 뇌의 비밀 - 죽기 전까지 스마트한 사람들의 전두엽 단련법","와다 히데키 (지은이), 이주희 (옮긴이)","포텐업","2024","9791198476418","","","","511.1813","1","5","2024-10-23",
