번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","흔한남매","흔한남매;백난도 글;유난희 그림","미래엔","2023","9791168415232","9791164131679","7","13","813.8","1","1","2025-02-21",
"2","고양이가 키보드를 밟고 지나간 뒤:진수미 시집","진수미 지음","문학동네","2024","9791141601720","","0","226","811.7","1","0","2025-02-21",
"3","(변호사 아빠와 떠나는)민주주의와 법 여행:대한민국은 민주공화국이다","양지열;박유나 그림","특별한서재","2025","9791167031426","","4","","340.22","1","0","2025-02-21",
"4","하이웨이에는 길이 없다:글로벌 경영의 판도를 바꾼 코라오 스토리","오세영","쌤앤파커스","2025","9791194246589","","0","","325.1","1","0","2025-02-21",
"5","하이웨이에는 길이 없다:글로벌 경영의 판도를 바꾼 코라오 스토리","오세영 지음","쌤앤파커스","2025","9791194246589","","0","","325.1","1","0","2025-02-18",
"6","공급망 붕괴의 시대 :반도체칩부터 생필품까지, 글로벌 공급망의 숨겨진 이야기 ","피터 S. 굿맨 지음;장용원 옮김","세종(세종서적)","2025","9788984078581","","0","","321.97","1","0","2025-02-18",
"7","고양이가 키보드를 밟고 지나간 뒤:진수미 시집","진수미 지음","문학동네","2024","9791141601720","","0","","811.7","1","0","2025-02-18",
"8","카산드라의 여자들","그웬 E. 커비 지음;송섬별 옮김","위즈덤하우스","2025","9791171713127","","0","","843.6","1","0","2025-02-14",
"9","닐스 비크의 마지막 하루","프로데 그뤼텐 지음;손화수 옮김","다산책방","2025","9791130662480","","0","","859.8","1","1","2025-02-14",
"10","반도체 투자 스펙트럼 :JP모건 리서치 헤드의 글로벌 리포트 ","박정준(JJ Park) 지음","휴먼큐브","2025","9791165384357","","0","","327.856","1","0","2025-02-14",
"11","당신은 사업가입니까","캐럴 로스 지음;유정식 옮김","알에이치코리아(RHK)","2025","9788925574028","","0","","325.21","1","1","2025-02-14",
"12","귀신상점","임정순 지음;다해빗 그림","열림원어린이","2024","9788961555388","","7","1","813.8","1","2","2025-02-14",
"13","노인 호텔 :하라다 히카 장편소설 ","지음: 하라다 히카;옮김: 이소담","알에이치코리아(RHK)","2025","9788925574127","","0","","833.6","1","1","2025-02-14",
"14","지능의 기원:우리의 뇌 그리고 AI를 만든 다섯 번의 혁신","맥스 베넷 지음;김성훈 옮김","더퀘스트","2025","9791140712250","","0","","511.1813","1","0","2025-02-14",
"15","(곤충보다 작아진)정브르","정브르 원작;강민희 글;강신영 그림","겜툰","2025","9791168441590","","7","8","495.2","1","1","2025-02-14",
"16","낙원맨션","방우리 지음","교유서가","2025","9791194523161","","0","","813.7","1","1","2025-02-14",
"17","야생의 철학자들:자연에서 배운 12가지 인생수업","신동만 지음","추수밭(청림출판)","2025","9791155402467","","0","","199.1","1","0","2025-02-14",
"18","킬리만자로의 눈:어니스트 헤밍웨이 소설","어니스트 헤밍웨이 지음;정영목 옮김","문학동네","2025","9791141608774","","0","","843","1","0","2025-02-14",
"19","20대 의사 달물결의 미국 주식 투자:시간·돈·꿈을 잃지 않는 투자법","문성민 지음","한국경제신문","2025","9788947549936","","0","","327.856","1","1","2025-02-03",
"20","급류 :정대건 장편소설 ","지은이: 정대건","민음사","2022","9788937473401","","0","","813.7","1","3","2025-02-03",
"21","(곤충보다 작아진) 정브르","정브르 원작;강민희 글;강신영 그림","겜툰","2022","9791168440326","9791168440241","7","2","495.2","1","3","2025-02-03",
"22","미로 속 아이 :기욤 뮈소 장편소설 ","지은이: 기욤 뮈소;옮긴이: 양영란","밝은세상","2024","9788984374942","","0","","863","1","1","2025-02-03",
