번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","어쨌거나 스무 살은 되고 싶지 않아:조우리 연작소설","조우리 지음","비룡소","2019","9788949120720","","4","","813.7","1","0","2025-02-21",
"2","10대를 위한 자존감 수업","이형준 지음","하늘아래","2016","9791159970054","","4","","182.1","1","0","2025-02-21",
"3","(청소년을 위한) 정치학 에세이:설규주 교수와 함께 보고 듣고 참여하는 정치 이야기","설규주 지음","해냄","2018","9788965746416","","4","","340","1","0","2025-02-21",
"4","열다섯에 곰이라니:추정경 장편소설","추정경 지음","다산북스","2024","9791130671048","","4","2","813.7","1","0","2025-02-21",
"5","열다섯에 곰이라니","추정경 지음","다산북스","2018","9791130695723","","0","1","813.7","1","1","2025-02-21",
"6","그 논리, 이상한데요?:비판적 사고 수업을 시작합니다","이자벨 보티앙 글;갈리 그림;임명주 옮김","토토북","2024","9788964965139","","4","","170","1","1","2025-02-21",
"7","시간을 달리다, 난설헌:백혜영 장편소설","백혜영 글","노란돼지","2022","9791197628542","","4","","813.7","1","0","2025-02-21",
"8","랙 걸린 사춘기","송방순 글","노란돼지","2017","9791195718733","","4","","813.7","1","0","2025-02-21",
"9","(10대를 위한) 사피엔스:한 번에 정리하는 인류 문명의 역사","벵트 에릭 엥홀름 지음;요나 비에른셰르나 그림;김아영 옮김","미래엔","2021","9791164135653","","7","","909","1","0","2025-02-21",
"10","미안해 스이카","하야시 미키 지음;김은희 옮김","다산북스","2020","9791130629667","","0","","833.6","1","0","2025-02-21",
"11","커튼콜:조우리 소설","조우리 지음;공공 그림","창비","2024","9788936431051","","4","","813.7","1","0","2025-02-21",
"12","오, 사랑:조우리 장편소설","조우리 지음","사계절(사계절출판사)","2020","9791160946789","","4","","813.7","1","1","2025-02-21",
"13","학교라는 세계","아사히나 아스카 지음;조윤주 옮김","라임","2023","9791192411316","","4","","833.6","1","0","2025-02-21",
"14","열세 살의 품격","김예지 글;송진욱 그림","파란자전거","2023","9791192308418","","7","","813.8","1","1","2025-02-21",
"15","환경과 생태 쫌 아는 10대:우리, 100년 뒤에도 만날 수 있을까요?","최원형 지음;방상호 그림","풀빛","2012","9791161727356","","4","","539.9","1","0","2025-02-21",
"16","고요한 우연:김수빈 장편소설","김수빈 지음","문학동네","2023","9788954691154","","0","","813.7","1","0","2025-02-21",
"17","훌훌:문경민 장편소설","문경민 지음","문학동네","2022","9788954685030","","0","","813.7","1","0","2025-02-21",
"18","룩헤이븐 1: 괴물들이 사는 저택","파드레이그 케니","비룡소","2025","9788949141718","","","","843","1","0","2025-02-20",
"19","꿈의 해석:무의식의 세계를 열어젖힌 정신분석의 보고","지그문트 프로이트","돋을새김","2014","9788961671712","","","","185.51","1","0","2025-02-20",
"20","룩헤이븐 2: 저택의 침입자","파드레이그 케니","비룡소","2025","9788949141725","","","","843","1","0","2025-02-20",
"21","허밍:최정원 장편소설","최정원","창비","2025","9788936431525","","","","813.7","1","0","2025-02-20",
"22","지속가능한 금융의 미래:ESG와 임팩트 투자 이야기","이태영^김수현^민세욱^민주영^박두순","법문사","2025","9788918915777","","","","325.1","1","0","2025-02-20",
"23","1984","조지 오웰","민음사","2007","9788937460777","","","","843","1","0","2025-02-20",
"24","노인과 바다:1954년 노벨문학상 수상작가","어니스트 헤밍웨이","민음사","2012","9788937462788","","","","843.5","1","0","2025-02-20",
"25","변신 시골의사","프란츠 카프카","민음사","2009","9788937460043","","","","853","1","0","2025-02-20",
"26","싯다르타","헤르만헤세","민음사","2002","9788937460586","","","","853","1","0","2025-02-20",
"27","아침 그리고 저녁:리커버 2023년 노벨문학상 수상작가","욘 포세","문학동네","2024","9791141607371","","","","859.82","1","0","2025-02-20",
"28","데미안:리커버 한정판 헤르만 헤세 탄생 140주년 기념 초호화 패브릭 양장","헤르만헤세","더스토리","2023","9791164456338","","","","843","1","0","2025-02-20",
"29","예술 도둑:예술, 범죄, 사랑 그리고 욕망에 관한 위험하고 매혹적인 이야기","Finkel,Michael","생각의힘","2024","9791193166659","","","","844","1","0","2025-02-20",
"30","사람을 남기는 사람:삶을 재구성하는 관계의 법칙","정지우","마름모","2025","9791194285038","","","","818","1","1","2025-02-20",
"31","파쇄","구병모","위즈덤하우스","2023","9791168127012","","","","813.7","1","1","2025-02-20",
"32","자유론:무삭제 완역본","존 스튜어트 밀","현대지성","2018","9791187142447","","","","342.13","1","0","2025-02-20",
"33","초역 부처의 말:2500년 동안 사랑받은","코이케 류노스케","포레스트북스","2024","9791193506516","","","","224.2","1","0","2025-02-20",
"34","약이 되는 세월:박경리 산문","박경리","다산책방","2025","9791130663074","","","","814","1","1","2025-02-20",
"35","데이터 상속인:한상운 장편소설","한상운","문학동네","2025","9791141601836","","","","813.6","1","0","2025-02-20",
"36","생각 중독:불안과 후회를 끊어내고 오늘을 사는 법","닉 트렌턴","웅진씽크빅","2024","9788901280486","","","","181.7","1","0","2025-02-20",
"37","두 사람의 인터내셔널","김기태","문학동네","2024","9788954697941","","","","813.7","1","1","2025-02-20",
"38","린치핀:세상은 이들을 따른다","세스 고딘","필름(Feelm)","2024","9791193262290","","","","325.211","1","0","2025-02-20",
"39","인간 차별:그러나 고유한 삶들의 행성","안희경","김영사","2025","9791173320644","","","","342.1","1","0","2025-02-20",
"40","지적 대화를 위한 넓고 얕은 지식 무한:지식과 지혜를 실천으로 이끄는 마음 여행서","채사장","웨일북","2024","9791192097978","","","","001.3","1","0","2025-02-20",
"41","시한부:백은별 장편소설","백은별","바른북스","2024","9791193647646","","","","813.7","1","1","2025-02-20",
"42","대온실 수리 보고서:김금희 장편소설","김금희","창비","2024","9788936439651","","","","813.7","1","0","2025-02-20",
"43","밑줄과 생각","정용준","작가정신","2025","9791160263558","","","","813.6","1","1","2025-02-20",
"44","생명이 있는 것은 다 아름답다:리커버 최재천의 동물과 인간 이야기, 개정 3판","최재천","효형출판","2022","9788958722007","","","","491.508","1","0","2025-02-20",
