번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","용을 찾아서","줄리 렁 글;차호윤 그림;장미란 옮김","오픈키드","2024","9791156761488","","7","","843.6","1","9","2024-11-20",
"2","몽글몽글 편의점","김영진 글","책읽는곰","2024","9791158364823","","7","","813.8","1","9","2024-11-20",
"3","나는 크고 아름다워요","배슈티 해리슨 글·그림;김서정 옮김","책읽는곰","2024","9791158364700","","7","","843","1","6","2024-11-20",
"4","(흔한남매) 과학 탐험대 11:여러가지 힘.","흔한남매 원작;김언정;송은경 [공]글;김덕영 그림","김영사","2024","9788934935193","9788934989554","7","11","400","1","5","2024-11-20",
"5","(설민석의) 한국사 대모험.","설민석;스토리박스 [공]글;정현희 그림","Dankkum i(단꿈아이)","2024","9791193031681","9791191496192","7","30","911","1","8","2024-11-20",
"6","(설민석의) 세계사 대모험.","설민석;김정욱 글;박성일 그림","단꿈아이","2024","9791193031254","9791196893101","7","22","909","1","5","2024-11-20",
"7","설민석의 삼국지 대모험.","[나관중 원작];단꿈아이 글;스튜디오 담 만화","단꿈아이","2024","9791193031520","9791197226182","7","19","823.5","1","5","2024-11-20",
"8","만화 한국 신화.","박정효 지음;권수영,김기수 [공]그림","다산북스","2024","9791130644097","9791130696607","7","6","219.11","1","5","2024-11-20",
"9","흔한남매.","흔한남매 원작;백난도 글;유난희 그림","미래엔아이세움","2024","9791168418844","9791164131679","7","17","810","1","9","2024-11-20",
"10","(신기한 맛) 도깨비 식당.","김용세,김병섭 [공]글;센개 그림","꿈터","2024","9791167391209","","7","8","813.8","1","6","2024-11-20",
"11","푸른 사자 와니니.","이현 지음;오윤화 그림","창비","2024","9788936443368","","7","7","808.9","1","4","2024-11-20",
"12","고양이 해결사 깜냥.","홍민정 지음;김재희 그림","창비","2024","9788936448752","9788936447700","0","7","813.8","1","9","2024-11-20",
"13","울독 아리랑:동해안 12도시 이야기","정진호,김남일,김윤배 [외]지음","울독","2024","9791197338670","","0","","911.46","1","1","2024-11-20",
"14","21세기 공학과 기독교 인문학이 만날 때","정진호 지음","울독","2022","9791197338625","","0","","235.84","1","1","2024-11-20",
"15","독도 해녀","김수희 지음","동북아역사재단","2023","9791171610563","","0","","911.8295","1","1","2024-11-20",
"16","빈:서숙희 시집","서숙희 지음","작가","2024","9791190566902","","0","","811.7","1","2","2024-11-20",
"17","실크로드의 땅, 중앙아시아 인문학 여행:우즈베키스탄, 카자흐스탄, 키르기스스탄","홍종경 지음","좋은땅","2024","9791138833868","","0","","981.602","1","3","2024-11-20",
"18","작은 땅의 야수들:김주혜 장편소설","김주혜 지음;박소현 옮김","다산책방","2023","9791130642574","","0","","843.6","1","9","2024-11-20",
"19","영원한 천국","정유정 지음","은행나무","2024","9791167374561","","0","","813.7","1","6","2024-11-20",
"20","이중 하나는 거짓말:김애란 장편소설","김애란 지음","문학동네","2024","9791141601300","","0","","813.7","1","10","2024-11-20",
"21","노후를 준비하는 삶:나이는 들어도 늘 필요한 사람으로 남아야 한다","허경태 지음","렛츠북","2024","9791160547252","","0","","818","1","2","2024-11-20",
"22","작별하지 않는다:한강 장편소설","한강 지음","문학동네","2021","9788954682152","","0","","813.7","1","9","2024-11-20",
"23","과학특성화중학교.","닥터베르 지음;리페 그림","뜨인돌(뜨인돌출판)","2023","9788958079491","9788958079019","0","3","813.7","1","2","2024-11-20",
"24","과학특성화중학교.","닥터베르 지음;리페 그림","뜨인돌(뜨인돌출판)","2022","9788958079255","9788958079019","0","2","813.7","1","2","2024-11-20",
"25","(정재승의) 인간 탐구 보고서.","정재승 기획;정재은 글;김현민 그림","아울북(북이십일 아울북)","2024","9788950969301","9788950983062","7","15","511","1","6","2024-11-20",
"26","(설민석의) 그리스 로마 신화 대모험.","설민석;남이담 [공] 글;이미나 만화","단꿈아이","2024","9791193031711","9791191496611","7","9","219","1","7","2024-11-20",
"27","시간에 꽂아둔 책갈피:이상희 시조집","이상희 지음","책만드는집","2024","9788979448733","","0","","811.36","1","1","2024-10-18",
"28","09:47","이기훈 글.그림","글로연","2021","9788992704878","","7","","813.8","1","1","2024-10-18",
"29","09:47","이기훈 글.그림","글로연","2021","9788992704878","","7","","813.8","1","1","2024-10-18",
"30","바닷가 작은 집","케빈 헹크스 글;로라 드론제크 그림;이종원 옮김","행복한그림책","2023","9791187936565","","7","","843","1","3","2024-10-18",
"31","바닷가 작은 집","케빈 헹크스 글;로라 드론제크 그림;이종원 옮김","행복한그림책","2023","9791187936565","","7","","843","1","3","2024-10-18",
"32","파도의 하루","아베 유이 글·그림;박성아 옮김","비전비엔피","2024","9791192527505","","7","","833.6","1","3","2024-10-18",
"33","파도는 나에게:하수정 그림책","하수정 글·그림","웅진씽크빅","2019","9788901234519","","7","","813.8","1","2","2024-10-18",
"34","파도는 나에게:하수정 그림책","하수정 글·그림","웅진씽크빅","2019","9788901234519","","7","","813.8","1","1","2024-10-18",
"35","바다를 후루룩","희봄 글;김유경 그림","북멘토","2023","9788963190594","","7","","813.8","1","6","2024-10-18",
"36","바다","강효선 지음;엮은이: 김향수","향","2023","9791191886245","","7","","813.8","1","2","2024-10-18",
"37","파도의 하루","아베 유이 글·그림;박성아 옮김","비전비엔피","2024","9791192527505","","7","","833.6","1","3","2024-10-18",
"38","바다","강효선 지음;엮은이: 김향수","향","2023","9791191886245","","7","","813.8","1","2","2024-10-18",
"39","별 따는 해녀:포항 여남 바다 해녀들의 전설 같은 이야기","박형철 글;김세현 그림","학교앞거북이","2024","9791197083808","","7","","813.8","1","5","2024-10-18",
"40","바다를 후루룩","희봄 글;김유경 그림","북멘토","2023","9788963190594","","7","","813.8","1","4","2024-10-18",
"41","별 따는 해녀:포항 여남 바다 해녀들의 전설 같은 이야기","박형철 글;김세현 그림","학교앞거북이","2021","9791197083808","","7","","813.8","1","2","2024-10-18",
"42","춤을 추었어","이수지 지음","안그라픽스","2024","9791168230606","","7","","813.8","1","3","2024-10-04",
"43","마음먹은 고양이","강경호 글;다나 그림","나무말미","2024","9791191827484","","7","","813.8","1","9","2024-10-04",
"44","빨간 점","김지영 글·그림","길벗어린이","2024","9788955827699","","7","","813.8","1","6","2024-10-04",
"45","민트 초코 딸기:사이다 그림책","사이다 지음","사계절","2024","9791169812153","","7","","813.8","1","10","2024-10-04",
"46","호랭면:김지안 그림책","김지안 지음","M창비(미디어창비)","2023","9791193022122","","7","","813.8","1","11","2024-10-04",
"47","꽁꽁꽁 댕댕","윤정주","책읽는곰","2024","9791158364724","","7","","813.8","1","12","2024-10-04",
"48","츠츠츠츠:이지은 그림책","이지은 지음","사계절(사계절출판사)","2024","9791169812085","","7","","813.8","1","10","2024-10-04",
"49","꼬르륵 꼬르륵 캠핑","구도 노리코 지음;윤수정 옮김","책읽는곰","2024","9791158364687","","7","","833.8","1","10","2024-10-04",
"50","(추석 그림책) 달님 송편","안영은 글;서영 그림","키즈엠","2024","9791164634798","","7","","813.8","1","8","2024-10-04",
"51","(설민석의) 그리스 로마 신화 대모험.","설민석,남이담 [공]글;이미나 그림","Dankkum i(단꿈아이)","2024","9791193031667","9791191496611","7","8","219","1","9","2024-10-04",
"52","(설민석의) 세계사 대모험.","글: 설민석,김정욱;그림: 박성일","단꿈아이","2024","9791193031247","9791196893101","7","21","909","1","6","2024-10-04",
"53","설민석의 삼국지 대모험.","단꿈아이 글;스튜디오 담 만화;나관중 원작","Dankkum i(단꿈아이)","2024","9791193031513","9791197226182","7","18","823.5","1","5","2024-10-04",
"54","팩토피아.","로즈 데이비드슨 글;앤디 스미스 그림;조은영 옮김","시공사","2024","9791169254137","9791169254052","7","8","404","1","5","2024-10-04",
"55","이상한 초대장.","박현숙 글;국민지 그림","김영사","2023","9788934935902","9788934962014","7","4","813.7","1","7","2024-10-04",
