번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","우리 옆에 4차원이 있다! ","김성화,권수진 글 ;강혜숙 그림","와이즈만 Books","2024","9791192936468","","7","8","410","1","1","2025-02-19",
"2","수소가 온다 ","염미희 지음 ;유창창 그림 ;장홍제 감수","모알보알","2024","9791198571335","","7","2","430","1","0","2025-02-19",
"3","긴긴 겨울밤 초록나무는 ","종종 글·그림","모알보알","2024","9791198571366","","7","","813.8","1","1","2025-02-19",
"4","아기나무들 :발달 장애인이 그린 엄마 마음 그림책 ","최정은 글 ;박경민 그림","그린탠저린","2024","9791198067234","","7","1","808.9","1","1","2025-02-19",
"5","(신기한 맛) 도깨비 식당","김용세,김병섭 글 ;센개 그림","꿈터","2024","9791167391209","","7","8","813.8","1","1","2025-02-19",
"6","(신기한 맛) 도깨비 식당","김용세,김병섭 글 ;센개 그림","꿈터","2024","9791167391087","","7","7","813.8","1","1","2025-02-19",
"7","이태석과 슈바이처 ","정진 글 ;이경국 그림","아주좋은날","2022","9791192058160","","7","1","990.8","1","1","2025-02-19",
"8","도꺄비 탐정 탱구","김기홍 글 ;허지혜 그림","웅진씽크빅","2024","9788901287126","9788901271231","7","3","404","1","1","2025-02-19",
"9","흔한남매 과학 탐험대","흔한남매 원작 ;김언정,송은경 글 ;김덕영 그림","주니어김영사","2024","9791173320101","","7","13","408","1","2","2025-02-19",
"10","(설민석의) 한국사 대모험","설민석,남이담 글 ;정현희 그림","단꿈아이","2024","9791193031742","","7","31","911","1","2","2025-02-19",
"11","(설민석의) 세계사 대모험","설민석,김정욱 글 ;박성일 그림","단꿈아이","2024","9791193031803","","7","23","909","1","1","2025-02-19",
"12","이제부터 변할 거란다 ","앤서니 브라운 글·그림 ;김보경 옮김","웅진주니어","2025","9788901287164","","7","273","808.9","1","1","2025-02-19",
"13","동백 호빵 :백유연 그림책 ","백유연 지음","웅진주니어","2024","9788901290706","","7","132","808.9","1","1","2025-02-19",
"14","사람이 사는 미술관 :어린이를 위한 첫 번째 인권 수업 ","박민경 글 ;서예원 그림","그래도봄","2025","9791192410463","","7","","342.1","1","0","2025-02-19",
"15","천재 의사 시건방 :슈퍼 초능력 판타지","강효미 글 ;유영근 그림","머스트비","2024","9791160342352","","7","2","813.8","1","1","2025-02-19",
"16","흔한남매","흔한남매 원작 ;백난도 글 ;유난희 그림","미래엔아이세움","2024","9791173114038","","7","18","813.8","1","1","2025-02-19",
"17","깔깔나무 ","박새봄 글 ;최윤혜 그림","국립아시아문화전당재단","2025","9791198979421","","7","","813.8","1","1","2025-02-19",
"18","(설민석의) 그리스 로마 신화 대모험","설민석,남이담 글 ;라임스튜디오 만화","단꿈아이","2025","9791193031940","","7","10","219.2","1","1","2025-02-19",
"19","타키포오 코믹 어드벤처","캐릭온TV 원작 ;안도감 글 ;김규태 그림","대원키즈","2024","9791172038953","","7","7","813.8","1","1","2025-02-19",
"20","타키포오 코믹 어드벤처","캐릭온TV 원작 ;안도감 글 ;김규태 그림","대원키즈","2024","9791171249480","","7","6","813.8","1","1","2025-02-19",
"21","포즈와 표정 연출 드로잉 :나 혼자 마스터하는 캐릭터 일러스트 ","카리마리카 지음 ;김재훈 옮김","이아소","2025","9791187113720","","1","","657.5","1","1","2025-02-19",
"22","일러스트 마무리 사전 :122가지 최종 첨삭 TIPS ","사이토 나오키 지음 ;박지영 옮김","잉크잼(잼스푼)","2025","9788979294392","","1","","657.1","1","1","2025-02-19",
"23","사물의 투명성 :경험의 본질을 관조하다 ","루퍼트 스파이라 지음 ;김주환 옮김","퍼블리온","2025","9791191587760","","0","","189.1","1","1","2025-02-19",
"24","작은 땅의 야수들 :김주혜 장편소설 :리커버 특별판 ","김주혜 지음 ;박소현 옮김","다산책방","2023","9791130642574","","0","","843.6","1","1","2025-02-19",
"25","미로 속 아이 ","기욤 뮈소 지음 ;양영란 옮김","밝은세상","2024","9788984374942","","0","","863","1","0","2025-02-19",
"26","죽이고 싶은 아이 :이꽃님 장편소설","이꽃님 지음","우리학교","2024","9791167552723","","4","2","813.7","1","1","2025-02-19",
"27","예언자의 노래 :폴 린치 장편소설 ","폴 린치 지음 ;허진 옮김","은행나무","2024","9791167374929","","0","","843.6","1","0","2025-02-19",
"28","소셜 비헤이비어 =Social behavior :온라인과 오프라인의 하이브리드 시대를 위한 브랜딩 안내서 ","김성준,홍현경 지음","Whale Books(웨일북)","2024","9791192097800","","0","","325.571","1","1","2025-02-19",
"29","사소한 것들의 아름다움 ","이복규 지음 ;김기서 사진","책봄(책봄출판사)","2024","9791198049391","","0","","818","1","0","2025-02-19",
"30","빅 뱃 =Big bat :대담하게 실행하라 ","제니퍼 코언 지음 ;이초희 옮김","페이지2(page2)","2025","9791169851220","","0","","325.211","1","1","2025-02-19",
"31","나는 오늘도 행운을 만든다 :도전과 실패 가운데 만난 무지갯빛 이야기 ","최문희 지음","미다스북스","2024","9791169109703","","0","","818","1","0","2025-02-19",
