기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,U,관광특구,3001491,이태원 관광특구,2155176,1100997,1054179,140314,532219,548101,367751,254471,312319,456928,368982,296582,320185,435781,276720,284230,272781,286789,286045,318414,368486,338431
20241,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,6889856,3343470,3546388,335824,1194547,1684405,1564028,1111394,999659,372693,1424842,1714417,1706632,1327800,343472,1040403,1133875,1202348,1130314,1103850,706014,573054
20241,U,관광특구,3001493,동대문패션타운 관광특구,3384560,1595828,1788732,188119,645950,785004,661522,518641,585323,649395,670435,517288,524693,620807,401942,504854,524755,553766,540100,497858,381895,381333
20241,U,관광특구,3001494,종로?청계 관광특구,8440796,4496772,3944023,358062,1523184,1603079,1586388,1489097,1880987,879272,1622995,1777766,1808704,1691285,660774,1258576,1328555,1410371,1345939,1334099,998247,765010
20241,U,관광특구,3001495,잠실 관광특구,4110178,1976808,2133370,434196,915211,997395,697187,499328,566859,735656,746169,617717,653233,879474,477929,570999,570194,589977,580551,598178,621983,578294
20241,U,관광특구,3001496,강남 마이스 관광특구,109292,54238,55054,7982,21853,29981,25068,14391,10016,6686,20387,26173,27041,22995,6011,15002,16018,17973,17774,17305,13328,11892
20241,A,골목상권,3110001,이북5도청사,137658,60020,77639,25144,14705,14746,19774,23213,40074,36540,29900,15865,15830,21964,17560,18664,19410,18605,19540,19569,20590,21282
20241,A,골목상권,3110002,독립문역 1번,517847,226914,290934,97404,58221,62212,80917,81477,137616,107423,112107,72122,72718,92577,60902,74442,74785,74311,75311,75223,72993,70787
20241,A,골목상권,3110003,세검정초등학교,492704,224043,268660,107949,56098,48297,77220,80199,122939,165896,104310,47041,45466,64608,65382,69240,71819,69981,70318,69803,69827,71714
20241,A,골목상권,3110004,대신고등학교,733843,333837,400007,137440,86283,98884,122745,113632,174859,160309,153939,96372,97590,133716,91918,103614,105332,105112,104155,104960,105406,105263
20241,A,골목상권,3110005,세검정,125332,57533,67799,23644,11458,12375,19601,22404,35851,34280,26498,13996,13610,19717,17229,17968,17943,17866,17741,17890,17961,17962
20241,A,골목상권,3110006,부암동주민센터,7611,2941,4670,946,733,777,1278,1117,2761,1654,1588,929,1065,1328,1048,979,1046,1020,1062,1080,1233,1190
20241,A,골목상권,3110007,사직공원(한국사회과학도서관),947450,431179,516269,200051,114418,121986,164522,142928,203545,288392,210424,97286,90376,134697,126272,132877,134063,133045,132889,131631,137739,145203
20241,A,골목상권,3110008,배화여자대학교(박노수미술관),1263951,522293,741658,240409,170427,197315,212064,190307,253429,327590,253426,161376,155708,206354,159496,178266,181095,179386,182184,179835,182860,180326
20241,A,골목상권,3110009,자하문터널,164016,75776,88240,21546,19990,22568,32794,26596,40522,47284,32540,18257,18044,25191,22701,22465,22973,22897,23337,23466,24537,24342
20241,A,골목상권,3110010,평창동서측,131584,55870,75714,23283,9441,12616,19588,26221,40435,40720,29039,13321,12622,18193,17690,18216,18546,18096,18903,18032,19417,20374
20241,A,골목상권,3110011,청운초등학교,38106,17452,20655,10936,2902,3352,6675,5390,8852,10724,9304,4879,3817,4762,4620,5378,5589,5448,5489,5421,5343,5439
