기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20241,U,관광특구,3001491,이태원 관광특구,28395,15935,12460,8,6830,9855,6365,4305,1032,8,2203,4986,4313,3583,842,0,4627,4869,2052,722,190
20241,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,214604,123445,91159,396,43270,71925,55534,34108,9371,87,16696,38123,36717,25448,6374,309,26574,33802,18817,8660,2997
20241,U,관광특구,3001493,동대문패션타운 관광특구,33474,16833,16641,273,9661,8613,6813,5378,2736,109,4636,4972,3883,2050,1183,164,5025,3641,2930,3328,1553
20241,U,관광특구,3001494,종로?청계 관광특구,47296,26388,20908,670,9566,14142,12876,7558,2484,242,4114,7326,7672,5302,1732,428,5452,6816,5204,2256,752
20241,U,관광특구,3001495,잠실 관광특구,111557,65817,45740,195,18343,29274,28408,24388,10949,80,9089,18331,18070,13050,7197,115,9254,10943,10338,11338,3752
20241,U,관광특구,3001496,강남 마이스 관광특구,113536,76610,36926,286,22874,34048,30408,20154,5766,142,12294,22506,22424,15800,3444,144,10580,11542,7984,4354,2322
20241,A,골목상권,3110001,이북5도청사,2441,1370,1071,0,303,654,800,532,152,0,146,334,473,319,98,0,157,320,327,213,54
20241,A,골목상권,3110002,독립문역 1번,403,109,294,0,114,114,103,50,22,0,26,26,33,13,11,0,88,88,70,37,11
20241,A,골목상권,3110003,세검정초등학교,1186,667,519,0,157,325,375,251,78,0,71,172,220,151,53,0,86,153,155,100,25
20241,A,골목상권,3110004,대신고등학교,27,9,18,0,6,8,9,3,1,0,1,2,4,1,1,0,5,6,5,2,0
20241,A,골목상권,3110005,세검정,394,219,175,0,67,115,106,75,31,0,27,63,60,46,23,0,40,52,46,29,8
20241,A,골목상권,3110006,부암동주민센터,142,79,63,0,24,41,39,28,10,0,10,22,22,17,8,0,14,19,17,11,2
20241,A,골목상권,3110007,사직공원(한국사회과학도서관),302,189,113,0,40,87,91,60,24,0,16,53,62,42,16,0,24,34,29,18,8
20241,A,골목상권,3110008,배화여자대학교(박노수미술관),1045,673,372,0,171,302,301,197,74,0,72,189,218,141,53,0,99,113,83,56,21
20241,A,골목상권,3110009,자하문터널,239,135,104,0,39,72,69,45,14,0,15,40,39,30,11,0,24,32,30,15,3
20241,A,골목상권,3110010,평창동서측,3988,2238,1750,0,490,1072,1308,866,252,0,236,548,773,520,161,0,254,524,535,346,91
20241,A,골목상권,3110011,청운초등학교,166,107,59,0,31,47,46,31,11,0,14,29,34,22,8,0,17,18,12,9,3
20241,A,골목상권,3110012,성곡미술관,2803,1756,1047,0,368,796,846,559,234,0,153,488,581,389,145,0,215,308,265,170,89
20241,A,골목상권,3110013,체부동홍종문가옥,96,62,34,0,16,27,28,18,7,0,7,17,20,13,5,0,9,10,8,5,2
20241,A,골목상권,3110014,경복고등학교,1501,972,529,0,275,436,420,267,103,0,121,274,311,193,73,0,154,162,109,74,30
20241,A,골목상권,3110015,청와대사랑채,823,532,291,1,153,241,228,145,55,0,66,151,170,106,39,1,87,90,58,39,16
20241,A,골목상권,3110016,평창동동측,2949,1656,1293,0,365,792,967,644,181,0,176,404,572,388,116,0,189,388,395,256,65
20241,A,골목상권,3110017,정독도서관,408,324,84,0,46,125,129,86,22,0,28,94,108,75,19,0,18,31,21,11,3
20241,A,골목상권,3110018,중앙고등학교,1215,910,305,0,128,419,366,231,71,0,67,308,288,190,57,0,61,111,78,41,14
20241,A,골목상권,3110019,창덕궁,962,528,434,7,195,300,266,151,43,3,83,150,156,106,30,4,112,150,110,45,13
20241,A,골목상권,3110020,서울국제고등학교,887,433,454,0,139,247,219,180,102,0,45,121,117,92,58,0,94,126,102,88,44
20241,A,골목상권,3110021,성균관대학교,899,440,459,0,146,247,218,180,108,0,50,121,117,94,58,0,96,126,101,86,50
20241,A,골목상권,3110022,경신고등학교,238,117,121,0,38,65,59,48,28,0,13,32,32,25,15,0,25,33,27,23,13
20241,A,골목상권,3110023,서울대병원,62,35,27,0,10,14,17,13,8,0,3,7,10,9,6,0,7,7,7,4,2
20241,A,골목상권,3110024,혜회동주민센터,444,217,227,0,72,122,109,87,54,0,25,60,58,44,30,0,47,62,51,43,24
