총_유동인구_수,남성_유동인구_수,여성_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,초년_유동인구_수,중년_유동인구_수,노년_유동인구_수,초년_직장_인구_수,중년_직장_인구_수,노년_직장_인구_수,상권_구분_코드_명,기준_년분기_코드,평균매출
1021175.0,429007.0,592167.0,164.0,107.0,57.0,309395.0,285963.0,425816.0,4.0,29.0,131.0,골목상권,20241,579173781.5
1065757.0,428929.0,636828.0,164.0,107.0,57.0,345370.0,281203.0,439184.0,4.0,29.0,131.0,골목상권,20242,647617846.2
981924.0,406884.0,575040.0,164.0,107.0,57.0,284759.0,274230.0,422935.0,4.0,29.0,131.0,골목상권,20243,578556573.8
951406.0,376338.0,575067.0,239.0,155.0,84.0,295155.0,261708.0,394544.0,5.0,42.0,192.0,골목상권,20244,483794629.8
62134.0,31901.0,30233.0,8016.0,5688.0,2328.0,14542.0,24672.0,22923.0,1492.0,4934.0,1590.0,발달상권,20241,1214889193.75
60141.0,30666.0,29475.0,8016.0,5688.0,2328.0,14747.0,23549.0,21845.0,1492.0,4934.0,1590.0,발달상권,20242,1231445883.25
61037.0,31213.0,29824.0,8016.0,5688.0,2328.0,14705.0,23892.0,22440.0,1492.0,4934.0,1590.0,발달상권,20243,1100322963.0
65345.0,33906.0,31439.0,8821.0,6260.0,2561.0,15605.0,25932.0,23807.0,1642.0,5430.0,1749.0,발달상권,20244,1146134297.5
504301.0,249612.0,254689.0,12628.0,7785.0,4843.0,152043.0,241133.0,111127.0,2686.0,8069.0,1873.0,발달상권,20241,2428468389.888889
528043.0,258370.0,269673.0,12628.0,7785.0,4843.0,163321.0,250679.0,114044.0,2686.0,8069.0,1873.0,발달상권,20242,2446718792.7777777
524091.0,254300.0,269791.0,12628.0,7785.0,4843.0,159571.0,247929.0,116593.0,2686.0,8069.0,1873.0,발달상권,20243,2486657030.2222223
511896.0,248872.0,263025.0,15261.0,9419.0,5842.0,154700.0,242289.0,114906.0,3243.0,9784.0,2234.0,발달상권,20244,2575102509.0
829493.0,390022.0,439469.0,282.0,144.0,138.0,247011.0,237406.0,345076.0,40.0,119.0,123.0,골목상권,20241,231075045.0
804356.0,374351.0,430006.0,282.0,144.0,138.0,236673.0,227827.0,339855.0,40.0,119.0,123.0,골목상권,20242,270938516.6
1124589.0,523740.0,600849.0,282.0,144.0,138.0,329263.0,330040.0,465285.0,40.0,119.0,123.0,골목상권,20243,291403206.4
1156763.0,534202.0,622560.0,405.0,208.0,197.0,345574.0,343708.0,467479.0,51.0,176.0,178.0,골목상권,20244,263392673.2
343585.0,197255.0,146329.0,2711.0,1778.0,933.0,111506.0,163780.0,68300.0,572.0,1602.0,537.0,골목상권,20241,95679426.0
339421.0,193887.0,145534.0,2711.0,1778.0,933.0,109803.0,162436.0,67180.0,572.0,1602.0,537.0,골목상권,20242,103110282.5
345795.0,196897.0,148899.0,2711.0,1778.0,933.0,109752.0,167574.0,68469.0,572.0,1602.0,537.0,골목상권,20243,90506168.0
347534.0,196737.0,150796.0,4010.0,2631.0,1379.0,111666.0,167247.0,68622.0,846.0,2371.0,793.0,골목상권,20244,102044816.5
1025392.0,451428.0,573964.0,736.0,445.0,291.0,290341.0,361303.0,373747.0,90.0,297.0,349.0,골목상권,20241,559831708.0
838366.0,368042.0,470324.0,736.0,445.0,291.0,232902.0,296735.0,308729.0,90.0,297.0,349.0,골목상권,20242,575069929.0
843938.0,369250.0,474688.0,736.0,445.0,291.0,238215.0,296608.0,309117.0,90.0,297.0,349.0,골목상권,20243,580195826.0
785554.0,349041.0,436513.0,963.0,583.0,380.0,224396.0,278344.0,282814.0,120.0,387.0,456.0,골목상권,20244,620866066.0
220862.0,101898.0,118963.0,219.0,125.0,94.0,65261.0,76213.0,79388.0,26.0,124.0,69.0,골목상권,20241,442500085.0
207787.0,94390.0,113397.0,219.0,125.0,94.0,66361.0,70438.0,70990.0,26.0,124.0,69.0,골목상권,20242,473884579.5
206658.0,92531.0,114127.0,219.0,125.0,94.0,60788.0,70844.0,75023.0,26.0,124.0,69.0,골목상권,20243,453047703.0
215168.0,98055.0,117113.0,429.0,244.0,185.0,65455.0,75127.0,74587.0,54.0,238.0,137.0,골목상권,20244,456324701.5
189916.0,91375.0,98541.0,2171.0,1143.0,1028.0,66298.0,49683.0,73937.0,190.0,1315.0,666.0,골목상권,20241,421461215.0
182850.0,87170.0,95681.0,2171.0,1143.0,1028.0,68975.0,46517.0,67358.0,190.0,1315.0,666.0,골목상권,20242,451522868.0
174714.0,83264.0,91450.0,2171.0,1143.0,1028.0,62055.0,46161.0,66497.0,190.0,1315.0,666.0,골목상권,20243,432292003.0
184909.0,87902.0,97007.0,3150.0,1662.0,1488.0,68613.0,47636.0,68659.0,270.0,1921.0,959.0,골목상권,20244,454266997.0
577728.0,274304.0,303424.0,51.0,34.0,17.0,145226.0,172882.0,259617.0,2.0,20.0,29.0,골목상권,20241,461159229.0
552256.0,262587.0,289669.0,51.0,34.0,17.0,137006.0,166406.0,248846.0,2.0,20.0,29.0,골목상권,20242,494193299.0
554400.0,263070.0,291330.0,51.0,34.0,17.0,137039.0,168413.0,248950.0,2.0,20.0,29.0,골목상권,20243,530649293.0
558987.0,267566.0,291421.0,28.0,21.0,7.0,135019.0,172618.0,251351.0,0.0,10.0,18.0,골목상권,20244,512394652.0
204788.0,99062.0,105727.0,196.0,127.0,69.0,60998.0,76713.0,67078.0,26.0,103.0,67.0,골목상권,20241,131072548.0
287723.0,137912.0,149813.0,196.0,127.0,69.0,86466.0,104330.0,96927.0,26.0,103.0,67.0,골목상권,20242,45261938.0
205868.0,98503.0,107365.0,196.0,127.0,69.0,57425.0,76669.0,71775.0,26.0,103.0,67.0,골목상권,20243,4402773.0
213728.0,100951.0,112776.0,335.0,216.0,119.0,63201.0,77534.0,72992.0,46.0,177.0,112.0,골목상권,20244,8427635.0
140431.0,67801.0,72629.0,26.0,19.0,7.0,34476.0,36830.0,69125.0,2.0,10.0,14.0,골목상권,20241,224289318.33333334
211336.0,104868.0,106468.0,26.0,19.0,7.0,56667.0,55334.0,99334.0,2.0,10.0,14.0,골목상권,20242,303915063.0
186847.0,92601.0,94245.0,26.0,19.0,7.0,48057.0,51227.0,87563.0,2.0,10.0,14.0,골목상권,20243,45496286.0
193447.0,96278.0,97171.0,32.0,21.0,11.0,51828.0,52665.0,88956.0,2.0,13.0,17.0,골목상권,20244,64463291.5
1860122.0,1022404.0,837717.0,435.0,274.0,161.0,471936.0,862436.0,525750.0,83.0,215.0,137.0,골목상권,20241,222676160.0
1785376.0,983126.0,802250.0,435.0,274.0,161.0,433374.0,843459.0,508545.0,83.0,215.0,137.0,골목상권,20242,230723115.33333334
1863900.0,1023817.0,840084.0,435.0,274.0,161.0,449631.0,879780.0,534490.0,83.0,215.0,137.0,골목상권,20243,186538462.33333334
1906510.0,1038738.0,867772.0,218.0,137.0,81.0,456034.0,911715.0,538760.0,42.0,109.0,67.0,골목상권,20244,196810921.0
68850.0,34216.0,34634.0,347.0,197.0,150.0,20118.0,21767.0,26964.0,39.0,151.0,157.0,골목상권,20241,174754514.25
69215.0,34889.0,34327.0,347.0,197.0,150.0,21981.0,21360.0,25875.0,39.0,151.0,157.0,골목상권,20242,192045813.5
70255.0,35844.0,34410.0,347.0,197.0,150.0,21831.0,22312.0,26113.0,39.0,151.0,157.0,골목상권,20243,228978500.66666666
69923.0,35632.0,34291.0,438.0,246.0,192.0,21178.0,22686.0,26059.0,50.0,192.0,196.0,골목상권,20244,207398237.0
255883.0,119951.0,135932.0,43.0,26.0,17.0,74672.0,88426.0,92786.0,2.0,23.0,18.0,골목상권,20241,95278120.0
285111.0,133178.0,151933.0,43.0,26.0,17.0,81260.0,97640.0,106210.0,2.0,23.0,18.0,골목상권,20242,82371560.0
327698.0,151936.0,175761.0,43.0,26.0,17.0,93539.0,113963.0,120198.0,2.0,23.0,18.0,골목상권,20243,86045900.0
333899.0,153782.0,180117.0,53.0,34.0,19.0,92664.0,116682.0,124554.0,2.0,31.0,20.0,골목상권,20244,75926157.0
1300794.0,610260.0,690534.0,341.0,211.0,130.0,449058.0,395468.0,456269.0,17.0,112.0,212.0,골목상권,20241,642721076.0
1384731.0,644358.0,740373.0,341.0,211.0,130.0,523845.0,402350.0,458534.0,17.0,112.0,212.0,골목상권,20242,980072535.0
1502346.0,705888.0,796458.0,341.0,211.0,130.0,517770.0,453430.0,531148.0,17.0,112.0,212.0,골목상권,20243,1032953604.0
1621547.0,767084.0,854463.0,337.0,213.0,124.0,617504.0,470874.0,533170.0,11.0,109.0,217.0,골목상권,20244,832057489.0
638320.0,319244.0,319077.0,125.0,66.0,59.0,139876.0,225815.0,272630.0,13.0,64.0,48.0,골목상권,20241,88542514.25
487528.0,248139.0,239389.0,125.0,66.0,59.0,121865.0,167944.0,197720.0,13.0,64.0,48.0,골목상권,20242,82205518.33333333
398152.0,201691.0,196462.0,125.0,66.0,59.0,94899.0,139498.0,163755.0,13.0,64.0,48.0,골목상권,20243,107811038.0
410709.0,207624.0,203086.0,99.0,56.0,43.0,98949.0,144409.0,167350.0,9.0,51.0,39.0,골목상권,20244,92244396.0
650007.0,293347.0,356660.0,378.0,224.0,154.0,195821.0,203847.0,250338.0,46.0,187.0,145.0,골목상권,20241,705276520.0
712435.0,324184.0,388251.0,378.0,224.0,154.0,217157.0,226568.0,268711.0,46.0,187.0,145.0,골목상권,20242,760514220.25
718994.0,323312.0,395682.0,378.0,224.0,154.0,218610.0,229596.0,270789.0,46.0,187.0,145.0,골목상권,20243,640615675.8
709569.0,322205.0,387364.0,453.0,281.0,172.0,224802.0,225707.0,259061.0,48.0,233.0,172.0,골목상권,20244,580385751.8
258825.0,122175.0,136651.0,584.0,408.0,176.0,80224.0,81379.0,97221.0,78.0,286.0,220.0,골목상권,20241,145154588.0
257366.0,120700.0,136668.0,584.0,408.0,176.0,77545.0,81277.0,98544.0,78.0,286.0,220.0,골목상권,20242,133408467.0
252833.0,118698.0,134136.0,584.0,408.0,176.0,76899.0,78594.0,97341.0,78.0,286.0,220.0,골목상권,20243,99586077.5
238145.0,110034.0,128112.0,402.0,280.0,122.0,73886.0,71548.0,92711.0,54.0,197.0,151.0,골목상권,20244,161715826.0
31872.0,15833.0,16038.0,4765.0,3333.0,1432.0,7512.0,11668.0,12690.0,324.0,2198.0,2243.0,발달상권,20241,2945644627.0
30274.0,14989.0,15285.0,4765.0,3333.0,1432.0,7080.0,11325.0,11867.0,324.0,2198.0,2243.0,발달상권,20242,2730103767.6
30293.0,14964.0,15330.0,4765.0,3333.0,1432.0,7121.0,11393.0,11780.0,324.0,2198.0,2243.0,발달상권,20243,2645480892.2
31303.0,15452.0,15851.0,5755.0,4027.0,1728.0,7381.0,11850.0,12074.0,391.0,2654.0,2710.0,발달상권,20244,4069615274.8
1891722.0,988915.0,902807.0,8817.0,5342.0,3475.0,416694.0,758562.0,716466.0,1205.0,4227.0,3385.0,발달상권,20241,1717289240.6666667
1830493.0,950209.0,880285.0,8817.0,5342.0,3475.0,390596.0,744735.0,695163.0,1205.0,4227.0,3385.0,발달상권,20242,1757928894.6666667
1846916.0,957814.0,889102.0,8817.0,5342.0,3475.0,399024.0,750777.0,697115.0,1205.0,4227.0,3385.0,발달상권,20243,1691287809.1111112
1917666.0,994955.0,922712.0,11587.0,7034.0,4553.0,403087.0,781152.0,733428.0,1588.0,5641.0,4358.0,발달상권,20244,1778877712.4444444
2318613.0,1070156.0,1248458.0,10275.0,6141.0,4134.0,755367.0,979828.0,583417.0,2137.0,5741.0,2397.0,발달상권,20241,3351117925.3
2345512.0,1078375.0,1267138.0,10275.0,6141.0,4134.0,761476.0,996081.0,587957.0,2137.0,5741.0,2397.0,발달상권,20242,3323961041.5
2293058.0,1052763.0,1240296.0,10275.0,6141.0,4134.0,756740.0,962916.0,573401.0,2137.0,5741.0,2397.0,발달상권,20243,3113916179.9
2274531.0,1048103.0,1226429.0,11262.0,6730.0,4532.0,728506.0,965387.0,580639.0,2340.0,6294.0,2628.0,발달상권,20244,3441781404.8
106432.0,59339.0,47095.0,37.0,16.0,21.0,24395.0,40337.0,41699.0,0.0,15.0,22.0,전통시장,20241,54515154.0
109379.0,59242.0,50136.0,37.0,16.0,21.0,24647.0,43316.0,41417.0,0.0,15.0,22.0,전통시장,20242,46078107.0
119773.0,66115.0,53659.0,37.0,16.0,21.0,26546.0,46651.0,46576.0,0.0,15.0,22.0,전통시장,20243,43769959.333333336
125537.0,69140.0,56397.0,31.0,15.0,16.0,28362.0,48222.0,48953.0,0.0,13.0,18.0,전통시장,20244,26066586.0
1142209.0,637535.0,504672.0,304.0,142.0,162.0,328686.0,508850.0,304672.0,10.0,126.0,168.0,골목상권,20241,119825238.33333333
1129215.0,633659.0,495556.0,304.0,142.0,162.0,328137.0,502048.0,299030.0,10.0,126.0,168.0,골목상권,20242,128171585.66666667
1106893.0,624113.0,482781.0,304.0,142.0,162.0,325057.0,496262.0,285576.0,10.0,126.0,168.0,골목상권,20243,131514330.33333333
1106906.0,622377.0,484529.0,303.0,139.0,164.0,320740.0,506537.0,279632.0,6.0,122.0,175.0,골목상권,20244,112799562.66666667
704749.0,386336.0,318412.0,332.0,219.0,113.0,223138.0,283691.0,197920.0,66.0,188.0,78.0,골목상권,20241,511139868.6
706665.0,388311.0,318354.0,332.0,219.0,113.0,223080.0,287856.0,195730.0,66.0,188.0,78.0,골목상권,20242,517366931.6
697979.0,380949.0,317031.0,332.0,219.0,113.0,220614.0,281385.0,195983.0,66.0,188.0,78.0,골목상권,20243,492566516.2
701537.0,380708.0,320829.0,300.0,198.0,102.0,221763.0,285987.0,193789.0,59.0,169.0,72.0,골목상권,20244,552466002.4
226331.0,123125.0,103206.0,352.0,232.0,120.0,64355.0,96619.0,65357.0,70.0,198.0,84.0,골목상권,20241,677061733.8
205804.0,111329.0,94476.0,352.0,232.0,120.0,58293.0,90930.0,56582.0,70.0,198.0,84.0,골목상권,20242,717440844.8
245656.0,132976.0,112681.0,352.0,232.0,120.0,70770.0,107182.0,67706.0,70.0,198.0,84.0,골목상권,20243,694204910.0
252144.0,135396.0,116748.0,298.0,196.0,102.0,71537.0,110433.0,70175.0,60.0,166.0,72.0,골목상권,20244,761102577.6
1188910.0,671483.0,517427.0,94290.0,62048.0,32242.0,309280.0,556603.0,323028.0,18870.0,52670.0,22750.0,발달상권,20241,6717366894.4
1183662.0,667595.0,516068.0,94290.0,62048.0,32242.0,302845.0,560295.0,320522.0,18870.0,52670.0,22750.0,발달상권,20242,6886779466.0
1212727.0,684426.0,528300.0,94290.0,62048.0,32242.0,320363.0,566638.0,325725.0,18870.0,52670.0,22750.0,발달상권,20243,6982131212.4
1194191.0,671776.0,522415.0,104860.0,69020.0,35840.0,309978.0,560411.0,323801.0,20974.0,58604.0,25282.0,발달상권,20244,7434132294.3
316514.0,178813.0,137700.0,279.0,186.0,93.0,67577.0,122220.0,126716.0,55.0,158.0,66.0,골목상권,20241,372900855.25
300004.0,168915.0,131089.0,279.0,186.0,93.0,64956.0,115112.0,119934.0,55.0,158.0,66.0,골목상권,20242,432326158.75
304658.0,172547.0,132110.0,279.0,186.0,93.0,68726.0,115044.0,120887.0,55.0,158.0,66.0,골목상권,20243,383268001.75
306298.0,172162.0,134136.0,295.0,193.0,102.0,68324.0,116181.0,121792.0,59.0,167.0,69.0,골목상권,20244,433260557.5
453610.0,242447.0,211162.0,614.0,395.0,219.0,118690.0,170639.0,164281.0,47.0,189.0,378.0,골목상권,20241,238354883.8
543394.0,284581.0,258812.0,614.0,395.0,219.0,142096.0,201789.0,199511.0,47.0,189.0,378.0,골목상권,20242,259449484.8
525240.0,275551.0,249687.0,614.0,395.0,219.0,135887.0,196697.0,192656.0,47.0,189.0,378.0,골목상권,20243,315603927.6
517849.0,269323.0,248526.0,634.0,408.0,226.0,134622.0,192898.0,190327.0,46.0,191.0,397.0,골목상권,20244,445343623.0
