번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","펜화로 읽는 사찰:아는만큼 보이는 사찰 펜화기행","김유식 지음","불교시대사","2023","9788980021857","9788980021833","0","2","226.9","1","0","2025-02-22",
"2","펜화로 읽는 사찰:아는만큼 보이는 사찰 펜화기행","김유식 지음","불교시대사","2023","9788980021840","9788980021833","0","1","226.9","1","0","2025-02-22",
"3","시간이 놓친 역사, 공간으로 읽는다:한국역사연구회 역사선","여호규 지음","푸른역사","2023","9791156122555","","0","3","911","1","0","2025-02-22",
"4","부엌에서 물리찾기","청유재 사람들 지음","북스힐","2023","9791159715129","","0","1","420","1","0","2025-02-22",
"5","(유홍준의)한국미술사 강의=Story of Korean art","유홍준 지음","눌와","2023","9791189074623","9788990620439","0","6","609.11","1","0","2025-02-22",
"6","덕분에 건축!:인간의 건축에 영감을 준 동식물 이야기","크리스티안 도리언 지음;윤예지 그림;박규리 옮김","책읽는곰","2023","9791158364199","","7","","472","1","1","2025-02-22",
"7","마크 로스코:그래픽 노블","프란체스코 마테우치 글;조반니 스카르두엘리 그림;이민 옮김","이유출판","2023","9791189534455","","0","","653.42","1","1","2025-02-22",
"8","(대충 봐도 머리에 남는)어린이 야구 상식:야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것","김양희 지음;나인완 그림","블루무스어린이","2023","9791198381811","","7","","695.7","1","0","2025-02-22",
"9","르네상스 워커스=Renaissance's workers:코로나 이후, 우리는 어떻게 일을 해야 하는가?","신인철 지음","빈티지하우스","2023","9791189249762","","0","","321.97","1","0","2025-02-22",
"10","러시아, 그 역사와 진실:러시아의 기원에서 오늘날까지, 러시아에 관한 총체적 역사","올랜도 파이지스 지음;홍우정 옮김","로크미디어","2023","9791140816361","","0","","929","1","0","2025-02-22",
"11","당신의 경제IQ를 높여라:경제학 교수가 들려주는 돈과 인생 이야기","한순구 지음","삼성글로벌리서치","2023","9788976331281","","0","","320.04","1","1","2025-02-22",
"12","도시 대 도시! 맞짱 세계지리 수업:지리 쌤과 함께 떠나는 별별 도시 여행","조지욱 지음;송진욱 그림","태학사","2024","9791168102439","","4","","980","1","1","2025-02-22",
"13","그림책, 사춘기 마음을 부탁해:청소년의 마음을 단단하게 해 주는 쓰담쓰담 그림책 상담실","남기숙 지음;조고은 일러스트","상도북스","2024","9791198118714","","4","","183","1","1","2025-02-22",
"14","호퍼의 빛과 바흐의 사막:39인의 예술가를 통해 본 미술과 클래식 이야기","김희경 지음","한국경제신문 한경BP","2023","9788947549028","","0","","650.4","1","0","2025-02-22",
"15","한국의 미술들:개항에서 해방까지","김영나 지음","워크룸 프레스","2024","9791193480083","","0","","609.11","1","0","2025-02-22",
"16","유럽:하나의 역사","노먼 데이비스 지음;왕수민 옮김","예경","2023","9791197828522","","0","","920","1","0","2025-02-22",
"17","(위험하고 매혹적인)제로 이야기:신의 유무부터 블랙홀까지","찰스 세이프 지음;김동균 옮김","DKJS","2024","9791198659408","","0","","410.4","1","0","2025-02-22",
"18","우리 아이가 ADHD라고요?:우당탕탕 아이를 키우는 교사 엄마의 좌충우돌 육아 가이드","이사비나 지음","빈티지하우스","2024","9791189249847","","0","","598.16","1","0","2025-02-22",
