번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","힘센 강이와 떳다리 ","김예린 글, 황지영 그림","","2024","9791196797447","","","","388.111","1","1","2025-02-14",
"2","아빠, 나의 바다:이경아 그림책","이경아 지음","창비","2024","9788936429348","","7","","813.8","1","1","2025-02-13",
"3","넥서스=석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사 ","지은이: 유발 하라리;옮긴이: 김명주","김영사","2024","9791194330424","","0","","331.5412","1","0","2025-02-13",
"4","(채사장의) 지대넓얕","채사장,마케마케 [공]글;정용환 그림","돌핀북","2025","9791193487068","","7","12","001.3","1","0","2025-02-13",
"5","긴 머리 하마 무무","오미선 지음","달리","2024","9788959985036","","7","","813.8","1","2","2025-02-13",
"6","흔한남매","백난도 글;유난희 그림","미래엔아이세움","2024","9791173114038","","7","18","813.8","1","1","2025-02-13",
"7","우당탕탕 실수왕 밀리:'안 해, 못 해'라는 말, 쏙 들어가는 회복 탄력성 처방전","브렌다 리 글.그림;지니 킴 번역","길벗스쿨","2024","9791164068715","","7","","843","1","1","2025-02-13",
"8","지구가 특별해지는 시간 :돌멩이가 들려주는 지구와 생물의 진화 이야기 ","클라우디아 멘디니 글·그림;정창훈 옮김","봄의정원","2024","9791166340475","","7","","476","1","0","2025-02-13",
"9","쓸데없는 걱정으로 준비된 체력이 소진되었습니다 :쉽게 불안해하는 당신을 위한 걱정 끊기의 기술 ","이광민 지음","웅진씽크빅","2024","9788901284927","","0","","181.71","1","0","2025-02-13",
"10","엉뚱한 과학책 :사소한 것에서 찾아낸 지적 호기심을 200% 채워주는 교양 과학 ","김진우 지음","빅피시","2024","9791194033400","","0","","400","1","2","2025-02-13",
"11","AI 로봇 세계에서 살아남기 1 ","글: 곰돌이 co.;책임 집필: 강진희 ;그림: 한현동","미래엔","2024","9791168419193","","7","66","408","1","1","2025-02-13",
"12","카이로스 :예니 에르펜베크 장편소설 ","지은이: 예니 에르펜베크;옮긴이: 유영미","한길사","2024","9788935678853","","0","","853","1","1","2025-02-13",
"13","양들은 지금 파업 중  ","장 프랑수아 뒤몽 지음;이주희 옮김","봄봄출판사","2025","9791168630642","","7","","863","1","2","2025-02-13",
"14","바람이 분다, 가라:한강 장편소설","한강 지음","문학과지성사","2024","9788932020006","","0","","813.6","1","1","2025-02-13",
"15","요정 개, 올빼미 머리 그리고 나","M. T. 앤더슨 지음;준이 우 그림;송섬별 옮김","책읽는곰","2024","9791158365103","","7","","843","1","1","2025-02-13",
"16","천 년 집사 백 년 고양이 :추정경 장편소설 ","지은이: 추정경","인플루엔셜","2024","9791168342439","","4","","813.7","1","0","2025-02-13",
"17","별의 커비:오늘도 동글동글 일기!","다이내믹 타로 지음;김지영 옮김","대원키즈","2025","9791142303753","","7","2","833.8","1","1","2025-02-13",
"18","예언자의 노래:폴 린치 장편소설","폴 린치 지음;허진 옮김","은행나무","2024","9791167374929","","0","","843","1","0","2025-02-13",
"19","(이상한 과자 가게) 전천당:시즌 2","히로시마 레이코 글;쟈쟈 그림;김정화 옮김","길벗스쿨","2024","9791164068692","","7","21","833.8","1","1","2025-02-13",
"20","AI 리터러시 =Artifical intelligence literacy :인공지능 필수 지식부터 완벽 활용까지 :여전히 챗GPT만 붙들고 있는 당신에게 ","김용성 지음","프리렉","2024","9788965404026","","1","","004.73","1","1","2025-02-13",
