번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","동조자: 비엣 타인 응우옌 장편 소설","비엣 타인 응우옌 지음;김희용 옮김","민음사","2023","9788937427862","","0","","843","1","0","2024-02-19",
"2","이웃집 식물상담소:식물들이 당신에게 건네는 말과 위로 ","신혜우 지음","다산북스","2022","9791130690827","","","","818","1","1","2024-02-14",
"3","진짜 챗GPT 활용법:엑셀 활용법부터 블로그 자동화, 유튜브 콘텐츠 생성, 미드저니와 ChatGPT API 사용법까지 ","김준성,유원준,안상준 지음","위키북스","2023","9791158394721","","","","004.73","1","3","2024-02-14",
"4","사랑받은 아이는 흔들리지 않는다:우리 아이의 잠재력을 깨우는 존중의 육아법 ","린다 해트필드,타이 해트필드,웬디 토마스 러셀 [공]지음 ;신솔잎 옮김","빌리버튼","2022","9791191228816","","","","598.1","1","2","2024-02-14",
"5","(내 아이를 위한) 주의력 수업:공부 습관과 생활 태도를 좌우하는 결정적 비밀 ","이임숙,노선미 지음","카시오페아(카시오페아 출판사)","2023","9791168271012","","","","598.6","1","3","2024-02-14",
"6","나무와 돌과 어떤 것 ","이갑수","열화당","2022","9788930107464","","0","","818","1","0","2024-02-14",
"7","내향인을 위한 심리학 수업 :오늘도 나를 숨기고 외향인인 척 살아가는 내향형 인간의 해방일지 ","최재훈 지음","미래의창","2022","9791192519234","","0","","182.12","1","3","2024-02-14",
"8","우리가 바꿀 수 있어요 :세상을 바꾸는 예술의 힘 ","디 니콜스 지음;김정한 옮김 ;그림: 디아나 다가디타,사도,올리비아 트위스트,몰리 멘도자,디에도 베카스","놀이터","2022","9791189436315","","4","","600","1","0","2024-02-14",
"9","공감에도 연습이 필요합니다 :매력적인 사람이 되기 위한 공감의 기술 ","권수영 지음","샘터(샘터사)","2022","9788946422155","","0","","181.7","1","1","2024-02-14",
"10","스마트폰에서 나온 수학 천재들:계산기부터 보안 체계까지 수학이 만든 세상 ","김용관 지음","다른","2022","9791156335009","","4","","410","1","1","2024-02-14",
"11","(만들면서 배우는) 인공지능 엔트리와 40개의 작품들 :모델학습, 오디오감지, 비디오감지, 음성인식, 데이터분석, 사고력학습 ","지은이: 김수연,전진아,김종렬,장문철","앤써북","2022","9791197948909","","1","","004.73","1","2","2024-02-14",
"12","온난한 날들 :윤이안 장편소설 ","지은이: 윤이안","안전가옥","2022","9791191193572","","0","","813.7","1","2","2024-02-14",
"13","엄마 사랑 ","글: 신영란;그림: 미소노","에이치제이스마트에듀","2022","9791191494143","","7","","813.7","1","5","2024-02-14",
"14","아빠, 냉이꽃 예쁘지요 ","김옥애 글;윤지경 그림","좋은꿈","2022","9791191984231","","7","","813.6","1","2","2024-02-14",
"15","수평선 먼 섬으로 나비가 팔랑팔랑 ","전병호 동시조;김혜원 그림","도토리숲","2022","9791185934822","","7","","811.3","1","0","2024-02-14",
"16","속상해 ","글, 그림: 이혜리","보림출판사","2022","9788943314866","","7","","375.1","1","0","2024-02-14",
"17","리보와 앤 :아무도 오지 않는 도서관의 두 로봇 ","어윤정 글;해마 그림","문학동네","2023","9788954690690","","7","","813.7","1","2","2024-02-14",
"18","4월 그믐날 밤","방정환 글;허구 그림 ;장정희 해설","길벗어린이","2022","9788955826456","","7","","813.6","1","1","2024-02-14",
