번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","범도","지음: 방현석","문학동네","2023","9788954693288","9788954693295","","2","813.7","1","1","2025-02-27",
"2","나는 부모를 버렸습니다","지음:정희승","작가의집","2025","9791199062122","","","","818","1","0","2025-02-25",
"3","세계미래보고서 2025-2035  : 미래 10년의 모든 산업을 뒤흔들 기후비상사태","지음: 박영숙","교보문고(단행본)","2024","9791170612001","","","","331.544","1","0","2025-02-25",
"4","내가 의대에서 가르친 거짓말들  : 건강을 책임진다고 믿었던 현대 의학은 어떻게 우리를 더 병들게 했는가","지음: 로버트 러프킨","정말중요한","2024","9791186745786","","","","517.3","1","0","2025-02-25",
"5","작은 땅의 야수들 - 2024 톨스토이 문학상 수상작","지음:김주혜, 옮김:박소현","다산책방","2023","9791130642574","","","","843","1","0","2025-02-25",
"6","무조건 싸게 팔지 마라  : 매출을 확 올려주는 가격 책정의 마술!","지음:메이랩","평단","2024","9788973435753","","","","325.521","1","0","2025-02-25",
"7","마음을 움직이는 브랜딩  : 잘나가는 1인 기업의 숨겨진 부의 비밀","지음: 메이랩(조윤화)","드림셀러","2023","9791192788050","","","","325.571","1","0","2025-02-25",
"8","누가 선생님이 편하대  : 아이와 함께 성장하는 선생님의 고군분투 운영일지","지음: 백지하","미문사","2024","9791187812371","","","","370.4","1","0","2025-02-25",
"9","브런치 인문학 - 서사시와 비극으로 읽는 서양 고전 레시피","강대진 (지은이)","북길드","2025","9788996937470","","","","001.3","1","0","2025-02-20",
"10","나의 폴라 일지  : 김금희 산문","지음: 김금희","한겨레출판","2025","9791172132057","","","","814.7","1","1","2025-02-20",
"11","왝왝이가 그곳에 있었다 : 이로아 장편소설","지음:이로아","문학동네","2025","9791141608873","","","75","808.9","1","0","2025-02-20",
"12","에머슨의 자기 확신에 관하여","랄프 왈도 에머슨 (지은이), 솝희 (옮긴이)","레디투다이브","2025","9791198999122","","","","844","1","0","2025-02-20",
"13","180만 원 월급쟁이 이주임은 어떻게 경매 부자가 됐을까  : 초보도 할 수 있는 4주 실전 플랜","지음: 이주임","한국경제신문","2025","9788947549943","","","","327.87","1","0","2025-02-20",
"14","너의 유토피아  : 정보라 소설집","지음: 정보라","래빗홀","2025","9791168342569","","","","813.7","1","0","2025-02-20",
"15","필링 굿 - 개정판","데이비드 D. 번즈 (지은이), 차익종, 이미옥 (옮긴이)","아름드리미디어","2023","9788955826968","","","","513.8525","1","1","2025-02-20",
"16","성난 파도 다스리기  : 소란한 마음을 고요하게 하는 365가지 삶의 지혜","지음: 덩 밍다오","북플레저","2025","9791193937433","","","","199.1","1","1","2025-02-20",
"17","더 나은 어휘를 쓰고 싶은 당신을 위한 필사책","지음:이주윤","빅피시","2024","9791194033455","","","","802","1","1","2025-02-20",
"18","정신과 의사가 들려주는 불교 사용 설명서 - 삶과 수행으로 검증한 초기불교의 가르침","전현수 (지은이)","불광출판사","2025","9791172611347","","","","220","1","0","2025-02-20",
"19","소스 코드  : 더 비기닝","지은이: 빌 게이츠","열린책들","2025","9788932924977","","","","325.24099","1","0","2025-02-20",
"20","아몬드  : 손원평 장편소설","지음: 손원평","다즐링","2023","9791198363510","","0","","813.7","1","1","2025-02-20",
"21","(세상에서 가장 짧은)전쟁사 : 모든 전쟁의 시작과 끝은 어떻게 가능한가?","지음: 그윈 다이어 옮김: 김상조","진성북스","2024","9788997743674","","0","","909","1","1","2025-02-19",
"22","징비록 = 懲毖錄 : 전란을 극복한 불후의 기록","지음: 유성룡 옮김: 이민수","을유문화사","2024","9788932475288","","0","","911.0553","1","0","2025-02-19",
