번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","트렌드 코리아 2025:2025 대한민국 소비트렌드 전망","김난도 [외] 지음","미래의창","2024","9788959897223","","1","","320.911","1","8","2024-11-19",
"2","이중 하나는 거짓말:김애란 장편소설","김애란 지음","문학동네","2024","9791141601300","","0","","813.7","1","4","2024-11-19",
"3","딱 1억만 모읍시다:돈쭐남의 목돈 마련 챌린지","김경필 지음","경이로움","2024","9791192445892","","0","","327.87","1","4","2024-11-19",
"4","(손오공의 한자 대탐험) 마법천자문.","알에스미디어 글;정수영 그림","아울북","2024","9791171178186","9791171172818","7","64","711.47","1","6","2024-11-19",
"5","(흔한남매) 이상한 나라의 고전 읽기.","흔한남매 감수;최재훈 글;정주연 그림","미래엔","2024","9791168418950","9791168412255","","6","813.5","1","5","2024-11-19",
"6","설민석의 한국사 대모험.","설민석;스토리박스 [공]글;정현희 그림","Dankkum i(단꿈아이)","2024","9791193031681","9791191496192","7","30","911","1","4","2024-11-19",
"7","(설민석의)세계사 대모험.","설민석;김정욱 글;박성일 그림","단꿈아이","2024","9791193031254","9791196893101","7","22","909","1","4","2024-11-19",
"8","원더풀 랜드:더글라스 케네디 장편소설","더글라스 케네디 지음; 조동섭 옮김","밝은세상","2024","9788984374928","","0","","843.6","1","0","2024-11-19",
"9","대온실 수리 보고서:김금희 장편소설","김금희 지음","창비","2024","9788936439651","","0","","813.7","1","4","2024-11-19",
"10","똑똑한 쿠키","조리 존 글;피트 오즈월드 그림;김경희 옮김","길벗어린이","2024","9788955827712","","7","","843","1","3","2024-11-19",
"11","몽글몽글 편의점:김영진 그림책","김영진 지음","책읽는곰","2024","9791158364823","","7","","813.8","1","4","2024-11-19",
"12","작은 땅의 야수들:김주혜 장편소설","김주혜 지음;박소현 옮김","다산책방","2024","9791130642574","","0","","843.6","1","2","2024-11-19",
"13","작별하지 않는다:한강 장편소설","한강 지음","문학동네","2021","9788954682152","","0","","813.7","1","3","2024-11-19",
"14","오늘, 너에게:최숙희 그림책","최숙희 글·그림","웅진주니어","2024","9788901287263","","7","","813.8","1","4","2024-11-19",
"15","해든 분식","동지아 글;윤정주 그림","문학동네","2024","9791141607791","","7","","808.9","1","3","2024-11-19",
"16","실크로드의 땅, 중앙아시아 인문학 여행:우즈베키스탄, 카자흐스탄, 키르기스스탄","홍종경 지음","좋은땅","2024","9791138833868","","0","","981.602","1","6","2024-11-19",
"17","21세기 공학과 기독교 인문학이 만날 때","정진호 지음","울독","2022","9791197338625","","0","","235.84","1","0","2024-11-19",
"18","울독 아리랑:동해안 12도시 이야기","정진호,김남일,김윤배 [외]지음","울독","2024","9791197338670","","0","","911.46","1","0","2024-11-19",
"19","독도 해녀","김수희 지음","동북아역사재단","2023","9791171610563","","0","","911.8295","1","0","2024-11-19",
"20","빈:서숙희 시집","서숙희 지음","작가","2024","9791190566902","","0","","811.7","1","0","2024-11-19",
"21","노후를 준비하는 삶:나이는 들어도 늘 필요한 사람으로 남아야 한다","허경태 지음","렛츠북","2024","9791160547252","","0","","818","1","3","2024-11-19",
"22","불안의 끝에서 쇼펜하우어 절망의 끝에서 니체:방향 잃은 삶을 위한 철학 나침반","강용수 지음","21세기북스","2024","9791171178360","","0","","165","1","3","2024-11-19",
"23","(흔한남매의) 흔한 호기심.","흔한남매 원작;안치현 글;유난희 그림","미래엔아이세움","2024","9791168419018","","7","12","404","1","1","2024-11-19",
"24","자그맣고 커다란 고릴라:반대와 반대의 세계","앤서니 브라운 글·그림;이훤 옮김","웅진주니어","2024","9788901284026","","7","","843","1","4","2024-11-19",
"25","09:47","이기훈 지음","글로연","2021","9788992704878","","7","","813.8","1","0","2024-10-11",
"26","09:47","이기훈 지음","글로연","2021","9788992704878","","7","","813.8","1","1","2024-10-11",
"27","파도의 하루","아베 유이 글·그림;박성아 옮김","비전비엔피","2024","9791192527505","","7","","833.6","1","2","2024-10-11",
"28","바다를 후루룩","희봄 글;김유경 그림","북멘토","2023","9788963190594","","7","","813.8","1","0","2024-10-11",
"29","파도는 나에게:하수정 그림책","하수정 글·그림","웅진씽크빅","2019","9788901234519","","7","","813.8","1","1","2024-10-11",
