번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","그섬에 사람이 살았네","심규상 집필","","2024","9791198082947","","","","911.78","1","0","2024-08-27",
"2","(흔한남매)과학 탐험대","흔한남매 원작;김언정,이현진 [공] 글;이태영,임혜영 [공] 그림","주니어김영사","2024","9788934905851","","7","10","404","1","0","2024-08-27",
"3","괴짜 할머니네 숲속 빵집:세상에서 가장 부드러운 위로의 맛","구스노키 아키코 글;이다 지아키 그림;이구름 옮김","동아엠앤비","2024","9791163638087","","7","","833.8","1","2","2024-08-27",
"4","공평한 저울 세상","홍종의 지음;달상 그림","샘터(샘터사)","2023","9788946474321","","7","","813.8","1","2","2024-08-27",
"5","걱정 돌멩이","김현태 글;구광서 그림","고래책빵","2024","9791192726960","","7","","813.8","1","4","2024-08-27",
"6","거미와 농부","안혜경 지음","곰세마리","2024","9791193366042","","7","","813.8","1","2","2024-08-27",
"7","31센티미터의 약속","가에쓰 히로시 지음;나간 그림;이소담 옮김","위즈덤하우스","2023","9791192655345","","7","","833.8","1","1","2024-08-27",
"8","(설민석의)한국사 대모험","설민석,스토리박스[공] 글;정현희 그림","Dankkum i(단꿈아이)","2024","9791193031636","9791191496192","7","29","911","1","2","2024-08-27",
"9","(설민석의)세계사 대모험","설민석,김정욱 [공] 글;박성일 그림","단꿈아이","2024","9791193031247","9791196893101","7","21","909","1","2","2024-08-27",
"10","내가 있어요:김효은 그림책","김효은 지음","창비","2024","9788936429270","","7","","375.1","1","1","2024-08-27",
"11","나와 거인","알렉산드라 카스테야노스 솔리스 지음;김서정 옮김","문학과지성사","2024","9788932042961","","7","","873","1","1","2024-08-27",
"12","꼬마늑대가 처음 안경을 맞춘 날:윤정미 그림책","윤정미 지음","사계절(사계절출판사)","2024","9791169811958","","7","","813.8","1","2","2024-08-27",
"13","길이 재기 대회를 한대!:길이 단위","윤병무 글;이철형 그림","국수","2024","9791190499507","","7","","410","1","2","2024-08-27",
"14","기억나요?","시드니 스미스 지음;김지은 옮김","책읽는곰","2024","9791158364601","","7","","843","1","1","2024-08-27",
"15","넌 토끼가 아니야","백승임 글;윤봉선 그림","노란돼지","2023","9791159953224","","7","","813.8","1","2","2024-08-27",
"16","(빨간내복야코)맞춤법 절대 안 틀리는 책","빨간내복야코 원작;박종은 글;이영아 그림","위즈덤하우스","2024","9791171712328","","7","2","711.25","1","1","2024-08-27",
"17","놓지 마 과학!","신태훈,나승훈 [공] 지음","위즈덤하우스","2024","9791171712267","9791191119374","7","19","400","1","2","2024-08-27",
"18","그리스 로마 신화","박시연 글;최우빈 그림","아울북","2024","9788950941659","","7","40","219.2","1","1","2024-08-27",
"19","그리스 로마 신화","박시연 글;최우빈 그림","북이십일","2024","9788950941642","9788950971359","7","39","219.2","1","2","2024-08-27",
"20","구술사로 만나는 당진포구:송악편","우현선 집필;당진시청 문화관광과 기획","","2023","9791198082923","","","4","911.78","1","0","2024-08-27",
"21","구름 한 숟가락 ㄱㄴㄷ","황숙경 지음","비룡소","2024","9788949105642","","7","","813.8","1","2","2024-08-27",
"22","마음 얼굴 병원:성격을 바꿔 드립니다","김경미 글;이창희 그림","소원나무","2023","9791193207109","","7","","813.8","1","2","2024-08-27",
"23","똑똑하고 용감한 슈퍼 히어로 백신","라자니 라로카 글;캐서린 마르코트 그림","안녕로빈","2023","9791191942255","","7","","518","1","1","2024-08-27",
"24","(Disney·PIXAR)인사이드 아웃 2:무비 동화","에린 펠리갠트 각색;디즈니 동화 아트팀 그림;백정선 옮김","Oh!북스","2024","9791171180219","","7","","843","1","2","2024-08-27",
"25","동화 작가와 함께 쓰는 초등 주제 일기","김점선,임태리 [공] 글;백명식 그림","가문비","2024","9788969026545","","7","","802.6","1","1","2024-08-27",
"26","당근 할머니:안녕달 그림책","안녕달 지음","창비","2024","9788936429232","","7","","813.8","1","2","2024-08-27",
"27","달팽이 달리기","이혜인 지음","킨더랜드","2023","9791170820314","","7","","813.8","1","3","2024-08-27",
"28","다행이야","강미야 지음","학교앞거북이","2023","9791197083860","","7","","813.8","1","2","2024-08-27",
"29","무영이가 사라졌다","임수경 글; 김혜원 그림","뜨인돌출판","2024","9788958079712","","7","","813.8","1","0","2024-08-27",
"30","넌 나의 행운이야","프란체스카 피로네 지음;오현지 옮김","FIKAJUNIOR(피카주니어)","2024","9791192869216","","7","","859.3","1","3","2024-08-27",
"31","Go Go 카카오프렌즈:자연탐사","조주희 글;김정한 그림","아울북","2024","9791171176465","","7","8","472.5","1","1","2024-08-27",
"32","그래! 이 닦지 말자","여기 최병대 지음","월천상회","2023","9791190352352","","7","","813.8","1","2","2024-08-27",
"33","놓지 마 속담","신태훈,나승훈 [공] 지음","김영사","2024","9788934908760","","7","2","388.6","1","2","2024-08-27",
"34","내가 아니면 누가 나를 챙겨줄까:인생의 1순위는 언제나 나여야만 한다","홍현태 지음","Deep&wide","2023","9791191369496","","","","818","1","2","2024-08-24",
"35","속삭임 우묵한 정원:배수아 장편소설","배수아 지음","은행나무","2024","9791167374486","","0","","813.7","1","0","2024-08-24",
"36","사피엔스:그래픽 히스토리","유발 하라리 원작;다비드 반데르묄렝 각색;다니엘 카사나브 그림;김명주 옮김","김영사","2024","9788934935735","9788934991311","0","3","909","1","1","2024-08-24",
"37","사피엔스:그래픽 히스토리","유발 하라리 원작;다비드 반데르묄렝 각색;다니엘 카사나브 그림;김명주 옮김","김영사","2021","9788934944188","9788934991311","0","2","909","1","1","2024-08-24",
"38","사피엔스:그래픽 히스토리","유발 하라리 원작;다비드 반데르묄렝 각색;다니엘 카사나브 그림;김명주 옮김","김영사","2020","9788934991328","9788934991311","0","1","909","1","3","2024-08-24",
"39","[큰글자] 풍수전쟁:김진명 장편소설","김진명 지음","이타(이타북스)","2023","9791167763884","","0","","813.7","1","1","2024-08-24",
"40","[큰글자] 우리는 조금씩 자란다","김달님 지음","M창비(미디어창비)","2024","9791193022429","","0","","818","1","1","2024-08-24",
"41","[큰글자] 나를 돌보는 그림책 명상:마음 근력을 키우는 7가지 명상법","김기섭 지음","단비","2024","9791163501169","","0","","189.1","1","0","2024-08-24",
"42","콧구멍 속 비밀 친구","소연 글;기뮈 그림","북멘토","2023","9788963195230","","7","","813.8","1","2","2024-08-24",
"43","츠츠츠츠:이지은 그림책","이지은 지음","사계절","2024","9791169812085","","7","","813.8","1","4","2024-08-24",
"44","천개산 패밀리","박현숙 글;길개 그림","특서주니어","2024","9791167031082","","7","3","813.8","1","1","2024-08-24",
"45","천개산 패밀리","박현숙 글;길개 그림","특서주니어","2023","9791167030870","","7","2","813.8","1","1","2024-08-24",
"46","천개산 패밀리","박현숙 글;길개 그림","특서주니어","2023","9791167030849","","7","1","813.8","1","1","2024-08-24",
"47","차를 타고=Go by car","오카모토 유지 지음;최종호 옮김","진선아이","2024","9791193003541","","7","","833.8","1","1","2024-08-24",
"48","찍찍찍 마을 옥수수 축제:멜리 그림책","멜리 지음","위즈덤하우스","2024","9791192655802","","7","","813.8","1","2","2024-08-24",
"49","(질문하면 바로바로 답이 나오는)챗GPT","조남철 글;이국현 그림","동아엠앤비","2023","9791163637110","","7","","331.5412","1","1","2024-08-24",
"50","너에게 들려주는 단단한 말","김종원 지음","퍼스트펭귄","2024","9791198682550","","4","","199.5","1","1","2024-08-24",
"51","나는 다정한 관찰자가 되기로 했다","이은경 지음","서교책방","2024","9791198752406","","0","","598.1","1","1","2024-08-24",
"52","리틀 라이프:한야 야나기하라 장편소설","한야 야나기하라 지음;권진아 옮김","시공사","2016","9788952776389","9788952776365","0","2","843.6","1","0","2024-08-24",
"53","리틀 라이프:한야 야나기하라 장편소설","한야 야나기하라 지음;권진아 옮김","시공사","2016","9788952776372","9788952776365","0","1","843.6","1","1","2024-08-24",
"54","따돌림으로부터 내 아이를 지키는 방법","홋타 슈고 지음;이정아 옮김","고래이야기","2023","9791192827063","","0","","334.24","1","1","2024-08-24",
"55","대화의 힘:원하는 모든 것을 얻어내는 최고의 기술","찰스 두히그 지음;조은영 옮김","갤리온","2024","9788901285108","","0","","802.56","1","1","2024-08-24",
"56","당신이 누군가를 죽였다","히가시노 게이고 지음;최고은 옮김","북다","2024","9791170611561","","0","","833.6","1","2","2024-08-24",
"57","다시, 역사의 쓸모:합리적이고 품위 있는 선택을 위한 20가지 지혜","최태성 지음","프런트페이지","2024","9791193401217","","0","","904","1","0","2024-08-24",
"58","퐁퐁 팡팡! 빗방울 놀이공원","상자 글;이수현 그림","보랏빛소어린이","2024","9791193010907","","7","","813.8","1","3","2024-08-24",
