번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","구술사로 만나는 당진포구:송악편","집필: 우현선;기획: 당진시청 문화관광과","","2023","9791198082923","","0","4","911.78","1","0","2024-09-07",
"2","그섬에 사람이 살았네","심규상 집필","","2024","9791198082947","","0","","911.78","1","0","2024-09-07",
"3","아무도 이런 이야기를 하지 않는다:퍼트리샤 록우드 소설","퍼트리샤 록우드 지음;김승욱 옮김","알에이치코리아(RHK)","2024","9788925574967","","0","","843.6","1","0","2024-08-24",
"4","탕비실:이미예 소설","이미예 지음","한끼","2024","9791198809940","","0","","813.7","1","0","2024-08-24",
"5","카페 도도에 오면 마음의 비가 그칩니다","시메노 나기 지음;장민주 옮김","더퀘스트","2024","9791140709816","","0","","833.6","1","0","2024-08-24",
"6","취향 탐구 생활:‘진짜 취향’으로 가득한 나의 우주 만들기 프로젝트","에린남 지음","좋은생각사람들","2022","9791187033165","","0","","818","1","0","2024-08-24",
"7","오늘도 신경 쓰고 말았습니다","요시타케 신스케 지음;양지연 옮김","김영사","2024","9788934911074","","0","","838","1","0","2024-08-24",
"8","참을 수 없는 존재의 MBTI:명작 속에서 나를 발견하다","임수현 지음;이슬아 그림","Diff?rance(디페랑스)","2023","9791185264653","","0","","182.12","1","0","2024-08-24",
"9","동사 X 전치사 도감:외우지 않는 편안함","권은희 지음","길벗이지톡","2024","9791140709960","","0","","745","1","0","2024-08-24",
"10","(비울수록 사랑을 더 채우는)엄마의 말 그릇","김윤나 지음","카시오페아","2024","9791168271838","","0","","598.1","1","0","2024-08-24",
"11","어린이라는 사회:어른들은 절대 모르는 그들만의 리그","이세이 지음","포레스트북스","2024","9791193506615","","0","","818","1","1","2024-08-24",
"12","[큰글자] 좋은 곳에서 만나요","이유리 지음","안온(안온북스)","2023","9791192638263","","0","","813.7","1","0","2024-08-24",
"13","(설민석의)한국사 대모험","설민석,스토리박스[공] 글;정현희 그림","Dankkum i(단꿈아이)","2024","9791193031636","9791191496192","7","29","911","1","1","2024-08-24",
"14","(설민석의)우리 고전 대모험","설민석,최설희 [공] 글;강신영 그림","Dankkum i(단꿈아이)","2024","9791193031421","9791193031407","7","2","813.5","1","2","2024-08-24",
"15","선생님, 있잖아요","가시마 가즈오 엮음;요시타케 신스케 그림;김윤수 옮김","김영사","2024","9788934921325","","7","","838","1","2","2024-08-24",
"16","엄마라면","백은하 글;이주안 그림","현암주니어","2024","9788932376318","","7","","813.8","1","2","2024-08-24",
"17","얼음산 빙수 가게:정현진 그림책","정현진 지음","올리","2024","9791165349745","","7","","813.8","1","2","2024-08-24",
"18","어린이 검은 감정 사전","박지현 글;난나 그림","대림아이","2024","9791192813196","","7","","181.7","1","0","2024-08-24",
"19","애니캔:은경 장편동화","은경 지음;유시연 그림","별숲","2022","9791191204964","","7","","813.8","1","1","2024-08-24",
"20","안경이 말이야","투페라 투페라 지음;황진희 옮김","웃는돌고래","2023","9788997715862","","7","","833.8","1","1","2024-08-24",
"21","아무거나 문방구","정은정 지음;유시연 그림","창비","2024","9788936448592","","7","1","813.8","1","1","2024-08-24",
"22","수영장 가는 길","박초아 지음","풀빛","2024","9791161729336","","7","","813.8","1","2","2024-08-24",
"23","수상한 이웃집 시노다","도미야스 요코 글;오바 켄야 그림;송지현 옮김","다산어린이","2024","9791130642758","9791130642703","7","5","833.8","1","0","2024-08-24",
"24","수상한 이웃집 시노다","도미야스 요코 글;오바 켄야 그림;송지현 옮김","다산북스","2023","9791130642741","9791130642703","7","4","833.8","1","0","2024-08-24",
"25","수상한 이웃집 시노다","도미야스 요코 글;오바 켄야 그림;송지현 옮김","다산북스","2023","9791130642734","9791130642703","7","3","833.8","1","0","2024-08-24",
"26","수상한 이웃집 시노다","도미야스 요코 글;오바 켄야 그림;송지현 옮김","다산북스","2023","9791130642727","9791130642703","7","2","833.8","1","1","2024-08-24",
"27","수상한 이웃집 시노다","도미야스 요코 글;오바 켄야 그림;송지현 옮김","다산북스","2023","9791130642710","9791130642703","7","1","833.8","1","2","2024-08-24",
"28","할 말 제대로 하는 10대들의 대화력:청소년이 배워야 할 스마트한 말 습관","강요식 지음","미디어숲","2024","9791158742218","","4","","199.5","1","0","2024-08-24",
"29","장애인이 더 많은 세상이라면","박윤영,채준우 [공] 지음","뜨인돌(뜨인돌출판)","2023","9788958079774","","0","","338.3","1","0","2024-08-24",
"30","천지신명은 여자의 말을 듣지 않지:김이삭 소설집","김이삭 지음","인플루엔셜","2024","9791168341968","","0","","813.7","1","0","2024-08-24",
"31","생각이 너무 많은 나에게","변지영 지음","오아시스","2024","9791168271968","","0","","189","1","0","2024-08-24",
"32","(그림에 진심)보태니컬 펜 드로잉","이일선,조혜림 [공] 지음","그림책방","2024","9791197437144","","","","656.8","1","0","2024-08-24",
"33","반반 무 많이:김소연 소설집","김소연 지음","서해문집","2021","9791190893930","","4","","813.7","1","0","2024-08-24",
"34","멜라닌:하승민 장편소설","하승민 지음","한겨레출판","2024","9791172130879","","0","","813.7","1","0","2024-08-24",
"35","만일 나에게 단 한 번의 아침이 남아 있다면:오늘이 끝나기 전 반드시 깨달아야 할 것들","존 릴런드 지음;최인하 옮김","북모먼트","2024","9791193937112","","0","","848","1","1","2024-08-24",
"36","(마구로센세의)여행 일본어 마스터","최유리,나인완 [공] 지음","BS(브레인스토어)","2023","9791169780070","","0","","737.5","1","2","2024-08-24",
"37","리틀 라이프:한야 야나기하라 장편소설","한야 야나기하라 지음;권진아 옮김","시공사","2016","9788952776389","9788952776365","0","2","843.6","1","0","2024-08-24",
