번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","구술사로 만나는 당진포구:송악편","집필: 우현선;기획: 당진시청 문화관광과","","2023","9791198082923","","0","4","911.78","1","0","2024-09-07",
"2","그섬에 사람이 살았네","심규상 집필","","2024","9791198082947","","0","","911.78","1","0","2024-09-07",
"3","당근밭 걷기:안희연 시집","안희연 지음","문학동네","2024","9791141600778","","0","","811.7","1","0","2024-08-24",
"4","(손오공의 한자 대탐험)마법천자문","스튜디오 훈훈 글;정수영 그림","아울북","2024","9791171174713","9791171172818","7","62","711.47","1","0","2024-08-24",
"5","오십이 된 너에게:여성학자 박혜란이 전하는 공감과 위로의 메시지","박혜란 지음","토트","2024","9791194175025","","0","","818","1","2","2024-08-24",
"6","오렌지와 빵칼:청예 장편소설","청예 지음","허블","2024","9791193078259","","0","","813.7","1","0","2024-08-24",
"7","열다섯에 배워 평생 써먹는 단단한 돈 공부:별난 사회 선생님의 돈이 보이는 경제 교실","권재원 지음","우리학교","2024","9791167552686","","4","","327.04","1","1","2024-08-24",
"8","언젠가 우리가 같은 별을 바라본다면","차인표 지음;제딧 그림","해결책","2021","9791191061048","","","","813.7","1","1","2024-08-24",
"9","어른스러운 손뜨개 가방과 모자","가네코 사치코 지음;제리 옮김","오롯한날","2024","9791198645920","","1","","592.27","1","1","2024-08-24",
"10","악의 회고록","김연진 지음","네오북스","2024","9791157404001","","0","","813.7","1","1","2024-08-24",
"11","아이가 없는 집","알렉스 안도릴 지음;유혜인 옮김","필름","2024","9791193262184","","0","","859.7","1","1","2024-08-24",
"12","아무도 이런 이야기를 하지 않는다:퍼트리샤 록우드 소설","퍼트리샤 록우드 지음;김승욱 옮김","알에이치코리아(RHK)","2024","9788925574967","","0","","843.6","1","0","2024-08-24",
"13","광마회귀","유진성 지음","문학수첩","2024","9791193790229","","0","3","813.7","1","2","2024-08-24",
"14","광마회귀","유진성 지음","문학수첩","2024","9791193790212","","0","2","813.7","1","2","2024-08-24",
"15","광마회귀","유진성 지음","문학수첩","2024","9791193790205","","0","1","813.7","1","2","2024-08-24",
"16","가벼운 점심:장은진 소설집","장은진 지음","한겨레엔","2024","9791172130404","","0","","813.7","1","1","2024-08-24",
"17","(손오공의 한자 대탐험)마법천자문","스튜디오 훈훈 글;정수영 그림","아울북","2023","9791171172825","9791171172818","7","61","711.47","1","0","2024-08-24",
"18","(손오공의 한자 대탐험)마법천자문","유대영 글;정수영 그림","아울북","2023","9791171171255","9788950995898","7","60","711.47","1","0","2024-08-24",
"19","(똥꼬발랄)고영희:다영 수학동화","다영 글;김윤정 그림","와이즈만BOOKs(와이즈만북스)","2024","9791192936437","","7","1","410","1","1","2024-08-24",
"20","또드랑 할매와 호랑이","오호선 글;이명애 그림","여유당","2024","9791194100003","","7","","813.8","1","1","2024-08-24",
"21","당근 할머니:안녕달 그림책","안녕달 지음","창비","2024","9788936429232","","7","","813.8","1","0","2024-08-24",
"22","달과 지구가 다툰 날","데이비드 더프 글;노에미 볼라 그림;강미숙 옮김","북극곰","2024","9791165883607","","7","","843","1","1","2024-08-24",
"23","놓지 마 과학!","신태훈,나승훈 [공] 지음","위즈덤하우스","2024","9791171712267","9791191119374","7","19","400","1","1","2024-08-24",
"24","너의 장점은?","최백규 글;경혜원 그림","창비","2024","9788936448691","","7","","199.4","1","0","2024-08-24",
"25","낙엽 스낵","백유연 지음","웅진씽크빅","2019","9788901237336","","7","","813.8","1","2","2024-08-24",
"26","꽁꽁꽁 댕댕:윤정주 그림책","윤정주 지음","책읽는곰","2024","9791158364724","","7","","813.8","1","1","2024-08-24",
"27","귀명사 골목의 여름","가시와바 사치코 글;사타케 미호 그림;고향옥 옮김","한빛에듀","2024","9791169212465","","7","","833.8","1","0","2024-08-24",
"28","구름 한 숟가락 ㄱㄴㄷ","황숙경 지음","비룡소","2024","9788949105642","","7","","813.8","1","1","2024-08-24",
"29","공주를 깨우지 마세요:백설공주와 일흔일곱 난쟁이","다비드 칼리 글;라파엘르 바르바네그르 그림;박재연 옮김","달달북스","2024","9791196981662","","7","","863","1","2","2024-08-24",
"30","슈뻘맨의 숨은 과학 찾기:엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작;서후 글;류수형 그림","미래엔아이세움","2024","9791168418462","9791168415164","7","4","404","1","3","2024-08-24",
"31","(코믹 메이플스토리)수학도둑:응용편","송도수 글;서정 엔터테인먼트 그림","서울문화사","2022","9791169238915","","6","99","410","1","2","2024-08-24",
"32","(코믹 메이플스토리)수학도둑:응용편","송도수 글;서정 엔터테인먼트 그림","서울문화사","2024","9791169239073","","6","100","410","1","2","2024-08-24",
"33","소풍날","김규하 지음","웅진주니어","2024","9788901284361","","7","","813.8","1","1","2024-08-24",
"34","(설민석의)한국사 대모험","설민석,스토리박스[공] 글;정현희 그림","Dankkum i(단꿈아이)","2024","9791193031636","9791191496192","7","29","911","1","0","2024-08-24",
"35","(설민석의)세계사 대모험","설민석,김정욱 [공] 글;박성일 그림","단꿈아이","2024","9791193031247","9791196893101","7","21","909","1","0","2024-08-24",
"36","설민석의 삼국지 대모험","단꿈아이 글;스튜디오 담 그림","Dankkum i(단꿈아이)","2024","9791193031506","9791197226182","7","17","823.5","1","3","2024-08-24",
"37","(빨간내복야코)맞춤법 절대 안 틀리는 책","빨간내복야코 원작;박종은 글;이영아 그림","위즈덤하우스","2024","9791171712328","","7","2","711.25","1","1","2024-08-24",
"38","비밀요원 레너드 과학X파일","김정욱 글;유희석 그림","아울북","2024","9791171176663","","7","3","404","1","0","2024-08-24",
