번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","며느라기 =  ","수신지 글·그림","귤프레스","2020","9791196287801","","","","657.3","1","0","2023-08-16",
"2","(포르쉐 UX 디자이너가 들려주는) 자동차 인터페이스 디자인 =  ","박수레 지음","책만","2022","9791189909390","","","","556.11","1","0","2023-08-16",
"3","아파도 미안하지 않습니다 =  : 어느 페미니스트의 질병관통기","조한진희 지음","동녘","2020","9788972979357","","","","337","1","0","2023-08-16",
"4","목민심서, 다산에게 시대를 묻다  =  ","박석무 지음","현암사","2021","9788932321295","","","","193","1","0","2023-08-16",
"5","누구도 홀로 외롭게 병들지 않도록  =  : 영국 사회를 뒤흔든 프롬 마을의 컴패션 프로젝트","줄리안 아벨","남해의봄날","2021","9791185823737","","","","338.9","1","0","2023-08-16",
"6","노르웨이의 숲 = Norwegian wood ","무라카미 하루키 지음","민음사","2022","9788937434488","","","","833.6","1","3","2023-06-16",
"7","하얼빈  =  ","김훈 지음","문학동네","2022","9788954699914","","","","813.62","1","2","2023-06-16",
"8","산에 오르는 마음  =  : 매혹됨의 역사","로버트 맥팔레인 지음","글항아리","2023","9791169090728","","","","848","1","1","2023-06-16",
"9","익명 작가  =  : 당신의 소설을 훔치겠습니다","알렉산드라 앤드루스 지음","인플루엔셜","2023","9791168340879","","","","843.6","1","7","2023-06-16",
"10","다잉 아이 =  ","히가시노 게이고 지음","재인","2010","9788990982407","","","","833","1","3","2023-06-16",
"11","現代文學賞 수상소설집 =  ","안보윤 [외] 지음","현대문학","2022","9791167901477","","","202368","813.6","1","8","2023-06-16",
"12","K 배터리 레볼루션 = K battery revolution : 향후 3년, 새로운 부의 시장에서 승자가 되는 법","박순혁 지음","지와인","2023","9791191521221","","0","","321.97","1","9","2023-05-11",
"13","대도시의 사랑법 =  : 박상영 연작소설","박상영 지음","창비","2019","9788936437978","","0","","813.7","1","8","2023-05-11",
"14","저주토끼 =  : 정보라 소설집","정보라 지음","래빗홀","2023","9791168340947","","0","","813.7","1","13","2023-05-11",
"15","나의 돈 많은 고등학교 친구 =  : 슈퍼리치와의 대화에서 찾아낸 부자의 길","송희구 지음","서삼독","2023","9791165347161","","0","","325.211","1","14","2023-05-11",
"16","사자마트 =  ","김유 글 소복이 그림","천개의바람","2023","9791165734091","","7","","813.8","1","8","2023-05-11",
"17","네 기분은 어떤 색깔이니? =  : 최숙희 그림책","최숙희 지음","책읽는곰","2023","9791158363925","","7","","813.8","1","7","2023-05-11",
"18","(전세부터 매매까지 알면 알수록 많이 받고 싸게 받는)대출의 마법 =  ","레오(김은진) 지음","다산북스","2022","9791130692944","","0","","327.87","1","3","2023-05-11",
"19","1미터는 없어 =  : 양지예 장편소설","양지예 지음","문학동네","2023","9788954698894","","0","","813.7","1","11","2023-05-11",
"20","바다가 들리는 편의점 =  ","마치다 소노코 지음 황국영 옮김","모모","2023","9791192579504","","0","","833.6","1","11","2023-05-11",
"21","어서 오세요, 휴남동 서점입니다 =  ","황보름 지음","클레이하우스","2022","9791197377143","","0","","813.7","1","17","2023-05-11",
"22","아쿠아리움이 문을 닫으면 =  : 셸비 반 펠트 장편소설","셸비 반 펠트 지음 신솔잎 옮김","미디어창비","2023","9791191248975","","0","","843.6","1","7","2023-05-11",
"23","나는 왜 사랑할수록 불안해질까 =  ","제시카 바움 지음 최다인 옮김","부키","2023","9788960519718","","0","","189.2","1","5","2023-05-11",
"24","여행의 시간 =  : 도시 건축가 김진애의 인생 여행법","김진애 지음","창비","2023","9788936479251","","0","","816.7","1","6","2023-05-11",
"25","요즘 어른들을 위한 최소한의 맞춤법 =  : 읽을수록 교양이 쌓이는 문해력 필수 어휘 70","이주윤 글·그림","빅피시","2023","9791191825848","","0","","711.25","1","7","2023-05-11",
"26","(최준영의 교과서 밖)인물 연구소 =  : 역사를 바꿔 나간 12명의 매혹적인 반전","최준영 지음","EBS BOOKS","2023","9788954772624","","4","","990","1","8","2023-05-11",
"27","(정세현의)통찰 =  : 국제질서에서 시대의 해답을 찾다","정세현 지음","푸른숲","2023","9791156754039","","0","","349.11","1","9","2023-05-11",
"28","우리는 어디서 살아야 하는가 =  : 인문학자가 직접 고른 살기 좋고 사기 좋은 땅","김시덕 지음","콘텐츠그룹 포레스트","2022","9791191347975","","0","","321.329","1","8","2023-05-11",
"29","경기순환 알고 갑시다 =  : 거시경제 흐름을 이해하는 가장 쉬운 방법","김영익 지음","위너스북","2023","9791189352646","","0","","321.8","1","6","2023-05-11",
"30","김경일의 지혜로운 인간생활 =  : 님을 위한 행복한 인간관계 지침서","김경일 지음","저녁달","2022","9791189217136","","0","","189.2","1","10","2023-05-11",
"31","마음의 법칙 =  : 사람의 마음을 사로잡는 51가지 심리학","폴커 키츠 마누엘 투쉬 [공]지음; 김희상 옮김","포레스트","2022","9791191347685","","0","","189","1","8","2023-05-11",
"32","(비전공자도 이해할 수 있는)AI 지식 =  : 챗GPT부터 유튜브 추천, 파파고 번역과 내비게이션까지 일상을 움직이는 인공지능 이해하기","박상길 지음 정진호 그림","반니","2023","9791167960917","","0","","004.73","1","9","2023-05-11",
"33","나의 첫 뇌과학 수업 =  : 문어의 뇌부터 가상현실까지, 우리가 알고 싶은 일상과 상상의 뇌과학","앨리슨 콜드웰 미카 콜드웰 지음; 김아림 옮김","롤러코스터","2023","9791191311211","","0","","511.1813","1","7","2023-05-11",
"34","속마음 마이크 =  ","이미현 글 김미연 그림","잇츠북어린이","2023","9791192182568","","7","","813.8","1","2","2023-05-11",
"35","세계화의 종말과 새로운 시작 =  : 2세기에 걸쳐 진화한 세계화의 과거, 현재, 미래","마크 레빈슨 지음 최준영 옮김","페이지2(page2)","2023","9791169850193","","0","","322.8","1","4","2023-05-11",
"36","부동산 절세 무작정 따라하기 = The cakewalk seies - reducing real estate tax ","박민수(제네시스박) 지음","길벗","2023","9791140703876","","1","","329.432","1","5","2023-05-11",
"37","(정재승의)인간 탐구 보고서 =  ","정재은 글 김현민 그림","아울북","2023","9788950949778","9788950983062","7","11","511.1813","1","4","2023-05-11",
"38","당신이 모르는 민주주의 =  : 자본주의와 자유주의의 불편한 공존","마이클 샌델 지음 이경식 옮김","와이즈베리","2023","9791168415096","","0","","340.22","1","3","2023-05-11",
"39","(설민석의)한국사 대모험 =  ","설민석 스토리박스 [공]글; 정현희 그림","단꿈아이","2023","9791198179913","9791191496192","7","24","911","1","11","2023-05-11",
"40","(설민석의)한국사 대모험 =  ","설민석 스토리박스 [공]글; 정현희 그림","Dankkum i(단꿈아이)","2022","9791191496642","9791191496192","7","23","911","1","11","2023-05-11",
