번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","빛날 수 있을까","이지은 글","샘터(샘터사)","2024","9788946474413","","7","","813.8","1","1","2025-02-04",
"2","봄이 들면","김영화 지음","이야기꽃","2024","9791192102276","","7","","813.8","1","1","2025-02-04",
"3","봄","권지영 지음","가치창조","2024","9788963013435","","7","","813.8","1","1","2025-02-04",
"4","보물찾기","슬로우어스 글·그림","고래뱃속","2024","9791193138342","","7","","813.8","1","1","2025-02-04",
"5","베를 짜다 삶을 엮다","케이티 호우스 글","북뱅크","2023","9788966351800","","7","","843","1","0","2025-02-04",
"6","백호 소녀 은가비 : 이현아 장편동화","이현아 글","별숲","2024","9791192370668","","7","","813.8","1","1","2025-02-04",
"7","백정의 아들, 포와에 가다","남경희 지음","봄볕","2023","9791193150160","","7","","813.8","1","1","2025-02-04",
"8","방학은 재밌다","김영미 글","더공감","2023","9788996682707","","7","","813.8","1","1","2025-02-04",
"9","밤사이 폴짝 : 언주 그림책","언주 지음","한림출판사","2023","9791192697529","","7","","813.8","1","1","2025-02-04",
"10","미래에서 내 짝꿍이 왔다","김보경 글","꿈터","2024","9791167391049","","7","","813.8","1","1","2025-02-04",
"11","문제아","존 조 지음","도토리숲","2023","9791185934945","","7","","843","1","1","2025-02-04",
"12","멸치 다듬기","이상교 글","문학동네","2024","9788954698283","","7","","813.8","1","2","2025-02-04",
"13","머들이네 밭담 이야기","김정희 글","한그루","2024","9791168671638","","7","","813.8","1","1","2025-02-04",
"14","덜덜덜","손영목 글·그림","발견","2023","9791164634132","","7","","813.8","1","1","2025-02-04",
"15","대단한 아침","이영림 쓰고 그림","파란자전거","2024","9791192308456","","7","","813.8","1","1","2025-02-04",
"16","달달달 달려요 : 김도아 그림책","김도아 글·그림","웅진씽크빅","2023","9788901276502","","7","","813.8","1","1","2025-02-04",
"17","다이빙","호아킨 캄프 글·그림","노는날","2023","9791198000088","","7","","873","1","2","2025-02-04",
"18","눈물을 참았습니다 : 이하연 그림책","이하연 지음","책읽는곰","2024","9791158364472","","7","","813.8","1","0","2025-02-04",
"19","눈물 도둑","김태호 글","리틀씨앤톡","2024","9788960981959","","7","","813.8","1","0","2025-02-04",
"20","노란 길을 지켜 줘","박선영 글·그림","노란상상","2023","9791193074091","","7","","813.8","1","1","2025-02-04",
"21","너는 이야기야","밥 라츠카 글","푸른책들","2024","9788961709507","","7","","843","1","1","2025-02-04",
"22","냄새 맡은 값","모서현 글·그림","현북스","2024","9791157414208","","7","","813.8","1","2","2025-02-04",
"23","난 부끄러워하는 게 아니야 그저 조용할 뿐이야 : 우리 모두의 내면에 있는 내향성을 위하여","앤디 파워스 글","상상의힘","2024","9788997381975","","7","","843","1","1","2025-02-04",
"24","나쁜 말 청소부","신채연 지음","꿈터","2023","9791167390905","","7","","813.8","1","1","2025-02-04",
"25","나무야 나무야 : 김지영 그림책","김지영 지음","소원나무","2024","9791193207413","","7","","813.8","1","0","2025-02-04",
"26","나는 흐른다","송미경 글","창비","2023","9788936429072","","7","","813.8","1","0","2025-02-04",
"27","나는 뚱뚱하다","최승한 글","베틀·북","2024","9791193375105","","7","","813.8","1","1","2025-02-04",
"28","나는 꽃이야, 너는? : 제주어 생태 동시 그림책","박희순 글","한그루","2023","9791168671140","","7","","811.8","1","1","2025-02-04",
"29","나 혼자 우주 전쟁","조호재 글","밝은미래","2024","9788965466901","","7","","813.8","1","1","2025-02-04",
"30","꾀병 사용법","정연철 글","길벗어린이","2024","9788955827415","","7","","813.8","1","0","2025-02-04",
"31","꽃주머니","이경순 지음","마루비","2023","9791191917390","","7","","813.8","1","2","2025-02-04",
"32","깡깡깡","이영아 글·그림","빨간콩","2023","9791191864250","","7","","813.8","1","0","2025-02-04",
"33","김장","이향안 글","현암사","2023","9788932376004","","7","","594.51","1","1","2025-02-04",
"34","기린 놀이터에서 만나","문은아 글","한울림","2023","9791163931515","","7","","813.8","1","1","2025-02-04",
"35","기리네 집에 다리가 왔다","강인송 글","노란상상","2024","9791193074374","","7","","813.8","1","1","2025-02-04",
"36","그숲의 마음아이","나은경 쓰고 그림","봄볕","2023","9791193150108","","7","","813.8","1","0","2025-02-04",
"37","구덩이에 빠졌어!","김미애 글","바람의아이들","2023","9791162102053","","7","","813.8","1","1","2025-02-04",
"38","(괴물을 사랑한 아이)윌로딘","캐서린 애플게이트 지음","가람어린이","2023","9791165182618","","7","","843","1","1","2025-02-04",
"39","(고정욱 선생님이 들려주는)빛나는 말, 힘 나는 말","고정욱 글","우리학교","2024","9791167552624","","7","","813.8","1","1","2025-02-04",
"40","겁쟁이 에버그린 : 두근두근 첫 심부름","매튜 코델 글·그림","미세기","2023","9788980715374","","7","","843","1","1","2025-02-04",
"41","거미 엄마","안수민 글","보랏빛소","2024","9791193010761","","7","","813.8","1","1","2025-02-04",
"42","감당 못 할 전학생","심순 글","마음이음","2024","9791192183787","","7","","813.8","1","1","2025-02-04",
"43","2만 원짜리 엄마","조은진 글","북멘토","2024","9788963195797","","7","","813.8","1","1","2025-02-04",
"44","비스킷","김선미 글","위즈덤하우스","2023","9791168127630","","4","","813.7","1","1","2025-02-04",
"45","사람을 목격한 사람 : 고병권 산문집","고병권 지음","사계절(사계절출판사)","2023","9791169811750","","0","","814.7","1","1","2025-02-04",
"46","블러디메리가 없는 세상 : 최제훈 소설집","최제훈 지음","문학과지성사","2024","9788932042480","","0","","813.7","1","1","2025-02-04",
"47","불타는 작품 : 윤고은 장편소설","윤고은 지음","은행나무","2023","9791167373618","","0","","813.7","1","1","2025-02-04",
"48","부스","캐런 조이 파울러 지음","시공사","2023","9791171250332","","0","","843.6","1","0","2025-02-04",
"49","버젓한 아버지에게","후카자와 우시오 지음","전망","2023","9788979736076","","0","","833.6","1","1","2025-02-04",
"50","버리기 전에 잃어버리는","구현우 지음","H(현대문학)","2024","9791167902467","","0","","811.7","1","1","2025-02-04",
"51","밤의 가스파르 : 렘브란트와 칼로 풍의 환상곡","알로이시위스 베르트랑 지음","Workroom(워크룸 프레스)","2023","9791189356989","","0","","861","1","0","2025-02-04",
"52","발끝이 바다에 닿으면 : 하승민 장편소설","하승민 지음","황금가지","2023","9791170522874","","0","","813.7","1","1","2025-02-04",
"53","바이마르에서 무슨 일이 : 안삼환 장편소설","안삼환 지음","솔출판사","2024","9791160202052","","0","","813.7","1","0","2025-02-04",
"54","바깥 일기","아니 에르노 지음","열린책들","2023","9788932923550","","0","","863","1","1","2025-02-04",
"55","미인 1941 : 조두진 장편소설","조두진 지음","이정서재","2024","9791198202499","","0","","813.7","1","0","2025-02-04",
"56","목소리들 : 이승우 소설집","이승우 지음","문학과지성사","2023","9788932042350","","0","","813.7","1","1","2025-02-04",
"57","메마른 삶","그라실리아누 하무스 지음","휴머니스트출판그룹","2024","9791170871347","","0","","879","1","0","2025-02-04",
"58","머문 자리 : 김산아 소설집","김산아 지음","솔출판사","2023","9791160201888","","0","","813.7","1","1","2025-02-04",
"59","말과 말 아닌 것 : 김나영 비평집","김나영 지음","문학과지성사","2023","9788932042206","","0","","810.907","1","0","2025-02-04",
