번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","머들이네 밭담 이야기","김정희 글","한그루","2024","9791168671638","","7","","813.8","1","0","2025-02-27",
"2","후덜덜 식당","강효미 글","지학사","2023","9791162041475","9791162041468","7","1","813.8","1","0","2025-02-26",
"3","달콤한 픽션 : 최지애 소설집","최지애 지음","걷는사람","2023","9791192333991","","0","","813.7","1","0","2025-02-26",
"4","내일의 피크닉 : 강석희 장편소설","강석희 지음","책폴","2024","9791193162217","","4","","813.7","1","0","2025-02-26",
"5","골드러시 : 서수진 소설집","서수진 지음","한겨레엔","2024","9791160407341","","0","","813.7","1","0","2025-02-26",
"6","겨울을 지나가다 : 조해진 소설","조해진 지음","작가정신","2023","9791160263299","","0","","813.7","1","0","2025-02-26",
"7","지구 파리 사라지다","김모나 글·그림","걸음동무","2024","9791193147238","","7","","813.8","1","1","2025-02-25",
"8","초능력","윤여림 글","위즈덤하우스","2023","9791192655475","","7","","813.8","1","1","2025-02-25",
"9","부스","캐런 조이 파울러 지음 서창렬 옮김","시공사","2023","9791171250332","","0","","843.6","1","0","2025-02-25",
"10","얘들아, 같이 놀자 : 전통 놀이 그림책","이규희 글","크레용하우스","2024","9791171210473","","7","","383","1","0","2025-02-22",
"11","자, 맡겨 주세요!","이소영 글·그림","비룡소","2023","9788949102627","","7","","813.8","1","1","2025-02-22",
"12","야구쟁이","이주안 지음","뜨인돌출판","2023","9788958079682","","7","","813.8","1","0","2025-02-22",
"13","안녕! 파라다이스","김경휴 글","길벗어린이","2023","9788955827033","","7","","813.8","1","1","2025-02-22",
"14","방학은 재밌다","김영미 글","더공감","2023","9788996682707","","7","","813.8","1","0","2025-02-22",
"15","김장","이향안 글","현암사","2023","9788932376004","","7","","594.51","1","0","2025-02-22",
"16","부스","캐런 조이 파울러 지음 서창렬 옮김","시공사","2023","9791171250332","","0","","843.6","1","0","2025-02-15",
"17","멸치 다듬기","이상교 글 밤코 그림","문학동네","2024","9788954698283","","7","","813.8","1","1","2025-02-14",
"18","대단한 아침","이영림 쓰고 그림","파란자전거","2024","9791192308456","","7","","813.8","1","1","2025-02-14",
"19","꾀병 사용법","정연철 글 이명하 그림","길벗어린이","2024","9788955827415","","7","","813.8","1","2","2025-02-14",
"20","곤충 호텔","한라경 지음 무운 그림","소원나무","2024","9791193207406","","7","","813.8","1","3","2025-02-14",
"21","요괴 도서관","김해우 글 지연 그림","크레용하우스","2023","9788955472332","","7","","813.8","1","1","2025-02-14",
"22","후덜덜 식당","강효미 글","지학사","2024","9791162041567","9791162041468","7","2","813.8","1","0","2025-02-14",
"23","화성과 나 : 배명훈 연작소설집","배명훈 지음","인플루엔셜","2023","9791168341432","","0","","813.7","1","0","2025-02-14",
"24","혀꽃의 사랑법 : 정일근 시집","정일근 지음","모악","2023","9791188071609","","7","","811.7","1","0","2025-02-14",
"25","헌치백 = Hunchback","이치카와 사오 지음 양윤옥 옮김","허블","2023","9791193078174","","0","","833.6","1","0","2025-02-14",
"26","해부되는 정신의 과잉 : 신종호 시집","신종호 지음","북인","2024","9791165121600","","0","","811.7","1","0","2025-02-14",
"27","핫스팟을 켜라","김영인 글 김상균 그림","책고래","2023","9791165021610","","7","","813.8","1","0","2025-02-14",
"28","(함께 그린 책)너의 모든 순간 : 국내 최초, 57명의 어린이와 부모님, 글로벌 화가가 함께 만든","엄마 아빠, 아이들 [공]저; 김보라 [외] 그림","로이비쥬얼","2023","9791190897907","","7","","813.8","1","0","2025-02-14",
"29","페이스 : 이희영 소설","이희영 지음","H(현대문학)","2024","9791167902504","","0","","813.7","1","1","2025-02-14",
"30","펄프헤드 : 익숙해 보이지만 결코 알지 못했던 미국, 그 반대편의 이야기","존 제러마이아 설리번 지음 고영범 옮김","알마","2023","9791159923852","","0","","848","1","0","2025-02-14",
"31","좋아하기 때문에 : 나태주의 인생수업","나태주 지음","김영사","2024","9788934956938","","0","","814.62","1","1","2025-02-14",
"32","주황 조끼","신소담 글·그림","가문비","2023","9788969025999","","7","","813.8","1","0","2025-02-14",
"33","죽어나간 시간을 위한 애도 : 김홍신 장편소설","김홍신 지음","해냄(해냄출판사)","2023","9791167140708","","0","","813.62","1","0","2025-02-14",
"34","커다란 집에서 : 김선남 그림책","김선남 지음","봄봄(봄봄출판사)","2023","9791168630482","","7","","813.8","1","0","2025-02-14",
"35","코야옹 상담소의 마송이","정현혜 글 심보영 그림","키즈스콜레","2024","9791169942393","","7","","813.8","1","0","2025-02-14",
"36","클림트의 정원으로","김혜진 지음","보림(보림출판사)","2023","9788943315894","","7","","813.8","1","0","2025-02-14",
"37","타국에서의 일 년 : 이창래 장편소설","이창래 지음 강동혁 옮김","RHK(알에이치코리아)","2023","9788925575896","","0","","843.6","1","0","2025-02-14",
"38","태양을 지키는 아이","마야 룬데 지음 리사 아이사토 그림; 손화수 옮김","라임","2023","9791192411729","","0","","859.82","1","0","2025-02-14",
"39","태초의 냄새 : 김지연 소설","김지연 지음","H(현대문학)","2023","9791167902252","","0","","813.7","1","0","2025-02-14",
"40","특별한 날 특별한 동화 : 최도영 창작동화","최도영 지음 김민우 그림","별숲","2023","9791192370521","","7","","813.8","1","0","2025-02-14",
"41","파리가 돌아왔다 : 제18회 지리산문학상 수상시집","박미라 지음","달쏘(달을쏘다)","2023","9791192379074","","0","","811.7","1","0","2025-02-14",
"42","전혀 다른 열두 세계 : 초단편소설집","이산화 지음","?다","2024","9791193240212","","0","","813.7","1","0","2025-02-14",
"43","(전쟁 없는 세상을 꿈꾸는)난민 : 난민을 무조건 받아들이지 말아야 할까?","조혜숙 글 나일영 그림","동아엠앤비","2023","9791163637417","","7","","331.39","1","1","2025-02-14",
"44","장난이 아니야 : 디지털 폭력에 맞서는 다섯 편의 이야기","선자은 [외] 글 구정인 만화; 에이욥프로젝트 그림","키다리","2023","9791157856503","","7","","334","1","0","2025-02-14",
"45","잃어버린 사람 : 김숨 장편소설","김숨 지음","모요사","2023","9788997066841","","0","","813.7","1","0","2025-02-14",
"46","이별 연습","린샤오베이 쓰고 그림 유소영 옮김","섬드레","2024","9791198256751","","0","","823.7","1","0","2025-02-14",
"47","이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들","안예슬 지음","이매진","2023","9791155311424","","0","","337.1","1","1","2025-02-14",
"48","이거 다 내 거야!","클라라 페르손 지음 샬롯 라멜 그림; 최선경 옮김","나무말미","2023","9791191827316","","7","","859.7","1","1","2025-02-14",
"49","의자 = A chair : 이정록 시","이정록 지음 주리 그림; 안선재 번역","풀과바람","2024","9791171470334","","7","","811.8","1","0","2025-02-14",
"50","음악이 흐르면","이이삼 지음","올리","2024","9791165349561","","7","","813.8","1","0","2025-02-14",
"51","유령 아이","손서은 지음","미래M&B","2023","9788983949592","","4","","813.7","1","0","2025-02-14",
"52","유리의 집","신미애 글 이윤희 그림","해와나무","2023","9788962682915","","7","","813.8","1","0","2025-02-14",
"53","우주로 간 고래 : 박지음 장편소설","박지음 지음","교유당","2024","9791193710319","","4","","813.7","1","0","2025-02-14",
"54","우울한 엄마들의 살롱 = The salon for depressed mothers : 수미 에세이","수미 지음","어떤책","2023","9791189385446","","0","","513.852504","1","0","2025-02-14",
"55","우리는 비무장지대에 살아 : 김경구 동시","김경구 지음 가지 그림","뜨인돌어린이","2024","9788958070115","","7","","811.8","1","0","2025-02-14",
"56","우리가 안도하는 사이 : 김이설 장편소설","김이설 지음","자음과모음","2024","9788954450508","","0","","813.7","1","0","2025-02-14",
"57","우리 나가 놀자 : 루시 그림책","루시 지음","미디어창비","2023","9791193022191","","7","","813.8","1","0","2025-02-14",
"58","용오름 : 유종인 시조집","유종인 지음","황금알","2023","9791168150690","","0","","811.36","1","0","2025-02-14",
"59","용사 야노시","페퇴피 샨도르 지음 처코 페렌츠 그림; 한경민 옮김","알마","2024","9791159923968","","0","","839.61","1","0","2025-02-14",
"60","욕지거리 : 야마시타 히로카 장편소설","야마시타 히로카 지음 박우주 옮김","마인드빌딩","2023","9791192886282","","0","","833.6","1","0","2025-02-14",
"61","완벽한 하루 : :박밀 그림책","박밀 글·그림","북극곰","2024","9791165883409","","7","","813.8","1","0","2025-02-14",
"62","올해의 5학년","김담이 글 이주미 그림","키즈스콜레","2023","9791169942010","","7","","813.8","1","0","2025-02-14",
