번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","토마토","이지연","NC문화재단(엔씨문화재단)","2024","9791196368234","","","","813.8","1","0","2024-12-16",
"2","남에게 좋은 사람보다 나에게 좋은 사람","조원희(무채색)","필름","2023","9791193262061","","","","818","1","3","2024-12-16",
"3","프리웨이","드로우앤드류","웅진씽크빅","2024","9788901280783","","","","325.211","1","1","2024-12-16",
"4","돈으로 움직이는 교실 이야기 : 초등학교 교실에서 펼쳐지는 어린이를 위한 경제교육","옥효진 지음","책밥","2022","9791190641654","","0","","320.04","1","2","2024-12-04",
"5","이웃집 빙허각 : 채은하 장편동화","채은하 지음","창비","2024","9788936443405","","7","","813.8","1","0","2024-12-04",
"6","한석준의 대화의 기술 : 어느 누구와도 불편하지 않은 대화법","한석준 지음","인플루엔셜(주)","2024","9791168342354","","0","","802.56","1","4","2024-12-04",
"7","내가 알던 사람 : 알츠하이머의 그늘에서","샌디프 자우하르 지음","글항아리","2024","9791169092890","","0","","513.819","1","1","2024-12-04",
"8","우리 중 그 누구도 돌아오지 못할 것이다 : 아우슈비츠와 그 이후","샤를로트 델보 지음","가망서사","2024","9791197971990","","0","","868","1","1","2024-12-04",
"9","미로장의 참극","요코미조 세이시 지음","시공사","2024","9791171257522","","0","","833.6","1","3","2024-12-04",
"10","정신병을 팝니다 : 신자유주의는 어떻게 우리 마음을 병들게 하는가","제임스 데이비스 지음","사월의책","2024","9791192092423","","0","","334.5","1","2","2024-12-04",
"11","댄 애리얼리 미스빌리프 : 이성적인 사람들이 비이성적인 것을 믿게 되는 이유","댄 에리얼리 지음","청림출판","2024","9788935214624","","0","","320.1","1","2","2024-12-04",
"12","모우어 : 천선란 소설","천선란 지음","문학동네","2024","9791141601447","","0","","813.7","1","3","2024-12-04",
"13","아들 엄마의 말 연습 : 아들의 평생 습관과 공부력을 결정하는 엄마 말의 힘","윤지영 지음","북라이프","2024","9791191013764","","1","","598.132","1","1","2024-12-04",
"14","여자 셋이 모이면 집이 커진다","김은하 지음","서스테인","2024","9791193388143","","0","","818","1","1","2024-12-04",
"15","젠슨 황, 게임의 룰 : 엔비디아가 바꿔버린 AI시대의 성공 원칙","장상용 지음","해냄","2024","9791167141026","","0","","325.24","1","3","2024-12-04",
"16","어두울 때에야 보이는 것들이 있습니다 : 슈테판 츠바이크의 마지막 수업","슈테판 츠바이크 지음","다산초당","2024","9791130657462","","0","","854","1","3","2024-12-04",
"17","두 아이를 키우며 쇼핑몰을 합니다 : 워킹맘 창업 고군분투기","이경미 지음","시프","2024","9791192421391","","1","","325.21","1","3","2024-12-04",
"18","미군 점령 4년사 : 친일파는 어떻게 기득권이 되었나","송광성 지음","나무이야기","2024","9788990976147","","0","","911.07","1","2","2024-12-04",
"19","탄성 인간","알리아 보질로바 지음","FIKA(피카)","2024","9791193866207","","1","","325.211","1","3","2024-12-04",
"20","라이프 임파서블","매트 헤이그 지음","인플루엔셜(주)","2024","9791168342477","","0","","843.6","1","3","2024-12-04",
"21","어떤 새의 이름을 아는 슬픈 너","문보영 지음","위즈덤하우스","2024","9791171717217","","0","","813.7","1","1","2024-12-04",
"22","(주식 시장의 비밀)머니 사이클","안동훈 지음","두드림미디어","2024","9791193210765","","0","","327.856","1","2","2024-12-04",
"23","주식투자는 사이클이다 : 39세 월급쟁이 부자가 20년 투자 노하우로 정립한 시장의 속성","제이투 지음","여의도책방","2024","9791198944214","","0","","327.856","1","2","2024-12-04",
"24","딱 1억만 모읍시다 : 돈쭐남의 목돈 마련 챌린지","김경필 지음","경이로움","2024","9791192445892","","0","","327.04","1","4","2024-12-04",
"25","페리퍼럴","윌리엄 깁슨 지음","허블","2024","9791193078341","9791193078334","0","1","843.6","1","4","2024-12-04",
"26","페리퍼럴","윌리엄 깁슨 지음","허블","2024","9791193078358","9791193078334","0","2","843.6","1","2","2024-12-04",
"27","죽은 자의 블랙박스를 요청합니다 : 세웅 장편소설","세웅 지음","팩토리나인","2024","9791194246374","","0","","813.7","1","3","2024-12-04",
"28","달리는 강하다 : 김청귤 장편소설","김청귤 지음","인플루엔셜","2024","9791168342200","","4","","813.7","1","3","2024-12-04",
