번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","한 사람의 노래가 온 거리에 노래를  : 창비시선 500 특별시선집","신경림","창비","2024","9788936403010","","0","","811.7","1","0","2025-02-06",
"2","멱라강에 던져 보낸 시 한 편  : 노년의 눈으로 다시 읽는 당시","김근 지음","삼인","2024","9788964362686","","0","","821.409","1","0","2025-02-06",
"3","해는 요즘도 아침에 뜨겠죠  : 박승민 시집","박승민","창비","2024","9788936425081","","0","","811.7","1","0","2025-02-06",
"4","소멸하는 밤","정현우","H(현대문학)","2022","9791167901828","","0","","811.7","1","0","2025-02-06",
"5","납치된 서유럽  : 혹은 중앙 유럽의 비극","밀란 쿤데라","민음사","2022","9788937429897","","0","","864","1","0","2025-02-06",
"6","콜리플라워  : 이소연 시집","이소연","창비","2024","9788936425036","","0","","811.7","1","0","2025-02-06",
"7","코화이  : 김용주 시집","김용주","빗방울화석","2024","9791189522049","","0","","811.7","1","0","2025-02-06",
"8","노인류  : 하종오 시집","하종오","도서출판b","2024","9791192986234","","0","","811.62","1","0","2025-02-06",
"9","아름다움을 버리고 돌아와 나는 울었다  : 최영미 시집","최영미","이미출판사","2024","9791198181312","","0","","811.62","1","0","2025-02-06",
"10","꽃은 피어서 말하고 잎은 지면서 말한다","고찬규","걷는사람","2023","9791193412022","","0","","811.7","1","0","2025-02-06",
"11","태양시집","루미 지음","문학동네","2023","9788954699990","","0","","892.65","1","0","2025-02-06",
"12","그때가 배고프지 않은 지금이었으면  : 김용택 시집","김용택","마음산책","2024","9788960908895","","0","","811.62","1","0","2025-02-06",
"13","인칭이 점점 두려워질 무렵  : 정수자 시집","정수자","문학의전당","2024","9791158966386","","0","","811.7","1","0","2025-02-06",
"14","하늘빛 사랑  : 이만형 시집","이만형","연인M&B","2022","9788962535419","","0","","811.7","1","0","2025-02-06",
"15","어쩌다 시간 여행  : 박남희 시집","박남희","여우난골","2023","9791192651170","","0","","811.7","1","0","2025-02-06",
"16","바닥의 소리로 여기까지","김학중","걷는사람","2022","9791192333236","","0","","811.7","1","0","2025-02-06",
"17","먼 여로  : 이태수 시집","이태수","문학세계사","2024","9791193001455","","0","","811.62","1","0","2025-02-06",
"18","생각이 어둑어둑해질 때까지  : 김환식 시집","김환식","황금알","2022","9791168150157","","0","","811.62","1","0","2025-02-06",
"19","여백의 사랑  : 조경석 시집","조경석","문학의전당","2024","9791158966416","","0","","811.7","1","0","2025-02-06",
"20","니들의 시간  : 김해자 시집","김해자","창비","2023","9788936424947","","0","","811.7","1","0","2025-02-06",
"21","남겨두고 싶은 순간들  : 박성우 시집","박성우","창비","2024","9788936425074","","0","","811.7","1","0","2025-02-05",
"22","공검 & 굴원  : 정숙자 시집","정숙자","미네르바","2022","9791189298395","","0","","811.62","1","0","2025-02-05",
"23","모든 슬픔이 사라진다  : 미선나무에서 아카시아까지 시가 된 꽃과 나무","김승희","아티초크","2024","9791186643167","","0","","808.1","1","0","2025-02-05",
"24","뒷모습에 잠깐 빠졌을 뿐입니다  : 한혜영 시조집","한혜영","문학의전당","2024","9791158966393","","0","","811.36","1","0","2025-02-05",
"25","옥중화","이해조 지음","지만지한국문학","2024","9791128829208","","0","","813.61","1","0","2025-02-05",
"26","온갖 열망이 온갖 실수가","권민경 지음","문학동네","2024","9791141600013","","0","","811.6","1","0","2025-02-05",
"27","달하  : 유안진 시집","유안진","문학동네","2023","9788954697811","","0","","811.62","1","0","2025-02-05",
"28","따뜻한 이불을 덮고 주무세요  : 코로나와 함께한 시절","김남극","걷는사람","2022","9791192333137","","0","","810.82","1","0","2025-02-05",
"29","이팝나무 시인  : 이성룡 시집","이성룡","혜지원","2023","9791167640581","","0","","811.7","1","0","2025-02-05",
"30","한밤의 트램펄린  : 남길순 시집","남길순","창비","2024","9788936424978","","0","","811.7","1","0","2025-02-05",
"31","달의 웃음은 뒷면에 있었네  : 신장련 시집","신장련","우인북스","2023","9791186563342","","0","","811.7","1","0","2025-02-05",
"32","너라는 계절이 내게 왔다  : 소강석 시집","소강석","샘터(샘터사)","2023","9788946422612","","0","","811.7","1","0","2025-02-05",
"33","멧새가 와서 사랑처럼 울었다  : 조성림 시집","조성림","달아실(달아실출판사)","2022","9791191668438","","0","","811.7","1","0","2025-02-05",
