번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","수학자 도감","혼마루 료 지음;김소영 옮김","뜨인돌(뜨인돌출판)","2023","9788958079736","","0","","410","1","0","2024-12-05",
"2","너에게 하고픈 말","권지영 시;이선주 그림","가치창조","2023","9788963012674","","4","","811.7","1","2","2024-12-05",
"3","헬로 뷰티풀","앤 나폴리타노 지음;허진 옮김","복복서가","2024","9791191114560","","0","","843","1","1","2024-12-05",
"4","절대 지켜, 1.5도!","기후 아저씨 지음","멀리깊이","2024","9791191439496","","7","","539.9","1","0","2024-12-05",
"5","왜 글은 쓴다고 해가지고","백가흠 지음","난다","2024","9791194171003","","0","","814.7","1","0","2024-12-05",
"6","잠시 작게 고백하는 사람","황인찬 지음","난다","2024","9791191859980","","0","","810.81","1","2","2024-12-05",
"7","충분히 사랑받을 만해","임서경 글;시은경 그림","가치창조","2024","9788963013565","","7","","813.8","1","0","2024-12-05",
"8","천자문 익히며 따라쓰기","나무의꿈 편집부 지음","나무의꿈","2024","9791192923048","","1","","710","1","0","2024-12-05",
"9","최선의 사랑","정예인 지음","글항아리","2024","9791169092562","","0","","818","1","0","2024-12-05",
"10","단식 존엄사","비류잉 지음;채안나 옮김","글항아리","2024","9791169092753","","0","","510.19","1","0","2024-12-05",
"11","밤그네","하명희 지음","교유당","2024","9791193710470","","0","","813.7","1","0","2024-12-05",
"12","(코믹 메이플스토리) 수학도둑","송도수 글;서정 엔터테인먼트 그림","서울문화사","2024","9791169239073","","6","100","410","1","1","2024-11-28",
"13","(코믹 메이플스토리) 수학도둑","송도수 글;서정 엔터테인먼트 그림","서울문화사","2024","9791169238915","","6","99","410","1","1","2024-11-28",
"14","(코믹 메이플스토리) 수학도둑","송도수 글;서정 엔터테인먼트 그림","서울문화사","2023","9791169238489","","6","97","410","1","0","2024-11-28",
"15","(코믹 메이플스토리) 수학도둑","송도수 글;서정 엔터테인먼트 그림","서울문화사","2023","9791169238182","","6","96","410","1","0","2024-11-28",
"16","(코믹 메이플스토리) 수학도둑","송도수 글;서정 엔터테인먼트 그림","서울문화사","2024","9791169238694","","6","98","410","1","0","2024-11-28",
"17","여왕의 식탁","홍수정 지음;김지희 일러스트;스토리쿡 요리연구소","앱스톤","2018","9788995829974","","1","","594.5","1","0","2024-11-28",
"18","(디 에센셜) 한강","한강 지음","문학동네","2023","9788954693462","","0","","813.7","1","1","2024-11-28",
"19","(코믹 메이플스토리) 수학도둑","송도수 글;서정 엔터테인먼트 그림","서울문화사","2023","9791169238014","","6","95","410","1","0","2024-11-28",
"20","생각의 각도","이민규 지음","끌리는책","2021","9791187059653","","0","","189.1","1","1","2024-11-28",
"21","올빼미 심야 식당","에릭 펜 글;데나 세이퍼링 그림;정회성 옮김","비룡소","2024","9788949114477","","7","","843","1","0","2024-11-28",
"22","왜왜왜 동아리","진형민 지음;이윤희 그림","창비","2024","9788936443399","","7","339","808.9","1","1","2024-11-28",
"23","소설 쓰고 앉아 있네","문지혁 지음","해냄(해냄출판사)","2024","9791167140883","","0","","802.3","1","0","2024-11-28",
"24","우리는 결국 지구를 위한 답을 찾을 것이다","김백민 지음","백도씨","2021","9788968333217","","0","","453.9","1","0","2024-11-28",
"25","알쏭달쏭 정리 정돈","타나카 타츠야 지음;고향옥 옮김","비룡소","2024","9788949114460","","7","","833.8","1","0","2024-11-28",
"26","2024 2025 프리미어리그 가이드북","히든풋볼 지음","브레인스토어","2024","9791169780384","","0","","695.4","1","0","2024-11-28",
"27","박자혜","유은실 글;서영아 그림","비룡소","2024","9788949129501","","7","","990.8","1","0","2024-11-28",
"28","태어나는 말들","조소연 지음","북하우스 퍼블리셔스","2024","9791164052615","","3","","818","1","0","2024-11-28",
"29","수도사의 두건","엘리스 피터스 지음;현준만 옮김","북하우스 퍼블리셔스","2024","9791164052578","","0","3","843","1","0","2024-11-28",
"30","시체 한 구가 더 있다","엘리스 피터스 지음;김훈 옮김","북하우스 퍼블리셔스","2024","9791164052561","","0","2","843","1","0","2024-11-28",
"31","유골에 대한 기이한 취향","엘리스 피터스 지음;최인석 옮김","북하우스 퍼블리셔스","2024","9791164052554","","0","1","843","1","0","2024-11-28",
"32","코코코코 놀이 그림책","김숙 글;석철원 그림","북뱅크","2024","9788966352050","","7","","375.1","1","0","2024-11-28",
"33","운하 옆 오래된 집","토머스 하딩 글;브리타 테켄트럽 그림;남은주 옮김","북뱅크","2024","9788966352036","","7","","853","1","0","2024-11-28",
"34","바다가 준 선물","다카오 유코 글·그림;김숙 옮김","북뱅크","2024","9788966352043","","7","","833.8","1","0","2024-11-28",
"35","여름 방학을 달려라, 부르릉 소파!","박규빈 지음","북멘토","2024","9788963195940","","7","","813.8","1","0","2024-11-28",
"36","세상에 하나뿐인 여름 식물도감","한정영 글;김민우 그림","북멘토","2024","9788963195964","","7","","480.25","1","0","2024-11-28",
