번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","바다","강효선 지음","향","2023","9791191886245","","7","","813.8","1","0","2025-02-16",
"2","음악이 흐르면","이이삼 지음","올리","2024","9791165349561","","0","","813.8","1","0","2025-02-13",
"3","안녕의 발견 : 김종광 소설","김종광 지음","마이디어북스","2024","9791193289228","","0","","813.7","1","1","2025-02-13",
"4","아돌프 / 세실 : 뱅자맹 콩스탕 소설","뱅자맹 콩스탕 지음 이수진 옮김","미행","2023","9791192004181","","0","","863","1","1","2025-02-13",
"5","서자","바이셴융 지음 김택규 옮김","글항아리","2023","9791169091435","","0","","823.7","1","1","2025-02-13",
"6","비스킷","김선미 글","위즈덤하우스","2023","9791168127630","","4","","813.7","1","1","2025-02-13",
"7","블러디메리가 없는 세상 : 최제훈 소설집","최제훈 지음","문학과지성사","2024","9788932042480","","0","","813.7","1","0","2025-02-13",
"8","불타는 작품 : 윤고은 장편소설","윤고은 지음","은행나무","2023","9791167373618","","0","","813.7","1","1","2025-02-13",
"9","버젓한 아버지에게","후카자와 우시오 지음 이재봉 옮김","전망","2023","9788979736076","","0","","833.6","1","0","2025-02-13",
"10","바이마르에서 무슨 일이 : 안삼환 장편소설","안삼환 지음","솔출판사","2024","9791160202052","","0","","813.7","1","0","2025-02-13",
"11","바깥 일기","아니 에르노 지음 정혜용 옮김","열린책들","2023","9788932923550","","0","","863","1","1","2025-02-13",
"12","미인 1941 : 조두진 장편소설","조두진 지음","이정서재","2024","9791198202499","","0","","813.7","1","1","2025-02-13",
"13","목소리들 : 이승우 소설집","이승우 지음","문학과지성사","2023","9788932042350","","0","","813.62","1","0","2025-02-13",
"14","메마른 삶","그라실리아누 하무스 지음 임소라 옮김","휴머니스트출판그룹","2024","9791170871347","","0","","879","1","1","2025-02-13",
"15","머문 자리 : 김산아 소설집","김산아 지음","솔출판사","2023","9791160201888","","0","","813.7","1","1","2025-02-13",
"16","머나먼 별들 : 레 민 퀘 단편선","레 민 퀘 지음 최하나 옮김","글누림(글누림출판사)","2023","9788963271934","","0","","839.82","1","1","2025-02-13",
"17","말 없는 자들의 목소리 : 황모과 장편소설","황모과 지음","인플루엔셜","2023","9791168341197","","0","","813.7","1","1","2025-02-13",
"18","레드빈 케이크 : 양선규 연작소설","양선규 지음","강","2024","9788982183416","","0","","813.7","1","1","2025-02-13",
"19","돌봄살인","사에 슈이치 지음 안지나 옮김","이음","2023","9791190944892","","0","","833.6","1","1","2025-02-13",
"20","덕률풍 : 덕을 펼치는 바람","이승민 지음","미래M&B","2023","9788983949561","","4","","813.7","1","1","2025-02-13",
"21","다꾸의 날","문이소 지음","씨드북","2023","9791160515657","","4","","813.7","1","0","2025-02-13",
"22","노숙 인생","실뱅 테송 지음 백선희 옮김","뮤진트리","2024","9791161111254","","0","","863","1","1","2025-02-13",
"23","네가 있는 요일","박소영 지음","창비","2023","9788936457211","","4","","813.7","1","1","2025-02-13",
"24","너의 목소리를 보여 줘","앤 클레어 르조트 지음 조응주 옮김","휴머니스트출판그룹","2023","9791170870425","","4","1","843.6","1","1","2025-02-13",
"25","내일의 피크닉 : 강석희 장편소설","강석희 지음","책폴","2024","9791193162217","","4","","813.7","1","1","2025-02-13",
"26","나, 나, 마들렌 : 박서련 소설집","박서련 지음","한겨레엔 ","2023","9791160405385","","0","","813.7","1","0","2025-02-13",
"27","김 대리가 죽었대 : 서경희 장편소설","서경희 지음","넥서스","2023","9791166836107","","0","","813.7","1","1","2025-02-13",
"28","결 = Grain : 배매아 첫 소설집","배매아 지음","고유명사","2024","9791197727375","","0","","813.7","1","1","2025-02-13",
"29","겨울을 지나가다 : 조해진 소설","조해진 지음","작가정신","2023","9791160263299","","0","","813.7","1","1","2025-02-13",
"30","거기, 있나요? : 이필원 소설","이필원 지음 조승연 그림","낮은산","2023","9791155251683","","4","","813.7","1","1","2025-02-13",
"31","가장 짧은 낮 : 츠쯔젠 대표 소설선","츠쯔? 지음 김태성 옮김","글항아리","2024","9791169091961","","0","","823.7","1","0","2025-02-13",
"32","41년 만에 배달된 편지","박기석 지음 정미영 옮김","품","2023","9791196238773","","0","","833.6","1","1","2025-02-13",
"33","4 3 2 1 : 폴 오스터 장편소설","폴 오스터 지음 김현우 옮김","열린책들","2023","9788932923741","9788932923727","0","2","843.6","1","0","2025-02-13",
"34","4 3 2 1 : 폴 오스터 장편소설","폴 오스터 지음 김현우 옮김","열린책들","2023","9788932923734","9788932923727","0","1","843.6","1","0","2025-02-13",
"35","39kg","선자은 지음","킨더랜드","2024","9791170820475","","4","","813.7","1","0","2025-02-13",
"36","우리 나가 놀자 : 루시 그림책","루시 지음","미디어창비","2023","9791193022191","","7","","813.8","1","1","2025-02-13",
"37","음악이 흐르면","이이삼 지음","올리","2024","9791165349561","","7","","813.8","1","0","2025-02-13",
"38","완벽한 하루 : 박밀 그림책","박밀 글·그림","북극곰","2024","9791165883409","","7","","813.8","1","0","2025-02-13",
"39","올해의 선생님, 라일라 그리어","안드레아 비티 글 데이비드 로버츠 그림; 김혜진 옮김","천개의바람","2024","9791165734732","","7","","843","1","1","2025-02-13",
"40","엄마는 구름 같아요","하이거우팡둥 글 린샤오베이 그림; 허동호 옮김","두마리토끼책","2024","9791197303463","","7","","823.7","1","1","2025-02-13",
"41","얼굴 없는 도둑과 슈퍼히어로","온잘리 Q. 라우프 글 피파 커닉 그림; 정회성 옮김","다봄","2023","9791192148595","","7","","843","1","0","2025-02-13",
