번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","1%를 읽는 힘 :세상의 정보를 연결해서 기회를 포작하는 생각 혁신 ","메르 지음","토네이도미디어그룹","2023","9791158512767","","0","","327.8","1","1","2024-08-27",
"2","무영이가 사라졌다 ","임수경 글;김혜원 그림","뜨인돌출판","2023","9788958079712","","7","","813.8","1","0","2024-08-27",
"3","그섬에 사람이 살았네","심규상 집필","","2024","9791198082947","","0","","911.78","1","0","2024-08-27",
"4","고기 말고 그럼 뭘 먹으라고? :육식과 채식 ","정윤선 글;홍지혜 그림","우리학교","2023","9791167552174","","7","","194","1","0","2024-08-27",
"5","구술사로 만나는 당진포구:송악편","집필: 우현선;기획: 당진시청 문화관광과","","2023","9791198082923","","0","4","911.78","1","0","2024-08-27",
"6","마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ","강용수 지음","유노콘텐츠그룹","2023","9791192300818","","0","","165.47","1","1","2024-08-27",
"7","웨이스트 랜드:쓰레기는 우리보다 오래 살아남는다","올리버 프랭클린-월리스 지음;김문주 옮김","RHK(알에이치코리아)","2024","9788925575162","","0","","539.9","1","0","2024-08-24",
"8","원통 안의 소녀:김초엽 소설","김초엽 지음;근하 그림","창비","2019","9788936459024","","4","15","808.3","1","0","2024-08-24",
"9","우리의 관계를 돌봄이라 부를 때:영 케어러와 홈 닥터, 각자도생 사회에서 상호의존의 세계를 상상하다","조기현,홍종원 [공] 지음","한겨레엔","2024","9791160407358","","0","","338.1","1","0","2024-08-24",
"10","온전히 평등하고 지극히 차별적인:몸을 위한 변론","김원영 지음","문학동네","2024","9791141606459","","0","","338.304","1","0","2024-08-24",
"11","오키나와 스파이:김숨 장편소설","김숨 지음","모요사","2024","9788997066940","","0","","813.7","1","1","2024-08-24",
"12","오무라이스 잼잼:경이로운 일상음식 이야기","조경규 지음","송송책방","2018","9791196202378","9791196202309","0","9","594.04","1","0","2024-08-24",
"13","오무라이스잼잼:경이로운 일상음식 이야기","조경규 지음","송송책방","2020","9791190569095","9791190569088","0","8","594.04","1","1","2024-08-24",
