번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","(흔한남매) 이무기","흔한남매 원작;이종혁 글;도니패밀리 그림","미래엔","2024","9791168418516","","7","2","810","1","0","2025-02-21",
"2","(흔한남매) 이무기","흔한남매 원작;이종혁 글;도니패밀리 그림","미래엔","2023","9791168415577","","7","1","810","1","0","2025-02-21",
"3","서바이벌 뚜식탈출","뚜식이 원작;서후 글;김기수 그림","서울문화사","2024","9791169233514","","7","1","372","1","0","2025-02-21",
"4","꿈꾸는 도서관","나카지마 교코 지음;안은미 옮김","정은문고","2025","9791185153728","","0","","833","1","1","2025-02-21",
"5","소년과 두더지와 여우와 말","찰리 맥커시 글·그림;이진경 옮김","상상의 힘","2020","9788997381678","","0","","843","1","1","2025-02-21",
"6","시간의 계곡","스콧 알렉산더 하워드 지음;김보람 옮김","다산책방","2025","9791130662596","","0","","843","1","1","2025-02-21",
"7","지적 대화를 위한 넓고 얕은 지식 무한","채사장 지음","웨일북","2024","9791192097978","","0","","001","1","2","2025-02-21",
"8","나라를 위해서 일한다는 거짓말","노한동 지음","사이드웨이","2024","9791191998375","","0","","350","1","1","2025-02-21",
"9","생각을 깨워 봐","산제이 마노하 글;게리 볼러 그림;김선영 옮김","푸른숲","2024","9791172545130","","7","","511","1","0","2025-02-21",
"10","너는 너라서 멋진거야!","이봄메,김미경 [공]글;신영희 그림","개똥이","2024","9791191988123","","7","","813","1","0","2025-02-21",
"11","뇌, 마음을 부탁해!","산제이 마노하 글;게리 볼러 그림;김선영 옮김","푸른숲","2024","9791172545123","","7","","511","1","0","2025-02-21",
"12","뇌 맘대로 움직여?","산제이 마노하 지음;게리 볼러 그림;김선영 옮김","푸른숲주니어","2024","9791172545147","","7","","511","1","0","2025-02-21",
"13","뇌가 뭔데?","산제이 마노하 글;게리 볼러 그림;김선영 옮김","푸른숲","2024","9791172545116","","7","","511","1","0","2025-02-21",
"14","마이볼","유준재 글·그림","문학동네","2011","9788954615969","","7","","813","1","0","2025-02-21",
"15","(정브르의) 아마존 일기","정브로 지음","서울문화사","2023","9791169237468","","7","","491","1","0","2025-02-21",
"16","팜","홍지연 글;지문 그림","길벗","2024","9791140708147","9791140703135","7","2","410","1","0","2025-02-21",
"17","희망","양귀자 지음","쓰다","2020","9788998441081","","0","","813","1","0","2025-02-21",
"18","아무튼, 사투리","다드래기 지음","위고","2024","9791193044209","","0","","818","1","0","2025-02-21",
"19","팜 수학편","홍지연 글;지문 그림","길벗스쿨","2025","9791164068616","","7","3","410","1","0","2025-02-21",
"20","팜","홍지연 글;지문 그림","길벗","2023","9791140703142","9791140703135","7","1","410","1","0","2025-02-21",
"21","엘비스 의상실의 수상한 손님들","최향랑 쓰고 그리고 만들고 찍음","사계절","2018","9791160943719","","0","","813","1","0","2025-02-21",
"22","아무튼, 라디오","이애월 지음","제철소","2024","9791188343744","","0","","818","1","0","2025-02-21",
"23","더 디너","헤르만 코흐 지음;강명순 옮김","민음사","2024","9788937445903","","0","","859","1","0","2025-02-21",
"24","삶에 시가 없다면 너무 외롭지 않을까요","장석주 지음","콘텐츠그룹 포레스트","2024","9791193506776","","0","","808","1","0","2025-02-21",
"25","때로는 간절함조차 아플 때가 있었다","강지영 지음","빅피시","2024","9791193128909","","0","","818","1","0","2025-02-21",
"26","녹을 때까지 기다려","오한기 외 지음","김영사","2024","9788934911159","","0","","813","1","0","2025-02-21",
"27","때로는 워밍업 없이 가보고 싶어","김수지 지음","서사원","2024","9791168223035","","0","","818","1","0","2025-02-21",
"28","(세상이 멸망하고) 소심한 사람들만 남았다","김이화 저","교보문고","2023","9791170610120","","0","","813","1","0","2025-02-21",
