번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","고래 그림 일기  : 신소영 장편동화","신소영 지음","보림(보림출판사)","2020","9788943313715","","7","","813.8","1","2","2025-02-07",
"2","추석 전날 달밤에","천미진 글","키즈엠","2019","9791164630288","","7","","813.8","1","1","2025-02-07",
"3","마지막 이기적 결정","원혜영 지음","영림카디널","2024","9788984012677","","0","","591.9","1","1","2025-02-07",
"4","모두 다 씨앗","종종 글·그림","모알보알","2024","9791198571359","","","","813.8","1","2","2025-02-04",
"5","바다가 보이는 이발소","오기와라 히로시 지음","알에이치코리아","2017","9788925561523","","0","","833.6","1","1","2025-02-04",
"6","똑똑한데 가끔 뭘 몰라  : 정원 만화","정원 지음","M창비(미디어창비)","2023","9791193022344","","0","","818","1","2","2025-02-04",
"7","옷산 수색대","김두경 글","비룡소","2024","9788949124865","","7","","813.8","1","2","2025-02-04",
"8","차별 없는 말 사전 : 어떻게 말해야 할까?","아웃박스 글","가나문화콘텐츠","2022","9791168090392","","7","","714","1","1","2024-12-27",
"9","여덟 살입니다 : 장세정 동시집","장세정 지음","현북스","2022","9791157413430","","7","","811.8","1","1","2024-12-27",
"10","배추쌈","이은경 지음","보림출판사","2022","9788943314583","","7","","375.1","1","1","2024-12-27",
"11","선생님, 평화통일이 뭐예요?","김병연","철수와영희","2022","9791188215713","","7","","340.911","1","1","2024-12-27",
"12","궁금해요! 위생학 : 초등학생을 위한 유쾌한 교양 수업","미야자키 미사코 감수","블루무스어린이","2022","9791191426373","","7","","517","1","1","2024-12-27",
"13","(한번 배우면 평생 가는) 어린이 자존감","거센 카우프만","현대지성","2022","9791139706635","","7","","189.1","1","1","2024-12-27",
"14","리보와 앤 : 아무도 오지 않는 도서관의 두 로봇","어윤정 글","문학동네","2023","9788954690690","","7","","813.8","1","0","2024-12-27",
"15","(어린이를 위한) 철학의 쓸모 : 당당한 질문으로 단단한 나를 만드는 86가지 생각 도구","오가와 히토시 글","길벗스쿨","2023","9791164064861","","7","","104","1","2","2024-12-27",
"16","홍길동이 나타났다 : 요괴 추적자 편","박혜선 글","온서재","2022","9791197574139","","7","","813.8","1","1","2024-12-27",
"17","아빠, 냉이꽃 예쁘지요","김옥애 글","좋은꿈","2022","9791191984231","","7","","813.8","1","1","2024-12-27",
"18","수평선 먼 섬으로 나비가 팔랑팔랑 : 전병조 동시조","전병호 지음","도토리숲","2022","9791185934822","","7","","811.3","1","0","2024-12-27",
"19","속상해","이혜리 글·그림","보림출판사","2022","9788943314866","","7","","375.1","1","1","2024-12-27",
"20","꽃들도 뽀뽀를 할까?","세바스티앵 페레즈 글","M창비(미디어창비)","2022","9791191248609","","7","","481","1","1","2024-12-27",
"21","(미래를 살아갈 어린이들이 꼭 알아야 할) 민주주의와 선거","천윤정 글","팜파스","2023","9791170265665","","7","","344","1","2","2024-12-27",
"22","너의 이름은 해리","이사람 글","푸른사상(푸른사상사)","2022","9791130819297","","7","","813.8","1","1","2024-12-27",
"23","그 오월의 딸기","윤미경 글","다림","2023","9788961773119","","7","","813.8","1","1","2024-12-27",
"24","풀종다리의 노래","배익천 지음","키큰도토리","2023","9791192762036","","7","","813.8","1","1","2024-12-27",
"25","나는 까마귀","미우 글·그림","노란상상","2023","9791191667837","","7","","813.8","1","1","2024-12-27",
"26","아기 거북","표영민 글","걸음동무","2022","9791190898652","","7","","813.8","1","1","2024-12-27",
"27","수박 행성","상자 글","이론과실천","2022","9788931341430","","7","","813.8","1","1","2024-12-27",
"28","엄마 사랑","신영란 글","에이치제이스마트에듀","2022","9791191494143","","7","","813.8","1","3","2024-12-27",
"29","4월 그믐날 밤","방정환 글","길벗어린이","2022","9788955826456","","7","","813.8","1","1","2024-12-27",
"30","피아노 시작하는 법 : 새로운 나를 발견하는 기쁨","임정연 지음","유유","2023","9791167700605","","0","","676.204","1","0","2024-12-27",
"31","시선 과잉 사회 : 관계의 단절과 진실을 왜곡하는 초연결 시대의 역설","정인규 지음","시크릿하우스","2022","9791192312088","","0","","100","1","0","2024-12-27",
"32","다이브 = Dive : 단요 장편소설","단요 지음","창비","2022","9788936438777","","0","","813.7","1","1","2024-12-27",
"33","내향인을 위한 심리학 수업","최재훈 지음","미래의창","2022","9791192519234","","0","","186.5","1","0","2024-12-27",
"34","그러면 치킨도 안 먹어요?","이현우 [지음]","걷는사람","2022","9791192333175","","0","","517.54804","1","1","2024-12-27",
"35","그 남자의 목욕 : 유두진 장편소설","유두진 지음","Pazit(파지트)","2022","9791192381251","","0","","813.7","1","0","2024-12-27",
"36","온난한 날들","윤이안 지음","안전가옥","2022","9791191193572","","0","","813.7","1","2","2024-12-27",
"37","슬픈 열대, 공생을 향한 야생의 모험","오선민 지음","북드라망","2022","9791192128153","","0","","389","1","0","2024-12-27",
"38","푸른 숨 : 오미경 장편소설","오미경 지음","특별한서재","2023","9791167030702","","4","","813.7","1","1","2024-12-27",
"39","첫사랑 49.5℃","금희 [외]지음","창비교육","2022","9791165701383","","4","","813.7","1","1","2024-12-27",
"40","내가 이유인 것 같아서 : 이우성 시집","이우성 지음","문학과지성사","2022","9788932040646","","0","","811.7","1","1","2024-12-27",
"41","나의 작은 철학 : 일상의 틈을 우아하게 건너는 법","장춘익 지음","곰출판","2023","9791189327217","","0","","104","1","0","2024-12-27",
"42","인생에 거친 파도가 몰아칠 때 : 고통의 한복판에서 행복을 선택하는 법","러스 해리스 지음","이퍼블릭","2022","9791166378775","","0","","189.2","1","0","2024-12-27",
"43","우리술 익스프레스 : 와인, 위스키, 사케 못지않은 K-술의 매력","탁재형 지음","한국교육방송공사","2022","9788954799843","","1","","573.41","1","0","2024-12-27",
"44","이것이 최초의 블랙홀 사진입니다 : 천문학의 역사와 블랙홀 관측 여정","하이노 팔케","에코리브르","2023","9788962632460","","0","","443.8875","1","0","2024-12-27",
"45","채용 대전환, 학벌 없는 시대가 온다 : 7인의 전문가가 들려주는 채용과 교육에 관한 놀라운 이야기","손주은 [외]지음","우리학교","2022","9791167550842","","0","","325.33","1","0","2024-12-27",
"46","진짜 챗GPT 활용법 : 엑셀 활용법부터 블로그 자동화, 유튜브 콘텐츠 생성, 미드저니와 ChatGPT API 사용법까지","김준성","위키북스","2023","9791158394264","","1","","004.73","1","0","2024-12-27",
"47","지혜 피라미드 : 정보 과잉 시대의 그리스도인을 위한 지혜의 토대 쌓기","브렛 맥크라켄 지음","한국성서유니온선교회","2022","9788932550688","","0","","234.8","1","0","2024-12-27",
"48","통일을 앞당겨 주소서 : 그리스도 안에서 통일되게 하려 하심이라","강석진 [외]지음","씽크스마트","2023","9788965293378","","0","","235.4","1","0","2024-12-27",
"49","코로나가 아이들에게 남긴 상처들","김현수 지음","해냄(해냄출판사)","2022","9791167140470","","0","","370.4","1","0","2024-12-27",
"50","(내 아이를 위한)주의력 수업 : 공부 습관과 생활 태도를 좌우하는 결정적 비밀","이임숙","카시오페아(카시오페아 출판사)","2023","9791168271012","","0","","598.1","1","1","2024-12-27",
"51","오늘도 시작하지 못하는 당신을 위해 : 잘하고 싶어 시작을 망설이는 세상의 모든 완벽주의자들을 위한 진짜 완벽주의 활용법","윤닥 지음","한빛비즈","2022","9791157845941","","0","","189","1","1","2024-12-27",
"52","에덴 컬처 : 우리 세대가 갈망하는 새로운 내일","요하네스 하르틀 지음","나무생각","2022","9791162182079","","0","","330.4","1","0","2024-12-27",
"53","열다섯, 심리학이 필요한 순간","김기환 지음","토토북","2022","9788964964804","","4","","180","1","1","2024-12-27",
"54","역사가 묻고 화학이 답하다 : 시간과 경계를 넘나드는 종횡무진 화학 잡담","장홍제 지음","지상의 책","2022","9791197637940","","0","","430","1","1","2024-12-27",
"55","우리가 몰랐던 정치 이야기 : 진보와 보수의 탄생, 역사, 미래","하승우 지음","나무야","2022","9791188717279","","4","","340.4","1","0","2024-12-27",
"56","욕 대신 말","도원영 [외]지음","마리북스","2022","9791189943844","","4","","713","1","1","2024-12-27",
"57","(만들면서 배우는)인공지능 엔트리와 40개의 작품들 : 모델학습, 오디오감지, 비디오감지, 음성인식, 데이터분석, 사고력학습","김수연 [외]지음","앤써북","2022","9791197948909","","1","","004.73","1","0","2024-12-27",
"58","우리가 바꿀 수 있어요 : 세상을 바꾸는 예술의 힘","디 니콜스 지음","놀이터","2022","9791189436315","","4","","342.1","1","0","2024-12-27",
"59","살고 싶다면 웨이트 : 가장 과학적인 근력 예찬론","테스토스테론","현익출판","2022","9791192143385","","0","","593.5","1","0","2024-12-24",
"60","사유의 충돌과 융합 : 동아시아를 만든 세 가지 생각","최광식 지음","21세기북스(북이십일 21세기북스)","2023","9788950910938","","0","","150","1","0","2024-12-24",
"61","빗소리 듣기 모임","이종수 지음","걷는사람","2022","9791192333250","","0","","811.7","1","1","2024-12-24",
"62","시험능력주의 : 한국형 능력주의는 어떻게 불평등을 강화하는가","김동춘 지음","창비","2022","9788936479114","","0","","330.911","1","0","2024-12-24",
"63","알바니아 의자","정정화 지음","걷는사람","2022","9791192333267","","0","","811.7","1","1","2024-12-24",
"64","아픔에도 우선순위가 있나요? : 열세 가지 질문으로 만나는 의료윤리","김준혁 지음","휴머니스트출판그룹","2022","9791160806892","","4","","510.19","1","0","2024-12-24",
"65","신경다양성 교실 : 단 한 명도 놓치지 않는 통합교육의 시작","김명희 지음","새로온봄","2022","9791197458569","","0","","379","1","0","2024-12-24",
"66","신과 악마 사이","헬무트 틸리케 지음","복 있는 사람","2022","9791191987584","","0","","231","1","0","2024-12-24",
"67","언어로 본 한국인의 문화유전자","조현용 지음","夏雨","2023","9791167480996","","0","","710.13","1","1","2024-12-24",
"68","악마는 꼴찌부터 잡아먹는다 : 구글러가 들려주는 알기 쉬운 경제학 이야기","박진서 지음","혜다","2022","9791191183207","","0","","320.04","1","1","2024-12-24",
