번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","상처 주는 말 하는 친구에게 똑똑하게 말하는 법:화내지 않고, 참지 않고, 울지 않는 마법의 표현 59","김윤나 글;유영근 그림","북라이프","2023","9791191013498","","7","","199.4","1","1","2024-12-19",
"2","(읽으면서 바로 써먹는)어린이 세계사 퀴즈","한날 글·그림","파란정원","2023","9791158682712","","7","2","909","1","3","2024-12-19",
"3","(읽으면서 바로 써먹는)어린이 세계사 퀴즈","한날 글·그림","파란정원","2023","9791158682637","","7","1","909","1","2","2024-12-19",
"4","(읽으면서 바로 써먹는)어린이 맞춤법 행성","한날 글·그림","파란정원","2023","9791158682538","","7","","711.25","1","1","2024-12-19",
"5","슈뻘맨의 숨은 과학 찾기:엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작;서후 글;류수형 그림","미래엔아이세움","2024","9791173111686","9791168415164","7","5","404","1","4","2024-12-19",
"6","슈뻘맨의 숨은 과학 찾기:엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작;서후 글;류수형 그림","미래엔","2024","9791168418462","9791168415164","7","4","404","1","4","2024-12-19",
"7","고양이 해결사 깜냥:홍민정 동화","홍민정 지음;김재희 그림","창비","2024","9788936448752","9788936447700","7","7","813.8","1","3","2024-12-19",
"8","고양이 해결사 깜냥:홍민정 동화","홍민정 지음;김재희 그림","창비","2023","9788936448523","9788936447700","7","6","813.8","1","2","2024-12-19",
"9","고양이 해결사 깜냥:홍민정 동화","홍민정 지음;김재희 그림","창비","2023","9788936448370","9788936447700","7","5","813.8","1","1","2024-12-19",
"10","고양이 해결사 깜냥:홍민정 동화","홍민정 지음;김재희 그림","창비","2022","9788936448134","9788936447700","7","4","813.8","1","2","2024-12-19",
"11","고양이 해결사 깜냥:홍민정 동화","홍민정 지음;김재희 그림","창비","2021","9788936448011","9788936447700","7","3","813.8","1","0","2024-12-19",
"12","고양이 해결사 깜냥:홍민정 동화","홍민정 지음;김재희 그림","창비","2020","9788936447861","9788936447700","7","2","813.8","1","1","2024-12-19",
"13","고양이 해결사 깜냥:홍민정 동화","홍민정 지음;김재희 그림","창비","2020","9788936447694","9788936447700","7","1","813.8","1","0","2024-12-19",
"14","패스 패스 태클","임화선 글;최지영 그림","좋은책어린이","2024","9788928318599","","7","","813.8","1","0","2024-12-19",
"15","무적 판박이가 나타났다","정희용 글;이갑규 그림","좋은책어린이","2024","9788928318629","","7","","813.8","1","0","2024-12-19",
"16","꼴찌 반장, 나유찬","임화선 글;영민 그림","좋은책어린이","2024","9788928340835","","7","","813.8","1","0","2024-12-19",
"17","오늘부터 쌩쌩이 마스터","김다해 글;지문 그림","좋은책어린이","2024","9788928340842","","7","","813.8","1","0","2024-12-19",
"18","방울방울 목욕탕:마음의 때 밀어 드립니다","차율이 글;손수정 그림","비룡소","2024","9788949146171","","7","","813.8","1","0","2024-12-19",
"19","(설민석의)세계사 대모험","설민석,김정욱 [공]글;박성일 그림","단꿈아이","2022","9791191496888","9791196893101","7","15","909","1","0","2024-12-19",
"20","(설민석의)세계사 대모험","설민석,김정욱 [공]글;박성일 그림","단꿈아이","2022","9791191496703","9791196893101","7","14","909","1","0","2024-12-19",
"21","(설민석의)세계사 대모험","설민석,김정욱 [공]글;박성일 그림","단꿈아이","2022","9791191496000","9791196893101","7","13","909","1","0","2024-12-19",
"22","(설민석의)한국사 대모험","설민석,스토리박스 [공]글;정현희 그림","Dankkum i(단꿈아이)","2024","9791193031681","9791191496192","7","30","911","1","0","2024-12-19",
"23","웃소=Wootso","웃소 원작;한바리 글;박강호 그림","미래엔","2024","9791168419223","9791164137985","7","10","813.8","1","4","2024-12-19",
