번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","(정재승의) 인류 탐험 보고서","차유진;정재승 [공]글 ;김현민 그림","아울북","2024","9788950996598","","7","10","471","1","0","2025-02-28",
"2","변호사 어벤저스 4 - 형법, 진짜 범인을 찾아라!","고희정 (지은이), 최미란 (그림), 신주영 (감수)","가나출판사","2024","9791168091252","","","","","1","0","2025-02-28",
"3","정재승의 인간 탐구 보고서 16 : 사랑은 마음을 휘젓는 요술 지팡이 - 어린이를 위한 뇌과학 프로젝트","정재은 (글), 김현민 (그림), 정재승 (기획), 이고은 (자문)","아울북","2025","9788950983482","","","","","1","0","2025-02-28",
"4","대단한 날개","이현영 (지은이)","북극곰","2025","9791165884277","","","","","1","0","2025-02-28",
"5","까치 복덕방","국지승 (지은이)","창비","2025","9788936429416","","","","","1","0","2025-02-28",
"6","절교의 여왕 - K-초등 리얼리티 스토리","박현숙 (지은이), 모차 (그림)","다산어린이","2025","9791130662114","","","","","1","0","2025-02-28",
"7","고양만두","상자 (지은이), 박소영 (그림)","노는날","2025","9791198833235","","","","","1","0","2025-02-28",
"8","무무의 마법 케이크 가게","콘도우 아키 (지은이), 황진희 (옮긴이)","한빛에듀","2024","9791169213127","","","","","1","0","2025-02-28",
"9","구름 아이들","김나연","강가","2024","9791194138037","","","","","1","0","2025-02-28",
"10","불꽃 수영 대회","신현경 (지은이), 노예지 (그림)","북스그라운드","2025","9791168342491","","","","","1","0","2025-02-28",
"11","동백 호빵","백유연","웅진주니어","2024","9788901290706","","","","","1","0","2025-02-28",
"12","우리과자 왕중왕","안선선","달리","2025","9788959985067","","","","","1","0","2025-02-28",
"13","초등학생을 위한 시사용어 - 아니까 뉴스보고 대화까지 된다!","키즈 트리비아 클럽 (지은이), 도리바타케 하루노부 (그림), 이미주 (옮긴이)","주니북스","2023","9791197618574","","","","","1","0","2025-02-28",
"14","요정 개, 올빼미 머리 그리고 나","M. T. 앤더슨,송섬별","책읽는곰","2024","9791158365103","","","","","1","0","2025-02-28",
"15","빨간내복야코  안 읽으면 완전 위험한 과학책 2: 집 나가면 위기","박종은","위즈덤하우스","2025","9791171713417","","","","","1","0","2025-02-28",
"16","빨간내복야코 안 읽으면 완전 위험한 과학책 1: 일상이 위기","박종은","위즈덤하우스","2024","9791171712793","","","","","1","0","2025-02-28",
"17","내가 나라서 정말 좋아","김지훤","길벗","2025","9791140714292","","","","","1","0","2025-02-28",
"18","청개구리의 노래","봉봉","미운오리새끼","2024","9791165183073","","","","","1","0","2025-02-28",
"19","전사들 5부 종족의 탄생 5: 분열된 숲","에린 헌터,케이트 캐리,체리스 볼드리,빅토리아 홈즈,서현정","가람어린이","2024","9791165183622","","","","","1","0","2025-02-28",
"20","검의 계승자2: 빼앗긴 이름","미쿠니 쓰즈코,고향옥","가람어린이","2025","9791165183547","","","","","1","0","2025-02-28",
"21","검의 계승자 1: 이계에서 온 소년","미쿠니 쓰즈코,고향옥","가람어린이","2024","9791165183493","","","","","1","0","2025-02-28",
"22","동물 목욕탕","봉봉","미운오리새끼","2025","9791165183363","","","","","1","0","2025-02-28",
"23","공주들의 약속: 무도회와 보석의 약속","폴라 해리슨,봉봉","가람어린이","2025","9791165183530","","","","","1","0","2025-02-28",
"24","우드워커1","카챠 브란디스,윤영철","가람어린이","2024","9791165183554","","","","","1","0","2025-02-28",
"25","작은 문이 생겼어","교호(강윤경)","풍요하리","2024","9791197248849","","","","","1","0","2025-02-28",
"26","천하무적 개냥이 수사대 시즌2 5: 블랙 사냥단 검거 대작전","이승민","위즈덤하우스","2025","9791171713165","","","","","1","0","2025-02-28",
"27","벌거벗은 한국사 9: 식민지가 된 조선과 친일파 이완용","이선영","아울북","2025","9788950943073","","","","","1","0","2025-02-28",
"28","야물야물 촉감놀이","조희연","호호집","2024","9791198768605","","","","","1","0","2025-02-28",
"29","기분이 어때?","조희연","호호집","2024","9791198768612","","","","","1","0","2025-02-28",
"30","어딨지 눈코입","조희연","호호집","2024","9791198768629","","","","","1","0","2025-02-28",
"31","에그박사 14 - 자연 생물 관찰 만화","에그박사 (원작), 박송이, 풀잎친구 (글), 홍종현 (그림), 주세종 (감수)","미래엔아이세움","2024","9791173119262","","","","","1","0","2025-02-28",
"32","비밀요원 레너드 22 : 유령 기차에서 탈출하라! - 라인프렌즈 미스터리 동화","박설연 (지은이), 김덕영 (그림)","아울북","2025","9791171179794","","","","","1","0","2025-02-28",
"33","내 인생 최악의 일주일 3 : 수요일","이바 아모리스, 맷 코스그로브 (지은이), 김영진 (옮긴이)","비룡소","2025","9788949144535","","","","","1","0","2025-02-28",
"34","채사장의 지대넓얕 12 : 철학의 시작 - 지적 대화를 위한 넓고 얕은 지식","채사장, 마케마케 (지은이), 정용환 (그림)","돌핀북","2025","9791193487068","","","","","1","0","2025-02-28",
"35","위풍당당 여우 꼬리 6 - 검은 꼬리의 마법","손원평 (지은이), 만물상 (그림)","창비","2025","9788936448844","","","","","1","0","2025-02-28",
"36","Oxford Reading Tree","written by Roderick Hunt;illustrated by Alex Brychta","OxfordUniversityPress","2011","9780198483922","","","27","747","1","2","2024-12-18",
"37","Oxford Reading Tree:Stage 2","series created by Roderick Hunt;Alex Brychta","OUPOxford","2011","9780198481492","","","24","747","1","5","2024-12-18",
"38","Oxford Reading Tree","Roderick Hunt 지음;Alex Brychta 그림","Oxford University Press","2011","9780198481379","","","23","747","1","3","2024-12-18",
"39","Oxford Reading Tree","series created by Roderick Hunt;Alex Brychta","OxfordUniversityPress","2013","9780198481225","","","21","747","1","2","2024-12-18",
"40","Oxford Reading Tree","series created by Roderick Hunt;Alex Brychta","OUPOxford","2013","9780198481300","","","22","747","1","2","2024-12-18",
"41","Oxford Reading Tree","series created by Roderick Hunt;Alex Brychta","OUPOxford","2013","9780198481621","","","26","747","1","3","2024-12-18",
"42","Oxford Reading Tree","series created by Roderick Hunt;Alex Brychta","OxfordUniversityPress","2013","9780198481553","","","25","747","1","4","2024-12-18",
"43","Oxford Reading Tree:Stage 1","Roderick Hunt 지음;Alex Brychta 그림","OxfordUniversityPress","2011","9780198481096","","","122","747","1","1","2024-12-18",
"44","Bluey","by Bluey","Penguin Random House Children's UK","2024","9780241575079","","","5","843","1","3","2024-12-18",
"45","Bluey","by Bluey","Penguin Random House Children's UK","2024","9780241605240","","","4","843","1","3","2024-12-18",
"46","Bluey","by Bluey","Penguin Random House Children's UK","2024","9780241663653","","9","3","843","1","4","2024-12-18",
"47","Bluey","by Bluey","Penguin Random House Children's UK","2024","9780241673386","","","2","843","1","1","2024-12-18",
"48","Bluey","by Bluey","Penguin Random House Children's UK","2024","9780241604885","","9","1","843","1","4","2024-12-18",
"49","Who Will U Be?","Hische, Jessica ; Hische, Jessica","Penguin Workshop","2023","9780593385029","","","","843","1","2","2024-12-18",
"50","Who Ate Steve?","Susannah Lloyd","Nosy Crow Ltd","2024","9781839946226","","","","843","1","1","2024-12-18",
"51","When You Were New","Harris, Jennifer ; Wen, Lenny","HarperCollins Publishers Inc","2023","9780063137196","","","","843","1","0","2024-12-18",
"52","What Does Brown Mean to You?","Grady, Ron ; Grady, Ron","Nancy Paulsen Books                     ","2023","9780593462881","","","","843","1","0","2024-12-18",
"53","Wei Skates on","Chen, Nathan ; Nam, Lorraine","HarperCollins Publishers Inc","2023","9780063282827","","","","843","1","1","2024-12-18",
"54","We Are a Song","Tu, Lorian ; Tu, Lorian","HarperCollins","2023","9780062970541","","","","843","1","1","2024-12-18",
"55","Through the North Pole Snow (Paperback)  ","Polly Faber","Walker Books Ltd","2024","9781529513417","","","","843","1","1","2024-12-18",
"56","The Velveteen Rabbit: Or, How Toys Become Real","Daily, Don ; Williams, Margery","Running Press Kids","2024","9780762486663","","","","843","1","2","2024-12-18",
"57","The Night Before Christmas : Everyone's Favourite Christmas Classic","The Night Before Christmas","Pan MacMillan","2024","9781035029167","","","","843","1","3","2024-12-18",
"58","The Fairest in the Land: A Picture Book","Newman, Lesl?a ; Heinsz, Joshua","Abrams Books for Young Readers","2023","9781419757099","","","","843","1","1","2024-12-18",
"59","The Dolls' House","Rosie","OUP Oxford","2024","9780192783905","","","","843","1","1","2024-12-18",
"60","The Busy Beaver","니콜라스 올드랜드","Pikku Publishing","2024","9781738485925","","","","843","1","1","2024-12-18",
"61","The Bridges","Tom Percival","Simon & Schuster","2024","9781398515086","","","","843","1","1","2024-12-18",
"62","The Boy Who Tried to Shrink His Name","Parappukkaran, Sandhya ; Pereira, Michelle","Abrams Books for Young Readers","2023","9781419761584","","","","843","1","1","2024-12-18",
"63","The Blue Umbrella ","에밀리 앤 데이비슨","Andersen Press Ltd","2023","9781839132520","","","","843","1","1","2024-12-18",
"64","Thank You, Teacher!","Berry, Cate ; Varon, Sara","HarperCollins Publishers Inc","2023","9780062491572","","","","843","1","2","2024-12-18",
"65","Spark, Shine, Glow!: What a Light Show","Schaefer, Lola M ; Yang, James","Greenwillow Books","2023","9780062457110","","","","843","1","1","2024-12-18",
"66","Some Bears","Christian Foley","Caboodle Books Limited","2024","9781919614885","","","","843","1","1","2024-12-18",
