번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","하와이 대저택 100일 미라클","하와이 대저택 지음","메가스터디","2024","9791129711519","","1","","325.211","1","1","2025-01-02",
"2","신의 죽음 : 김진명 장편소설","김진명 지음","새움(새움출판사)","2024","9791170800477","","0","","813.6","1","3","2025-01-02",
"3","마음이 부자인 아이는 어떻게 성장하는가 : 행복할 줄 아는 아이로 키우는 정서 육아법","박소영 지음","북크레용","2024","9791193937228","","0","","598.1","1","2","2025-01-02",
"4","그리다가, 뭉클 : 이기주 에세이","이기주 지음","터닝페이지","2024","9791193650110","","0","","818","1","3","2025-01-02",
"5","오늘, 너에게 : 최숙희 그림책","최숙희 지음","웅진주니어","2024","9788901287263","","7","","813.8","1","0","2025-01-02",
"6","술꾼들의 모국어 : 권여선 산문","권여선 지음","한겨레엔","2024","9791172131265","","0","","814.7","1","1","2025-01-02",
"7","나는 여전히 걸어가는 중입니다 : 김소영 에세이","김소영 지음","드림셀러","2024","9791192788272","","0","","818","1","0","2025-01-02",
"8","흔한남매","흔한남매 원작 백난도 글; 유난희 그림","미래엔","2024","9791168418844","9791164131679","7","17","813.8","1","2","2025-01-02",
"9","대온실 수리 보고서 : 김금희 장편소설","김금희 지음","창비","2024","9788936439651","","0","","813.7","1","0","2025-01-02",
"10","아무도 상처받지 않는 가족의 대화법","하야시 겐타로 지음 민혜진 옮김","포텐업","2024","9791198476494","","0","","189.24","1","1","2025-01-02",
"11","어제저녁","백희나 글·그림","스토리보울","2024","9791198807205","","7","","813.8","1","3","2024-12-03",
"12","두 점 이야기","요안나 올레흐 글 에드가르 봉크 그림; 이지원 옮김","사계절출판사","2024","9791169812122","","7","","342.1","1","0","2024-12-03",
"13","휘슬이 두 번 울릴 때까지 : 이명애 그림책","이명애 지음","사계절출판사","2024","9791169812146","","7","","342.1","1","0","2024-12-03",
"14","우당탕탕 야옹이","구도 노리코 글·그림 윤수정 옮김","책읽는곰","2024","9791158364687","","7","11","833.8","1","5","2024-12-03",
"15","똥 나오기 100초 전!","김고은 글·그림","제제의숲","2024","9791158733056","","7","","813.8","1","3","2024-12-03",
"16","날개는 없지만","백유연 글·그림","길벗어린이","2024","9788955827729","","7","","813.8","1","1","2024-12-03",
"17","언제나 다정 죽집","우신영 글 서영 그림","비룡소","2024","9788949122076","","7","","808.9","1","1","2024-12-03",
"18","설민석의 한국사 대모험","설민석 스토리박스 [공]글; 정현희 그림","Dankkum i(단꿈아이)","2024","9791193031681","9791191496192","7","30","911","1","4","2024-12-03",
"19","너에게 넘어가","강인송 지음 오묘 그림","창비","2024","9788936443375","","7","","808.9","1","0","2024-12-03",
"20","에그박사 : 자연 생물 관찰 만화","에그박사 원작 박송이 글; 홍종현 그림","미래엔","2024","9791168418783","9791164135721","7","13","472","1","3","2024-12-03",
