번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","하루 한 장 삶에 새기는 논어 : 인생이라는 길에서 논어를 펼치다","이지연","보아스","2024","9791189347246","","","","148.3","1","0","2025-02-21",
"2","세 개의 적 : 박해울 장편소설","박해울","다산책방","2025","9791130662954","","","","813.7","1","1","2025-02-13",
"3","야만 대륙: 제2차 세계대전 직후의 유럽 잔혹사","로, 키스","글항아리","2025","9791169093231","","","","920","1","1","2025-02-13",
"4","집에 가고 싶어!","윌슨, 재클린","시공사","2022","9791169250092","","","","843.5","1","1","2025-02-13",
"5","나의 폴라 일지: 김금희 산문","김금희","한겨레출판","2025","9791172132057","","","","814.7","1","0","2025-02-10",
"6","(정영진의) 시대유감: 나는 고발한다, 당신의 뻔한 생각을","정영진","21세기북스","2025","9791171179565","","","","330","1","1","2025-02-10",
"7","엄마의 얼굴: 김재원 힐링 에세이","김재원","달먹는토끼","2025","9791198935038","","","","814.7","1","1","2025-02-06",
"8","(총무원장 진우스님의) 신심명 강설","진우스님","불교신문사","2024","9791189147303","","","","228.7","1","1","2025-01-31",
"9","나라를 위해서 일한다는 거짓말","노한동","사이드웨이","2024","9791191998375","","","","350.31","1","0","2025-01-24",
"10","설자은, 불꽃을 쫓다: 정세랑 장편소설","정세랑","문학동네","2025","9791141601638","","","2","813.7","1","0","2025-01-18",
"11","대통령의 독서: 한 권의 책이 리더의 말과 글이 되기까지","신동호","한겨레출판","2024","9791172131951","","","","818","1","2","2025-01-16",
"12","귀족 시대: 로맨스 판타지에는 없는 유럽의 실제 역사","임승휘","타인의사유","2024","9791142302084","","","","920","1","2","2025-01-10",
"13","생각하는 즐거움: 소설","박두진문학관","","2024","9791193446157","","","2024","813.7","1","0","2025-01-08",
"14","생각하는 즐거움: 시","박두진문학관","","2024","9791193446140","","","2024","811.7","1","0","2025-01-08",
"15","생각하는 즐거움: 아동문학","박두진문학관","","2024","9791193446164","","","2024","813.8","1","0","2025-01-08",
"16","다시, 리더란 무엇인가: 하버드 케네디스쿨 역사 리더십 수업","템킨, 모식","어크로스","2024","9791167741783","","","","325.24","1","2","2025-01-08",
