번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","수학공부, 순서를 바꾸면 빨라집니다","민경우","Marypoppins Books(메리포핀스북스)","2024","9791194347026","","","","410.7","1","1","2025-02-06",
"2","(10대와 통하는) 건축과 인권 이야기","서윤영","철수와영희","2022","9791188215799","","","","540","1","0","2025-02-06",
"3","과학을 달리는 십대 : 생명과학","박재용","우리학교","2023","9791167550798","","","","404","1","0","2025-02-06",
"4","가출 모범생 천동기 : 박상기 장편소설","박상기","넥서스","2022","9791166833984","","","","813.7","1","0","2025-02-06",
"5","나는 윤리적 최소주의자, 지구에 삽니다 : 제로 웨이스트로 먹고 살기","소일","우리학교","2023","9791167550774","","","","539.98","1","0","2025-02-06",
"6","세상의 모든 답은 우주에 있다","사지 하루오","공명","2022","9788997870608","","","","443.1","1","0","2025-02-06",
"7","마법천자문.65, 믿음과 의리를 저버리다! 배신","알에스미디어","아울북","2024","9791171179138","","","65","711.47","1","0","2025-02-06",
"8","고려는 물러서지 않는다!","김진","","2022","9791165732790","","","12","911","1","0","2025-02-06",
"9","정조가 쓴 편지","신동경","","2022","9791165732851","","","18","911","1","0","2025-02-06",
"10","아무나 의자","고야마 요시코","북뱅크","2025","9788966352142","","","","833.8","1","1","2025-01-31",
"11","이 책은 돈에 관한 동기부여 이야기 : 돈에 대해 어떠한 노력도 하지 않는 너에게","곽지현","생각지도","2024","9791187875437","","","","327.04","1","0","2025-01-22",
"12","출근하기 싫은 날엔 카프카를 읽는다 : 예술가들의 흑역사에서 발견한 자기긍정 인생론","김남금","앤의서재","2024","9791190710893","","","","199.1","1","1","2025-01-16",
"13","부모를 미워해도 괜찮습니다: 살면서 한 번은 읽어야 할 부모와의 관계 정리 수업","가와시마 다카아키","포레스트북스","2024","9791193506929","","","","189.24","1","1","2025-01-15",
"14","목이 말라요!","제자크, 요안나","안녕로빈","2025","9791191942316","","","","539.17","1","1","2025-01-15",
"15","(똑똑해지는) 최고로 어려운 숨은그림찾기.2","하이라이츠 편집부","아라미","2025","9791188510825","","","2","691","1","1","2025-01-15",
"16","루시와 친구들: 겨울 이야기","뒤비크, 마리안느","고래뱃속","2025","9791193138564","","","","863","1","1","2025-01-15",
"17","(글쓰기 대통령)강원국의 초등학생 글쓰기.1, 글쓰기 어렵지 않아요","강원국","메디치주니어","2024","9791157063833","","","1","802","1","1","2025-01-15",
"18","왔구마 고구마구마.7, 마음도 튼튼 몸도 튼튼","전재운","킨더랜드","2024","9791170820734","9791192759388","","7","813.8","1","0","2025-01-15",
"19","우리 사회를 망가뜨리는 것들: 우리 사회를 망가뜨리는 것들","조현수","리마인드","2025","9791198830869","","","","334.2","1","0","2025-01-15",
"20","법에 숨겨진 이야기: 법의 주인은 나야 나!","양지열","내일을여는책","2024","9788977468788","","","","360","1","0","2025-01-15",
"21","행복한 동화책 수업 99: 교실 풍경을 바꾸는 동화책 한 권의 힘","김성규","우리학교","2024","9791167552976","","","","375.2","1","0","2025-01-14",
"22","진짜 집: 이은겸 장편동화","이은겸","감꽃별","2024","9791198983411","","","","813.8","1","1","2025-01-14",
"23","월 50만원으로 8억 만드는 배당머신","평온","이나우스북스","2024","9791160643251","","","","327.856","1","0","2025-01-14",
