번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","호호호호박","한연진 지음","사계절출판사","2024","9791169813334","","7","","813.8","1","1","2024-12-23",
"2","말더듬이 악어의 멋진 연설","파프리지오 실레이 지음 음경훈 옮김","아름다운사람들","2024","9788965138082","","7","","883","1","1","2024-12-23",
"3","아무도 본 적 없는 자이언트 젤리피시를 찾아서","클로이 새비지 지음 이현아 옮김","주니어RHK(주니어랜덤)","2024","9788925574929","","7","","843","1","1","2024-12-23",
"4","콩떡콩떡 줄넘기 : 이현영 그림책","이현영 지음","토끼섬","2024","9791198578099","","7","","813.8","1","1","2024-12-23",
"5","우리를 기다려 주세요 : 느린학습자 친구의 부탁","이상미 글 정희린 그림","옐로스톤","2024","9791187079552","","7","","813.8","1","0","2024-12-23",
"6","쓱쓱 싹싹 : 은희 그림책","은희 지음","북극곰","2024","9791165883959","","7","","813.8","1","0","2024-12-23",
"7","포슬포슬 알밤 운동회","양승희 지음","달리","2024","9788959984886","","7","","813.8","1","1","2024-12-23",
"8","우리 함께 겨울을 보내면 어떨까?","앙드레 프리장 지음 제님 옮김","목요일","2024","9791198660930","","7","","863","1","0","2024-12-23",
"9","자신만만한 음치 거북이들","아구스틴 산체스 아길라르 글 이은경 그림; 김정하 옮김","인플루엔셜","2024","9791168342279","","7","","873","1","1","2024-12-23",
"10","호박 목욕탕","시바타 케이코 지음 황진희 옮김","위즈덤하우스","2023","9791192655468","","7","","833.8","1","1","2024-12-23",
"11","(반짝반짝 행복한)산타의 크리스마스 선물","샘 태플린 글 로이진 해히시 그림; 송지혜 옮김","어스본코리아","2024","8809264182260","","","","375.1","1","1","2024-12-23",
"12","또 울어? : 박미경 그림책","박미경 지음","느림보","2024","9788958762560","","7","","813.8","1","1","2024-12-23",
"13","몹시 큰 초대장","박서영 지음","알에이치코리아","2024","9788925574691","","7","","813.8","1","1","2024-12-23",
"14","올빼미의 크리스마스 여행","데이지 버드 글 안나 피롤리 그림; 김여진 옮김","토끼섬","2023","9791198128881","","7","","843","1","1","2024-12-23",
"15","고양이 별 : 너의 발자국을 따라, 우리 다신 만날 날까지","곽수진 지음","언제나북스","2024","9791193736142","","7","","813.8","1","0","2024-12-23",
"16","안아 보자 : 공은혜 그림책","공은혜 지음","길벗어린이","2024","9788955827774","","7","","813.8","1","1","2024-12-23",
"17","마음먹은 고양이","강경호 글 다나 그림","나무말미","2024","9791191827484","","7","","813.8","1","1","2024-12-23",
"18","슈퍼 똥쟁이들 : 알면 알수록 신기한 동물들의 똥 이야기","앨릭스 울프 글 이소벨 런디 그림; 심연희 옮김","FIKAJUNIOR(피카주니어)","2024","9791192869247","","7","","472","1","2","2024-12-23",
"19","똥도 물이라고?","베르타 파라모 지음 문주선 옮김","이마주","2024","9791189044794","","7","","511.38","1","1","2024-12-23",
"20","(어린이를 위한)역사의 쓸모 : 인생 편","최태성 글 김옥재 그림","다산북스","2024","9791130651699","9791130645360","7","4","911","1","2","2024-12-23",
"21","(어린이를 위한)역사의 쓸모 : 인생 편","최태성 글 김옥재 그림","다산북스","2023","9791130649450","9791130645360","7","3","911","1","1","2024-12-23",
"22","(어린이를 위한)역사의 쓸모 : 인생 편","최태성 글 김옥재 그림","다산북스","2023","9791130646893","9791130645360","7","2","911","1","2","2024-12-23",
"23","모아 모아 석주명","정하섭 글 류주영 그림","우주나무","2024","9791193152195","","7","","998.4","1","0","2024-12-23",
"24","안녕, 나는 오사카야","이나영 지음","상상력놀이터","2024","9791188408245","","4","","981.32802","1","1","2024-12-23",
"25","박자혜 : 우리나라의 독립에 삶을 바친 간호사","유은실 글 서영아 그림","비룡소","2024","9788949129501","","7","","990.8","1","0","2024-12-23",
"26","고양이 해결사 깜냥 : 홍민정 동화","홍민정 지음 김재희 그림","창비","2024","9788936448752","9788936447700","7","7","813.8","1","3","2024-12-23",
"27","혼자 학교 가는 날","한유진 지음 김고은 그림","나무의말","2024","9791198860507","","7","","813.8","1","1","2024-12-23",
"28","알고 보니 우리 동네 택배 아저씨는 산타클로스","조민석 지음","북트리","2024","9791164671526","","7","","813.8","1","0","2024-12-23",
"29","고양이를 처방해 드립니다 : 이시다 쇼 장편소설","이시다 쇼 지음 박정임 옮김","다산북스","2024","9791130648422","","0","","833.6","1","1","2024-12-23",
"30","휘뚜루는 콩닥콩닥","윤정 글 유영근 그림","책읽는곰","2024","9791158364847","","7","","813.8","1","3","2024-12-23",
"31","날마다 산타 : 오원량 동시집","오원량 지음","브로콜리숲","2024","9791189847838","","7","","811.8","1","1","2024-12-23",
"32","자개장 할머니 : 안효림 그림책","안효림 지음","소원나무","2024","9791193207956","","7","","813.8","1","1","2024-12-23",
"33","예뻐지는 약과 보건 선생님","안수민 글 신은경 그림","봄개울","2024","9791190689830","","7","","813.8","1","1","2024-12-23",
"34","사자왕 형제의 모험","아스트리드 린드그렌 지음 일론 비클란트 그림; 김경희 옮김","창비","2021","9788936446734","","7","","859.7","1","1","2024-12-23",
"35","간판 없는 문구점의 기묘한 이야기","소향 글 모차 그림","한솔수북","2024","9791193494790","","7","","813.8","1","1","2024-12-23",
"36","한여름 산타 할머니","박서진 글 고담 그림","바람의아이들","2023","9791162102183","","7","","813.8","1","2","2024-12-23",
"37","해든 분식","동지아 글 윤정주 그림","문학동네","2024","9791141607791","","7","","813.8","1","2","2024-12-23",
"38","아일랜드","김지완 글 경혜원 그림","문학과지성사","2024","9788932043210","","7","","813.8","1","1","2024-12-23",
"39","행운이 구르는 속도 : 김성운 장편동화","김성운 지음 김성라 그림","사계절(사계절출판사)","2024","9791169813341","","7","","813.8","1","2","2024-12-23",
"40","울지 않으면 산타가 올까요 : 공수경 장편동화","공수경 지음 이지오 그림","별숲","2024","9791192370705","","7","","813.8","1","1","2024-12-23",
"41","마법천자문 : 손오공의 한자 대탐험","알에스미디어 글 정수영 그림","아울북","2024","9791171178186","9791171172818","7","64","711.47","1","2","2024-12-23",
"42","마법천자문","유대영 글 정수영 그림","아울북","2023","9791171176458","9791171172818","7","63","711.47","1","2","2024-12-23",
"43","(도슨트 이창용의)미술 대모험","오수민 글 김혜연 그림","Dankkum i(단꿈아이)","2024","9791193031698","9791193031643","7","2","650.4","1","2","2024-12-23",
"44","(정재승의)인간탐구보고서 : 어린이를 위한 뇌과학 프로젝트","정재은 글 김현민 그림","아울북(북이십일 아울북)","2024","9788950969301","9788950983062","7","15","511.1813","1","4","2024-12-23",
"45","(풀수록 똑똑해지는)과학 퀴즈 백과 100","장희서 지음 은옥 그림","보누스","2024","9788964947142","","7","","404","1","3","2024-12-23",
"46","나는야 초등 뉴스왕","임영진...[등]지음","책들의정원","2024","9791164162079","","7","3","070","1","0","2024-12-23",
"47","나는야 초등 뉴스왕","엄월영 지음 마이클 모건 감수","책들의정원","2024","9791164162215","","7","2","070","1","0","2024-12-23",
"48","누군가를 돕고 싶다면 이런 직업!","어맨다 리어먼스 글 엘리스 게이넷 그림; 박훌륭 옮김","한솔수북","2024","9791193494547","","7","","336.24","1","2","2024-12-23",
"49","(채사장의)지대넓얕 : 지적 대화를 위한 넓고 얕은 지식","채사장 마케마케 [공] 글; 정용환 그림","Dolphin Books(돌핀북)","2024","9791193487051","9791197578403","7","11","001.3","1","2","2024-12-23",
"50","열다섯에 곰이라니 : 추정경 장편소설","추정경 지음","다산북스","2022","9791130695723","","4","1","813.6","1","0","2024-12-23",
"51","(#친절하고 #가혹한)심판자들 : 이선주 장편소설","이선주 지음","책폴","2024","9791193162316","","4","","813.6","1","1","2024-12-23",
"52","앤서 = Answer","문경민 지음","김영사","2024","9788934910534","","4","","813.6","1","2","2024-12-23",
"53","다시, 역사의 쓸모 : 합리적이고 품위 있는 선택을 위한 20가지 지혜","최태성 지음","프런트페이지","2024","9791193401217","","0","","911","1","2","2024-12-23",
"54","(프렌즈)런던 = London","이주은 한세라, 이정복 [공] 지음","중앙일보에스","2024","9788927880448","","1","","982.402","1","1","2024-12-23",
"55","소방의 역사 = History of fire fighting : 불과 싸워온 인류사","송병준 지음","부키","2024","9791193528143","","0","","539.99","1","0","2024-12-23",
"56","서랍에 저녁을 넣어 두었다 : 한강 시집","한강 지음","문학과지성사","2021","9788932024639","","0","","811.6","1","2","2024-12-23",
"57","하늘과 땅 식료품점","제임스 맥브라이드 지음 박지민 옮김","미래지향","2024","9791185851303","","0","","843","1","1","2024-12-23",
"58","너무나 정치적인 시골살이 : 망해가는 세계에서 더 나은 삶을 지어내기 위하여","양미 지음","동녘","2024","9788972971443","","0","","522.6","1","0","2024-12-23",
"59","모순 : 양귀자 장편소설","양귀자 지음","쓰다","2013","9788998441012","","0","","813.6","1","2","2024-12-23",
"60","위대한 그의 빛 : 심윤경 장편소설","심윤경 지음","문학동네","2024","9791141601249","","0","","813.6","1","3","2024-12-23",
"61","빌어먹을 어른들의 세계 : 때론 영화 같고, 때론 음악 같은","브래디 미카코 지음 김영현 옮김","다다서재","2024","9791191716337","","0","","338.53","1","1","2024-12-23",
"62","대온실 수리 보고서 : 김금희 장편소설","김금희 지음","창비","2024","9788936439651","","0","","813.6","1","3","2024-12-23",
"63","그때 아이에게 이런 말을 했더라면 : 아이 마음부터 챙겨 주는 다정하고 지혜로운 '부모 언어' 수업","정재영 지음","체인지업(체인지업북스)","2024","9791191378597","","1","","598.1","1","1","2024-12-23",
"64","감정을 안아 주는 말 : 마음을 조절하고 표현하는 말하기 연습","이현아 글 한연진 그림","한빛에듀","2024","9791169212724","","7","","181.7","1","2","2024-12-23",
"65","혼자 해도 프로처럼 잘 만드는 굿즈 제작 비법 : 굿즈 업체별 특징부터 영상 강의까지, 빨간고래의 굿즈 바이블","빨간고래 지음","한빛미디어","2024","9791169212441","","1","","005.56","1","1","2024-12-23",
"66","풍수 부자들 : 운이 모이는 터, 공간, 사람의 비밀","천동희 지음","유노콘텐츠그룹","2024","9791191104998","","0","","188.4","1","0","2024-12-23",
"67","운명이 건네는 호의, Favor : 불안을 통해 운의 흐름을 타는 방법","이서윤 홍주연 지음","후플렉스","2024","9791198890108","","0","","199.1","1","1","2024-12-23",
"68","(플랫폼을 지배하는)조회수의 법칙 : 수익형 콘텐츠를 위한 6단계 SNS 마케팅","게리 바이너척 지음 이지민 옮김","알에이치코리아(RHK)","2024","9788925574493","","0","","326.16","1","0","2024-12-23",
"69","나의 사주명리 : 언젠가 한번은 자신의 힘으로 사주를 풀어 보고 싶은 이들을 위한 안내","현묘 지음","태학사","2022","9791168100985","","0","","188.5","1","3","2024-12-23",
