번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","오늘도 조이풀하게!  : 박산호 장편소설","박산호 지음","책이라는신화","2024","9791198700100","","4","","813.7","1","0","2025-02-13",
"2","골목길의 다이아몬드","김윤진 지음","금성출판사","2025","9788907915832","","7","","813.8","1","0","2025-02-13",
"3","코야옹 상담소의 마송이","정현혜 글","키즈스콜레","2024","9791169942393","","7","","813.8","1","0","2025-02-13",
"4","꽃주머니","이경순 지음","마루비","2024","9791191917390","","7","","813.8","1","0","2025-02-13",
"5","책을 즐기는 101가지 방법","티모테 드 퐁벨 글","작은코도마뱀","2024","9791198186768","","7","","863","1","0","2025-02-13",
"6","겨울을 지나가다  : 조해진 소설","조해진 지음","작가정신","2024","9791160263299","","0","","813.7","1","0","2025-02-13",
"7","선생님의 수상한 결근","이선정 글","마주별","2024","9791191011562","","7","","813.8","1","0","2025-02-12",
"8","(전쟁 없는 세상을 꿈꾸는)난민","조혜숙 글","동아엠앤비","2024","9791163637417","","7","","331","1","0","2025-02-12",
"9","핫스팟을 켜라","김영인 글","책고래","2024","9791165021610","","7","","813.8","1","0","2025-02-12",
"10","우렁 소녀 발 차기","황선애 글","스푼북","2023","9791165814793","","7","","813.7","1","0","2025-02-12",
"11","퓨마의 돌","이조은 글","웅진주니어","2024","9788901277660","","7","","813.6","1","0","2025-02-12",
"12","유리의 집","신미애 글","해와나무","2023","9788962682915","","7","","813.6","1","0","2025-02-12",
"13","백호 소녀 은가비  : 이현아 장편동화","이현아 지음","별숲","2024","9791192370668","","7","","813.8","1","0","2025-02-12",
"14","미래에서 내 짝꿍이 왔다","김보경 글","꿈터","2024","9791167391049","","7","","813.8","1","0","2025-02-12",
"15","식물로 보는 한국사 이야기","신현배 글","동아엠앤비","2024","9791163637431","9791163637424","7","1","911","1","0","2025-02-12",
"16","어쩌면","이원경 글","한그루","2024","9791168671416","","7","","813.8","1","0","2025-02-12",
"17","윌로딘  : 괴물을 사랑한 아이","캐서린 애플게이트 글","가람어린이","2024","9791165182618","","7","","843","1","0","2025-02-12",
"18","(황당하고 기막히고 엉뚱하고 깜찍한) 오리의 뒷마당","울리히 후프 글","아울북(북이십일 아울북)","2023","9791171170937","","7","","853","1","0","2025-02-12",
"19","방학은 재밌다","김영미 글","더공감","2023","9788996682707","","7","","813.8","1","0","2025-02-12",
"20","책방거리 수사대 : 한양풍문기의 진실","고재현 지음","사계절(사계절출판사)","2024","9791169811682","","","","813.8","1","0","2025-02-12",
"21","나 혼자 우주 전쟁","조호재 글","밝은미래","2024","9788965466901","","7","","813.8","1","0","2025-02-12",
"22","눈물 도둑","김태호 글","리틀씨앤톡","2024","9788960981959","","7","","813.8","1","0","2025-02-12",
"23","헤밍웨이와 스노화이트","루카 토르톨리니 글","봄의정원","2025","9791166340680","","","","883","1","1","2025-02-05",
"24","우리가 함께한 시간은","신혜진 글.그림","글로연","2024","9791193279038","","7","","813.7","1","0","2025-02-05",
"25","일어나요, 벤 돌드럼스!","헤더 스미스 글","봄날의곰","2024","9791193912041","","7","","843","1","0","2025-02-05",
"26","무기력 디톡스  = Burnout detox  : 지친 마음에 시동을 거는 마인드 부스팅 수업","윤대현 지음","웅진씽크빅","2024","9788901289328","","0","","189.1","1","2","2025-02-05",
"27","양심  : 호모심비우스","최재천","더클래스","2025","9791199059078","","0","","818","1","2","2025-02-05",
"28","(흔한남매)과학 탐험대","흔한남매 원작","김영사","2024","9788934935193","9788934989554","7","11","408","1","2","2025-02-05",
"29","(흔한남매) 과학 탐험대","흔한남매 원작","주니어김영사","2024","9788934905851","","7","10","404","1","3","2025-02-05",
"30","(흔한남매)과학 탐험대","흔한남매 원작","김영사","2024","9788934946625","9788934989554","7","9","404","1","2","2025-02-05",
"31","(흔한남매) 과학 탐험대","흔한남매 원작","김영사","2024","9788934979814","9788934989554","7","8","404","1","3","2025-02-05",
"32","(흔한남매)과학 탐험대","흔한남매 원작","김영사","2024","9788934944546","9788934989554","7","7","404","1","3","2025-02-05",
"33","(흔한남매)과학 탐험대","흔한남매 원작","주니어김영사","2024","9788934946793","","7","6","404","1","2","2025-02-05",
"34","(흔한남매)과학 탐험대","흔한남매 원작","주니어김영사","2024","9788934940753","","7","5","404","1","2","2025-02-05",
"35","(흔한남매)과학 탐험대","흔한남매 원작","주니어김영사","2023","9788934930549","","7","4","404","1","1","2025-02-05",
"36","(흔한남매)과학 탐험대","흔한남매 원작","주니어김영사","2024","9788934983439","","7","3","404","1","2","2025-02-05",
"37","(흔한남매)과학 탐험대","흔한남매 원작","김영사","2024","9788934980254","9788934989554","7","2","404","1","2","2025-02-05",
"38","(흔한남매)과학 탐험대","흔한남매 원작","김영사","2024","9788934989257","9788934989554","7","1","404","1","1","2025-02-05",
"39","(흔한남매)과학 탐험대","흔한남매 원작","김영사","2024","9788934938224","9788934989554","7","0","404","1","1","2025-02-05",
"40","사라진 포도월  : 임은주 시집","임은주","한국문연","2020","9788961042765","","0","","811.7","1","0","2025-02-05",
"41","반경 2km  : 박정해 소설","박정해 지음","Lia&Jesse(리아앤제시)","2023","9791197702426","","0","","813.7","1","2","2025-02-05",
"42","냉동참치 : 김태은 소설집","김태은 지음","Lia&Jesse(리아앤제시)","2024","9791197702440","","4","","813.7","1","0","2025-02-05",
"43","천 년 집사 백 년 고양이  : 추정경 장편소설","추정경","인플루엔셜","2024","9791168342439","","4","","813.7","1","2","2025-02-05",
"44","너의 오른발은 어디로 가니 ","강석희 [외]지음","돌베개","2024","9791192836973","","4","","813.7","1","0","2025-02-05",
"45","독서의 뇌과학:당신의 뇌를 재설계하는 책 읽기의 힘","가와시마 류타 지음;황미숙 옮김","현대지성","2024","9791139718560","","0","","511.1813","1","2","2024-12-27",
"46","우린 새롭게 나이 들 수 있습니다:30년 정신과 전문의가 들려주는 5060 마음 성장","김녹두 지음","한겨레출판","2024","9791172131661","","0","","591.9","1","1","2024-12-27",
"47","어른의 행복은 조용하다","태수 글","페이지2(page2)","2024","9791169851053","","0","","818","1","2","2024-12-27",
"48","작고 작고 큰:상상력 놀이터·미니어처 세상","타나카 타츠야 지음;권남희 옮김","토토북","2023","9788964964958","","7","","833.8","1","1","2024-12-27",
"49","선거하는 어린이","채봉윤 지음;나오미양 그림","킨더랜드","2024","9791170820727","","7","","344","1","1","2024-12-27",
"50","칙칙팥팥","콩양신쨔오 글;구미 그림;남은숙 옮김","키위북스","2023","9791191748772","","7","","823.7","1","2","2024-12-27",
"51","할머니의 뜰에서","조던 스콧 글;시드니 스미스 그림;김지은 옮김","책읽는곰","2023","9791158364007","","7","","843","1","1","2024-12-27",
"52","큐브","보린 지음","창비교육","2024","9791165702922","","4","","813.7","1","1","2024-12-27",
"53","세상","강경수 지음","창비","2024","9788936429379","","7","","813.8","1","1","2024-12-27",
"54","팥빙수 눈사람 펑펑","나은 지음;보람 그림","창비","2024","9788936448790","","7","1","813.8","1","2","2024-12-27",
"55","나의 인생만사 답사기:유홍준 잡문집","유홍준 지음","창비","2024","9788936480608","","0","","818","1","3","2024-12-27",
"56","자신을 속이지 않는 공부:공자부터 정약용까지, 위대한 스승들의 공부법","박희병 엮고 옮김","창비","2024","9788936480592","","0","","150","1","1","2024-12-27",
"57","산타는 어떻게 굴뚝을 내려갈까?","맥 바넷 글;존 클라센 그림;서남희 옮김","알에이치코리아","2023","9788925576381","","7","","843","1","1","2024-12-27",
"58","마이 가디언","이재문 글;무디 그림","이지북","2024","9791193914519","","7","","813.8","1","2","2024-12-27",
"59","가장 평범한 아픔:모두의 건강권을 찾아서","김명희 지음","이글루","2024","9791198788436","","0","","517.1","1","0","2024-12-27",
"60","베아:이희영 장편소설","이희영 지음","위즈덤하우스","2024","9791171713097","","4","","813.7","1","0","2024-12-27",
"61","반려 요괴","김영주 지음;밤코 그림","위즈덤하우스","2024","9791171712687","9791171712663","7","2","813.8","1","2","2024-12-27",
"62","(빨간내복야코) 안 읽으면 완전 위험한 과학책","빨간내복야코 원작;박종은 글;이영아 그림","위즈덤하우스","2024","9791171712793","","7","1","404","1","2","2024-12-27",
"63","반려 요괴","김영주 글;밤코 그림","위즈덤하우스","2024","9791171712670","9791171712663","7","1","813.8","1","2","2024-12-27",
"64","엄마네 식당","양선영 글·그림","월천상회","2024","9791190352550","","7","","813.8","1","1","2024-12-27",
"65","나무와 강","에런 베커 지음","웅진주니어","2024","9788901289670","","7","","843","1","1","2024-12-27",
"66","첫눈을 기다리는 코딱지 코지:허정윤 그림책","허정윤 지음","웅진주니어","2024","9788901290690","","7","","813.8","1","3","2024-12-27",
"67","동백 호빵:백유연 그림책","백유연 지음","웅진주니어","2024","9788901290706","","7","","813.8","1","1","2024-12-27",
"68","가르마 이발소:모예진 그림책","모예진 지음","웅진주니어","2024","9788901289281","","7","","813.8","1","2","2024-12-27",
"69","오늘, 너에게:최숙희 그림책","최숙희 지음","웅진주니어","2024","9788901287263","","7","","813.8","1","2","2024-12-27",
"70","원하시는 아기를 장바구니에 넣으세요","김보영 [외]지음","우리학교","2024","9791167554215","","4","","813.7","1","1","2024-12-27",
"71","(물리박사 김상욱의) 수상한 연구실","김하연 글;정순규 그림","아울북","2024","9791171171057","","7","5","420.4","1","3","2024-12-27",
"72","벌거벗은 세계사:초등학생이 꼭 알아야 할 필수 세계사","이현희 글;최호정 그림","아울북(북이십일 아울북)","2023","9788950900861","9788950900823","7","4","909","1","2","2024-12-27",
"73","벌거벗은 세계사:초등학생이 꼭 알아야 할 필수 세계사","김우람 글;최호정 그림","아울북(북이십일 아울북)","2022","9788950900854","9788950900823","7","3","909","1","2","2024-12-27",
"74","하늘에서 눈토끼가 내려요!","후이팡 정 글·그림;정미애 옮김","신나는원숭이","2024","9791198912107","","7","","863","1","2","2024-12-27",
"75","왜 우리는 가짜 뉴스에 더 끌릴까:뉴미디어 세대를 위한 자유와 권리, 소통의 철학 이야기","외르크 베르나르디 지음;스테파니 디에롤프 그림;이미옥 옮김","시금치","2024","9791193086155","","4","","070","1","2","2024-12-27",
"76","코드네임 숏컷=Code name short-cut","강경수 글·그림","Sigongsa","2024","9791171257263","","7","","813.8","1","1","2024-12-27",
"77","네모아저씨의 페이퍼 블레이드:디럭스","네모아저씨 이원표 지음","슬로래빗","2024","9791193910047","","","12","634.9","1","2","2024-12-27",
"78","해피버쓰데이:백희나 그림책","백희나 글·그림","Storybowl(스토리보울)","2024","9791198807281","","7","","813.8","1","2","2024-12-27",
"79","어제저녁","백희나 지음","스토리보울","2024","9791198807205","","7","","813.8","1","3","2024-12-27",
"80","지금 사랑한다고 말하세요:당신에게 들려주고 싶은 80가지 짧은 이야기","김창옥 지음","수오서재","2024","9791193238363","","0","","199.1","1","1","2024-12-27",
