번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","별을 접어 봐:서계흥 동시집","서계흥 지음","퍼플","2024","9788924135497","","","","811.8","1","0","2024-12-03",
"2","시니어 실전 스마트폰 가이드:강의현장에서 답을 찾다 (안드로이드폰)","김홍식 지음","퍼플","2024","9788924135480","","","","004.16","1","0","2024-12-03",
"3","똘이와 쎌리와 함께하는 행복:사랑·인연·행복의 기억","박정 지음","퍼플","2024","9788924133998","","","","818","1","0","2024-12-03",
"4","나도 크리에이터 영상 제작하기 파워디렉터 365","임순옥 지음","퍼플","2024","9788924135732","","","","005.567","1","0","2024-12-03",
"5","내 얼굴 찾기:지금은 밝힐 수 없는 이야기","이미숙 지음","퍼플","2024","9788924136234","","","","818","1","0","2024-12-03",
"6","영성공부","이진 지음","퍼플","2024","9788924134209","","","","231","1","0","2024-12-03",
"7","내 아버지의 자화상","신기옥 지음","퍼플","2024","9788924135442","","","","818","1","0","2024-12-03",
"8","수험생을 둔 부모가 꼭 알아야 할 지압:집중력 UP! 성적 UP! 아빠의 특별한 선물","최연욱 지음","퍼플","2024","9788924136180","","","","512.57","1","0","2024-12-03",
"9","퇴직 후, 나를 만나는 시간:잃어버린 시간을 찾아","자유여신50 지음","퍼플","2024","9788924135060","","","","818","1","0","2024-12-03",
"10","휠바람따라 명사심리(名寺心理) 탐방:Again 역사가 살아 숨쉬는 유명 사찰 좌충우돌 탐방기","정월보름 지음","퍼플","2024","9788924135190","","","","226.911","1","0","2024-12-03",
"11","조선왕릉:역사와 사색의 정원","임용환 지음","퍼플","2024","9788924134223","","","","911.05","1","0","2024-12-03",
"12","할머니와 나팔꽃 씨앗:할머니는 어디로 가셨을까요?","황해연 글·그림","퍼플","2024","9788924134407","","","","813.8","1","2","2024-12-03",
"13","퇴직 후 나에게 맞는 일 찾기 13개 도전:청소에서 영어교습까지","실버걸 지음","퍼플","2024","9788924133677","","","","818","1","0","2024-12-03",
"14","일 잘하고 싶은 당신에게","슈에청 지음;하동규 옮김","퍼플","2024","9788924133363","","","","325.211","1","0","2024-12-03",
"15","어두울 때에야 보이는 것들이 있습니다:슈테판 츠바이크의 마지막 수업","슈테판 츠바이크 지음;클라우스 그레브너;폴커 미헬스 [공]엮음;배명자 옮김","다산초당","2024","9791130657462","","0","","854","1","5","2024-11-21",
"16","악인의 서사:수많은 창작물 속 악, 악행, 빌런에 관한 아홉 가지 쟁점","듀나 외 지음","돌고래","2023","9791198380906","","0","","809","1","1","2024-11-21",
"17","바우키스의 말","배수아 외 지음","은행나무","2024","9791167374752","","0","2024","813.7082","1","2","2024-11-21",
"18","몬스터:넬레 노이하우스 장편소설","넬레 노이하우스 지음;전은경 옮김","더난콘텐츠그룹","2024","9791158792244","9791158792220","0","2","853","1","5","2024-11-21",
"19","몬스터:넬레 노이하우스 장편소설","넬레 노이하우스 지음;전은경 옮김","더난콘텐츠그룹","2024","9791158792237","9791158792220","0","1","853","1","4","2024-11-21",
"20","낭만 수의사, 희망을 처방합니다","린리신 지음;차혜정 옮김","모모","2024","9791194293033","","0","","823.7","1","3","2024-11-21",
