번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","(현직 교사가 직접 고른) 생기부 고전 필독서 30","배혜림 지음","데이스타","2024","9791168271937","","4","1","800","1","0","2025-02-28",
"2","나는 AI와 공부한다 :우리가 알고 있는 교육의 종말","살만 칸 지음;박세연 옮김","알에이치코리아(RHK)","2025","9788925574103","","","","370","1","0","2025-02-28",
"3","(명문대 입학을 위해 반드시 읽어야 할) 생기부 고전 필독서 30","김미성 지음","데이스타","2024","9791168272262","","4","4","800","1","0","2025-02-28",
"4","존재하는 모든 것은 사라지지 않는다:우리의 삶을 넘어선 본질에 대한 이야기","제인 로버츠 지음;매건 김 옮김","터닝페이지","2025","9791193650141","","0","","110","1","0","2025-02-28",
"5","(명문대 입학을 위해 반드시 읽어야 할) 생기부 고전 필독서 30","권희린 지음","데이스타","2024","9791168272453","","4","2","800","1","0","2025-02-28",
"6","오늘이 내일이면 좋겠다 :남유하 에세이 ","남유하","사계절","2025","9791169813488","","0","","810","1","0","2025-02-28",
"7","(친구에게 들려주는) 씩씩한 말 ","김종원;그림: 나래","상상아이(상상아카데미)","2024","9791193379424","","7","3","810","1","0","2025-02-28",
"8","당신이 더 귀하다 :아픔의 최전선에서 어느 소방관이 마주한 것들 ","백경 지음","다산북스","2025","9791130660882","","0","","810","1","0","2025-02-28",
"9","국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기 ","나민애 지음","김영사","2024","9788934965404","","1","","590","1","0","2025-02-28",
"10","(명문대 입학을 위해 반드시 읽어야 할) 생기부 고전 필독서 30","홍석균 지음","데이스타","2024","9791168272644","","4","6","800","1","0","2025-02-28",
"11","(명문대 입학을 위해 반드시 읽어야 할) 생기부 고전 필독서 30","박시몽 지음","데이스타","2024","9791168272521","","4","3","800","1","0","2025-02-28",
"12","나라를 위해서 일한다는 거짓말 :한국 공직사회는 왜 그토록 무능해졌는가","노한동 지음","사이드웨이","2025","9791191998375","","","","350","1","0","2025-02-28",
"13","매직필 :기적의 비만 치료제와 살찌지 않는 인간의 탄생 ","요한 하리 지음;이지연 옮김","어크로스","2025","9791167741905","","0","","300","1","0","2025-02-28",
"14","(0세~10세)영어 원서 필독서 100:그림책부터 뉴베리상까지, 아이의 수준과 취향에 맞는 영어책 100권을 한 권에","고은영 지음","센시오","2025","9791166571701","","0","","740","1","0","2025-02-28",
"15","내가 나라서 정말 좋아:단단한 마음을 만드는 다정한 말","김지훤 지음,하꼬방 그림","길벗","2025","9791140714292","","7","","810","1","0","2025-02-28",
"16","(명문대 입학을 위해 반드시 읽어야 할) 생기부 고전 필독서 30","송수연 지음","데이스타","2024","9791168272583","","4","5","800","1","0","2025-02-28",
"17","이야기를 파는 양과자점 달과 나","노무라 미즈키 지음;이은혜 옮김","알토북스","2025","9791198853974","","0","1","830","1","0","2025-02-28",
"18","왜 그들만 부자가 되는가 :부? 격차를 좁히는 진짜 돈의 모습 ","필립 바구스,안드레아스 마르크바르트 지음 ;배진아 옮김","북모먼트","2025","9791193937396","","0","","320","1","0","2025-02-28",
"19","멈출 수 없는 우리","유발 하라리 글;리카르드 루이스 그림;김명주 옮김","주니어김영사","2024","9791194330875","","7","3","900","1","1","2025-02-21",
"20","시간 유전자 ","김혜정 글;인디고 그림","라임","2024","9791194028185","","7","","810","1","1","2025-02-21",
"21","크리스마스 날, 하늘 마을에서 온 택배","김경미 글;김무연 그림","슈크림북","2024","9791198511591","","7","","810","1","1","2025-02-21",
"22","와일드 로봇의 탈출 ","피터 브라운 글·그림;엄혜숙 옮김","거북이북스","2024","9788966072064","","7","2","840","1","1","2025-02-21",
"23","벚꽃 수영장 : 야옹이 수영 교실 2","신현경 글;노예지 그림","인플루엔셜","2024","9791168341753","","7","2","810","1","1","2025-02-21",
"24","해든 분식 ","동지아 글;윤정주 그림","문학동네","2024","9791141607791","","7","52","810","1","1","2025-02-21",
"25","와일드 로봇의 보호","피터 브라운 글·그림;이정희 번역","거북이북스","2024","9788966075102","","7","3","840","1","1","2025-02-21",
"26","해피버쓰데이=Happy birthday:백희나 그림책","백희나 글·그림","Storybowl(스토리보울)","2025","9791198807281","","7","","810","1","1","2025-02-21",
"27","내 멋대로 날짜 뽑기 ","최은옥 글;김무연 그림","김영사","2024","9788934925705","","7","13","810","1","1","2025-02-21",
"28","고양이와 할아버지 10:개성만점 할아버지&시크한 고양이 콤비 4계절 다이어리","네코마키(ms-work) 지음;오경화 옮김","미우(대원씨아이)","2024","9791172889326","","0","10","830","1","1","2025-02-21",
"29","재밌게 걷자! 덕수궁·경희궁","이시우 글;서평화 그림","주니어RHK(주니어랜덤)","2024","9788925574318","","7","3","910","1","0","2025-02-21",
"30","산타 할아버지의 첫 크리스마스 ","맥 바넷 글;시드니 스미스 그림 ;김지은 옮김","책읽는곰","2024","9791158364953","","7","80","870","1","1","2025-02-21",
"31","스스로 공부하는 아이들 :전교 1등 의대생의 초등 공부법 ","임민찬 글;최경식 그림","한국경제신문 한경BP","2024","9788947549851","","7","","810","1","1","2025-02-21",
"32","오무라이스 잼잼:경이로운 일상음식 이야기","조경규 글·그림","송송책방","2025","9791190569866","","0","15","810","1","1","2025-02-14",
"33","사교육 없이 명문대 가는 집공부 전략 :입시 고수맘 노을커피의 압도적 초중등 학습 로드맵 ","신은정 지음","북라이프","2024","9791191013801","","0","","370","1","1","2025-02-14",
"34","AI 2025:트렌드 & 활용백과","김덕진 지음","스마트북스","2025","9791193674185","","0","","300","1","1","2025-02-14",
"35","살아 있는 자들을 위한 죽음 수업","이호","웅진지식하우스","2025","9788901290713","","","","100","1","2","2025-02-14",
"36","당신을 알기 전에는 시 없이도 잘 지냈습니다 ","류시화","수오서재","2024","9791193238493","","0","","810","1","1","2025-02-14",
"37","나는 미국 월배당 ETF로 40대에 은퇴한다 :7천만 원으로 월 2백만 원 받는 연 30% 이상 초고배당의 비밀 ","최영민 지음","지음미디어","2024","9791193780084","","","","320","1","2","2025-02-14",
"38","(급변하는 교육 환경에 불안한 부모를 위한) 2025 대한민국 교육 키워드","방종임,이만기 지음","21세기북스","2024","9791171179329","","0","","370","1","1","2025-02-14",
"39","어떤 어른 :김소영 에세이 ","김소영;표지 및 본문 그림: 임진아","사계절(사계절출판사)","2024","9791169813419","","0","","810","1","1","2025-02-14",
"40","천 번을 흔들리며 아이는 어른이 됩니다 :사춘기 성장 근육을 키우는 뇌·마음 만들기 ","김붕년 지음","21세기북스(북이십일 21세기북스)","2024","9791171178636","","0","","590","1","1","2025-02-14",
"41","말의 힘 :나를 바꾸고 운명을 바꾸는 긍정의 기술 ","윤석금 지음","리더스북","2024","9788901290324","","0","","320","1","1","2025-02-14",
"42","초역 논어 :2500년 고전에서 찾는 인생의 진리","야스토미 아유미 지음;고운기 옮김","레디투다이브","2025","9791198999108","","0","","150","1","2","2025-02-14",
"43","새들이 남쪽으로 가는 날","리사 리드센 지음;손화수 옮김","북파머스","2025","9791193937372","","","","850","1","2","2025-02-14",
"44","이코노미스트 2025 세계대전망","이코노미스트 지음;이고운,이유정,전예진 번역","한국경제신문","2025","9788947549882","","0","","320","1","1","2025-02-14",
"45","모든 시험에 적용되는 33가지 진짜 공부법 :공부 속도를 미친 듯이 올리는 특급 비법 ","연수남 지음","다산북스","2024","9791130660820","","0","","190","1","1","2025-02-14",
"46","나의 인생만사 답사기 :유홍준 잡문집 ","유홍준","창비","2024","9788936480608","","0","","810","1","3","2025-02-07",
"47","세금 내는 아이들의 생생 경제 교실","최재훈 글;최재훈 글;안병현 그림","샌드박스스토리 키즈","2024","9791192504490","","7","3","320","1","1","2025-02-07",
"48","흔한남매","흔한남매 원작;백난도 글;유난희 그림","미래엔아이세움","2024","9791173114038","","7","18","810","1","1","2025-02-07",
"49","린치핀:세상은 이들을 따른다","세스 고딘 지음;윤영삼 옮김","필름(Feelm)","2024","9791193262290","","0","","190","1","3","2025-02-07",
"50","별이 빛나는 고양이 마을","고양이와 스프 원작;히요 글;루체 그림","다산어린이","2024","9791130657950","","7","2","810","1","2","2025-02-07",
"51","아이의 뇌 =A child's brain :뇌과학에서 찾아낸 4가지 양육 원칙 ","김붕년 지음","포레스트북스","2024","9791193506981","","0","","590","1","1","2025-02-07",
"52","일의 감각","조수용 지음","B Media Company","2025","9791193383193","","0","","040","1","2","2025-02-07",
"53","미로 속 아이 :기욤 뮈소 장편소설 ","기욤 뮈소;옮긴이: 양영란","밝은세상","2024","9788984374942","","0","","860","1","2","2025-02-07",
"54","대온실 수리 보고서 :김금희 장편소설 ","김금희 지음","창비","2025","9788936439651","","0","","810","1","2","2025-02-07",
