번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","미리 만나는 1학년  : 봄, 여름, 가을, 겨울, 안전한 생활","서원호","오르트","2017","9791195554942","","7","","375.2","1","0","2025-02-28",
"2","(맛깔나는) 미식인문학 강의","서연하 지음","한국지식문화원","2024","9791171900619","","","","381.7","1","0","2025-02-28",
"3","무단 도움 연구소  : 가짜 편지와 사라진 돈뭉치","주미경 글","문학동네","2023","9788954690522","","7","","813.8","1","0","2025-02-28",
"4","영원의 불꽃 : 닉 클라우드 장편소설","닉 클라우드 저","밥북","2015","9791158580605","","0","","813.7","1","0","2025-02-28",
"5","자아들  : 홍예지 산문집","홍예지 지음","아름다움","2024","9791191304138","","0","","818","1","0","2025-02-28",
"6","사랑을 볼 수 있다면  : 홍예지 미술평론집","홍예지 지음","아름다움","2023","9791191304114","","0","","609.11","1","0","2025-02-28",
"7","그 나무가 궁금해  : 보면서도 모르는 우리 곁의 나무 이야기","원종태 지음","밥북","2024","9791172230265","","0","","485.16","1","0","2025-02-28",
"8","그 맛 쓰다 해도 그리움을 베어 물었다  : 지경숙 시집","지경숙 지음","북산","2022","9791185769554","","0","","811.7","1","0","2025-02-28",
"9","햇살이 마시멜로처럼 늘어지고 달달하게 될 때  : 지경숙 시집","지경숙 지음","토담미디어","2021","9791162491027","","0","","811.7","1","0","2025-02-28",
"10","희박한 공기 속으로","존 크라카우어 지음","민음인","2025","9791170525578","","0","","848","1","0","2025-02-27",
"11","쿠키 두 개  : 이희영 소설","이희영 지음","창비","2025","9788936431532","","4","","813.7","1","0","2025-02-27",
"12","친밀한 사이","케이티 기타무라 지음","문학동네","2025","9791141608934","","0","","843.6","1","0","2025-02-27",
"13","최애의 살인","엔도 가타루 지음","반타","2025","9791194293903","","0","","833.6","1","0","2025-02-27",
"14","우리 집에 왜 왔어?  : 정해연 소설집","정해연 지음","허블","2025","9791193078433","","0","","813.7","1","0","2025-02-27",
"15","리커넥트  = Reconnect  : 누구나 한 번은 혼자가 된다","장재열 지음","저스피스","2025","9791198774798","","0","","189.1","1","0","2025-02-27",
"16","논리의 숲  : 생각의 뿌리를 깊고 단단하게 만드는 34가지 이야기 씨앗","이은경 지음","포레스트북스","2025","9791194530077","","4","","170","1","0","2025-02-27",
"17","내 아이는 조각난 세계를 삽니다  : 돌봄부터 자립까지, 정신질환자와 그 가족이 함께 사는 법","윤서 지음","한겨레출판","2025","9791172132163","","0","","818","1","0","2025-02-27",
"18","꼭 맞는 책  : 한 사람을 위한 책을 고르는 책처방사의 독서법","정지혜 지음","유유","2025","9791167701152","","0","","029.4","1","0","2025-02-27",
"19","그리고 밤은 온다","도노 가이토 지음","빈페이지","2025","9791193873069","","0","","833.6","1","0","2025-02-27",
"20","고상하고 천박하게","김사월","열린책들","2025","9788932924953","","0","","818","1","0","2025-02-27",
"21","스튜디오 지브리 이야기","스즈키 도시오 책임편집","대원씨아이(단행본)","2025","9791142303883","","0","","688.6","1","0","2025-02-27",
"22","이토록 위대한 장  : 장에서 시작하는 건강 혁명","줄리아 엔더스 지음","북라이프","2025","9791191013832","","0","","511.135","1","0","2025-02-27",
"23","(금수저도 인플루언서도 아닌 보통의 사람들을 위한) 부의 공식","스콧 갤러웨이 지음","위즈덤하우스","2025","9791171713233","","0","","327.04","1","0","2025-02-27",
"24","면역 다이어트  : 내 몸의 면역력은 높이고 염증은 줄이고 체질은 바꿔 주는 신개념 다이어트","김사랑 지음","카시오페아","2025","9791168272668","","0","","517.3","1","0","2025-02-27",
"25","(만성염증과 독소 잡는) 쿡언니네 채소 항염식  = Veggi recipe  : 매일 먹는 흔한 채소의 놀라운 힘, 오늘 당장 염증 탈출 레시피 86가지","이재연 지음","레시피팩토리","2025","9791192366470","","1","","594.677","1","0","2025-02-27",
"26","(레시피 읽어주는 여자의) 간단 요리 레시피","레시피 읽어주는 여자 지음","혜지원","2025","9791167640819","","1","","594.5","1","0","2025-02-27",
"27","가짜 건강의 유혹  = Temptation of fake health  : 건강에 대한 정의가 먼저다","빅데이터닥터 지음","행성B(행성비)","2024","9791164712779","","0","","517.3","1","0","2025-02-27",
"28","살육의 과학  = The science of killing  : 무기와 에너지의 과학적 연결고리","지현진 지음","북랩","2025","9791172244668","","0","","559.3","1","0","2025-02-27",
"29","월급 절반을 재테크하라  : 월급만으로 경제적 자유를 이룬 김민식 PD의 부자 수업","김민식 지음","알에이치코리아(RHK)","2025","9788925574004","","0","","327.04","1","0","2025-02-27",
"30","공동 뇌 프로젝트  : 뉴노멀 시대, 융합과 창의성을 위한 미래 역량 교육","김재인 지음","동아시아","2025","9788962626476","","0","","001.3","1","0","2025-02-27",
"31","경계에 선 노동  : 디지털 자본주의와 새로운 노동권의 모색","김철식 지음","파이돈","2025","9791198561992","","9","","321.5","1","0","2025-02-27",
"32","인정받는 노력  : 일을 했으면 성과를 내라","류랑도 지음","다산북스","2025","9791130663128","","0","","325.211","1","0","2025-02-27",
"33","민쩌미","민쩌미 원작","샌드박스네트워크","2023","9791192504346","9791197853883","7","4","813.8","1","0","2025-02-27",
"34","민쩌미","민쩌미 원작","샌드박스네트워크","2023","9791192504025","9791197853883","7","3","813.8","1","0","2025-02-27",
"35","민쩌미","민쩌미 원작","샌드박스네트워크","2022","9791192504094","9791197853883","7","2","813.8","1","0","2025-02-27",
"36","민쩌미","민쩌미 원작","샌드박스네트워크","2022","9791197853890","9791197853883","7","1","813.8","1","0","2025-02-27",
"37","(흔한 남매) 흔한 게임","흔한남매 원작","미래엔아이세움","2025","9791173470660","","7","2","813.8","1","0","2025-02-27",
"38","(큼큼 산신령의) 속담 상담소","곽미영 글","만만한책방","2025","9791189499723","","7","","388.6","1","0","2025-02-27",
"39","코끼리 씨의 다정한 책방","이시원 글·그림","파이디온키즈","2024","9791163074878","","7","","813.8","1","0","2025-02-27",
"40","최강 1학년  : <초등생활처방전> 이서윤 쌤의 당당 초등학생 일기","이서윤 지음","윌북주니어","2025","9791155817964","","7","","375.2","1","0","2025-02-27",
"41","유령 유실물 보관소","고정욱 글","크레용하우스","2025","9791171211623","","7","","813.8","1","0","2025-02-27",
"42","오직 하나뿐인","나현정 지음","길벗어린이","2025","9788955827903","","7","","813.8","1","0","2025-02-27",
"43","오늘부터 다정하게 독고빌라","신영은 글","그린북","2025","9788955884937","","7","","813.8","1","0","2025-02-27",
"44","소맥거핀의 인체 친구들","소맥거핀 원작","위즈덤하우스","2024","9791171712946","9791171712458","7","2","511.1","1","0","2025-02-27",
"45","소맥거핀의 인체 친구들","소맥거핀 원작","위즈덤하우스","2024","9791171712465","9791171712458","7","1","511.1","1","0","2025-02-27",
"46","별의 커비  : 디스커버리","다카세 미에 글","해피북스투유","2023","9791164798957","9791164798650","7","2","833.8","1","0","2025-02-27",
"47","별의 커비  : 디스커버리","다카세 미에 글","해피북스투유","2023","9791164798667","9791164798650","7","1","833.8","1","0","2025-02-27",
"48","멍탐정 셜록 본즈  : 사라진 왕관 사건","팀 콜린스 글","사파리","2025","9791169512442","","7","","843","1","0","2025-02-27",
"49","먹방의 고수","주봄 글","북멘토(도서출판)","2025","9788963196305","","7","","813.8","1","0","2025-02-27",
"50","동생이 배송되었습니다","신은영 글","소원나무","2024","9791193207604","","7","","813.8","1","0","2025-02-27",
"51","달과 인어  : 이로, 나의 바다","원산지 글·그림","다산어린이","2025","9791130663111","","7","","813.8","1","0","2025-02-27",
"52","다판다 편의점","강효미 글","다산어린이","2025","9791130662985","","7","1","813.8","1","0","2025-02-27",
"53","느림보 챔피언 허달미","정연철 글","천개의바람","2025","9791165736088","","7","","813.8","1","0","2025-02-27",
"54","너도 고민이 있니?","천유링 글·그림","나무의말","2025","9791198860521","","7","","823.7","1","0","2025-02-27",
"55","내 엉덩이는 내가 책임진다","강정연 글","다산어린이","2025","9791130663258","","7","","813.8","1","0","2025-02-27",
"56","거짓말","다니카와 ?타로 시","나무말미","2025","9791191827538","","7","","831","1","0","2025-02-27",
"57","감정 서커스  : 내 그림자와 마주하는 곳","리디아 브란코비치 글·그림","책읽는곰","2025","9791158365141","","7","","843","1","0","2025-02-27",
"58","팝콘 밥","마랑케 링크 글","판퍼블리싱","2025","9791198898661","","7","2","859.31","1","0","2025-02-27",
"59","팝콘 밥","마랑케 링크 글","판퍼블리싱","2025","9791198898654","","7","1","859.31","1","0","2025-02-27",
"60","그리스 로마 신화","김정욱 글","아울북","2025","9791171174256","","7","43","219.2","1","0","2025-02-27",
"61","우리, 나이 드는 존재  : 멋진 주름을 만들어 가는 여자들","고금숙 [외]지음","휴머니스트","2025","9791170872580","","0","","818","1","0","2025-02-20",
"62","어쩌다 강남역 분식집","윤진선 지음","프롬북스","2025","9791194550013","","0","","818","1","0","2025-02-20",
"63","실재론의 부상  : 마누엘 데란다&그레이엄 하먼 대담","마누엘 데란다","갈무리","2025","9788961953733","","9","","136.1","1","0","2025-02-20",
"64","시간의 계곡  : 스콧 알렉산더 하워드 장편소설","스콧 알렉산더 하워드 지음","다산책방","2025","9791130662596","","0","","843.6","1","0","2025-02-20",
"65","수어가 나에게 괜찮다고 말했다","위소 글&그림","동치미","2025","9791197162060","","0","","818","1","1","2025-02-20",
"66","소뵈르 박사의 상담 일지  : 햄스터와 저주 인형","마리 오드 뮈라이으 지음","바람의아이들","2025","9791162102442","","4","","863","1","0","2025-02-20",
"67","내가 본 미래  : 완전판","타츠키 료 지음","도토리","2023","9791193070031","","0","","838","1","1","2025-02-20",
"68","나는 배달맨 아빠입니다  : 세상 모든 아빠들을 위한 책","김도현 지음","바이북스","2025","9791158773885","","0","","818","1","0","2025-02-20",
"69","(아이의 행동이 저절로 바뀌는) 훈육의 정석  : 뇌과학이 알려주는 세상에서 가장 쉬운 육아법","김보경 지음","빅피시","2025","9791194033523","","0","","598.1","1","0","2025-02-20",
"70","식욕혁명  : 맛은 즐기고 칼로리는 낮추는 비밀","레이첼 허즈 지음","인라우드","2025","9791192373904","","0","","181.24","1","0","2025-02-20",
"71","양자역학의 역사  : 아주 작은 것들에 담긴 가장 거대한 드라마","데이비드 카이저 지음","동아시아","2025","9788962626391","","0","","420.13","1","0","2025-02-20",
"72","해장국으로 날아가는 비행접시  = Unidentified object flying to the hangover soup  : 곽재식 연편집","곽재식 지음","구픽","2025","9791193367100","","0","","813.7","1","1","2025-02-20",
"73","플랫폼 자본과 노동  : 플랫폼 알고리즘 그림자 노동 저항, 조직화, 제도화","김상준 [외]지음","책과나무","2025","9791167525352","","0","","321.54","1","0","2025-02-20",
"74","의료재난의 시대  : 우리는 왜 공공의료를 외치는가","나백주","히포크라테스","2025","9791193690062","","0","","517.1","1","0","2025-02-20",
"75","유리를 삼키면 투명해질까  : 섭식장애와 함께 살아가는 다섯 명의 목소리","이진솔 지음","우리학교","2025","9791167553171","","4","","513.852604","1","0","2025-02-20",
"76","세계 에너지 패권 전쟁  : 자원이 지배하는 새로운 부의 질서","양수영 지음","다산북스","2025","9791130688817","","0","","321.3","1","0","2025-02-20",
"77","타인에게 휘둘리지 않는 나를 위해  : 철학에게 일상을 묻다","에두아르도 인판테 지음","다봄","2025","9791194148265","","4","","100","1","0","2025-02-20",
"78","악마와 함께 춤을  : 시기, 질투, 분노는 어떻게 삶의 거름이 되는가","크리스타 K. 토마슨 지음","흐름출판","2024","9788965966814","","0","","181.7","1","0","2025-02-20",
"79","리더의 질문력  : 어떻게 진짜 일을 시작할 것인가","마이클 번게이 스태니어 지음","리더스북","2025","9788901292496","","0","","325.24","1","0","2025-02-20",
"80","뇌는 어떻게 성공하는가  : 내 생각과 행동을 바꾸는 집파리 효과","에바 반 덴 브룩","매일경제신문사","2025","9791164847471","","0","","181.8","1","0","2025-02-20",
"81","(흔한남매) 별난 세계 여행","흔한남매 원작","미래엔아이세움","2025","9791173470615","","7","4","980.24","1","1","2025-02-20",
"82","학교 가기 전날","김여진 글","상상아이(상상아카데미)","2025","9791193379486","","7","","813.8","1","0","2025-02-20",
"83","이안의 특별한 모험","박보영 글","오늘책","2024","9791169942539","","7","","813.8","1","0","2025-02-20",
"84","유치원 버스를 타고","김영진 지음","길벗어린이","2025","9788955827866","","7","","813.8","1","0","2025-02-20",
"85","위풍당당 여우 꼬리","손원평 글","창비","2025","9788936448844","","7","6","813.8","1","1","2025-02-20",
"86","옥수수의 변신 미용실","우에가키 아유코 글·그림","시공주니어","2025","9791171257874","","7","","833.8","1","0","2025-02-20",
"87","어젯밤에 누가 다녀갔을까?","안드레아 안티노리 지음","봄볕","2025","9791193150535","","7","","883","1","0","2025-02-20",
"88","어느 날 문이 사라졌다","김은영 글","문학동네","2025","9791141608880","","7","","813.8","1","1","2025-02-20",
"89","안개 너머 신기한 마을","가시와바 사치코 글","한빛에듀","2025","9791169213332","","7","","833.8","1","1","2025-02-20",
"90","(설민석의) 우리 고전 대모험","설민석","단꿈아이","2024","9791193031445","","7","4","813.5","1","1","2025-02-20",
"91","별의 커비  : 푸푸푸 히어로","아오키 케이","다산어린이","2024","9791130653242","","7","5","833.8","1","1","2025-02-20",
"92","별의 커비  : 푸푸푸 히어로","아오키 케이","다산어린이","2024","9791130652399","","7","4","833.8","1","1","2025-02-20",
