번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","(맛있고, 재밌고, 독특한)전 세계의 시장","마리야 바하레바 글 안나 데스니츠카야 그림; 최현아 옮김","주니어RHK(주니어랜덤)","2024","9788925574400","","7","","980.2","1","3","2025-01-02",
"2","크리스마스 전날 밤","클레멘트 클라크 무어 지음 로저 뒤바젱 그림; 정화진 옮김","미디어창비","2024","9791193022795","","7","","843","1","2","2025-01-02",
"3","초코초코 초코해!","한라경 지음 서영 그림","토끼섬","2024","9791198578082","","7","","375.1","1","1","2025-01-02",
"4","천둥 꼬마 선녀 번개 꼬마 선녀","한강 글 진선미 그림","문학동네","2007","9788954602792","","7","","813.8","1","4","2025-01-02",
"5","조금만 기다려 : 기다림 끝에 만나게 되는 경이로운 자연의 이야기","레이첼 윌리엄스 지음 리어니 로드 그림; 이원경 옮김","아이스크림미디어","2024","9791159292521","","7","","404","1","2","2025-01-02",
"6","지옥 고양이","이지 지음","페이퍼독","2024","9791197931642","","7","","813.8","1","3","2025-01-02",
"7","안녕, 나는 태양이야! : 수많은 별들 중 하나, 태양 이야기","스테이시 매카널티 글 스티비 루이스 그림; 최순희 옮김","현암사","2020","9788932374963","","7","","443","1","4","2025-01-02",
"8","안녕, 나는 지구야! : 45억 4천만 년 지구 이야기","스테이시 매카널티 글 데이비드 리치필드 그림; 최순희 옮김","현암사","2018","9788932374642","","7","","443","1","2","2025-01-02",
"9","안녕, 나는 명왕성이야! : 행성이 아니면 뭐 어때?","스테이시 매카널티 글 스티비 루이스 그림; 최순희 옮김","현암사","2023","9788932375939","","7","","443","1","3","2025-01-02",
"10","마마레인저","박지선 글 박소연 그림","발견","2024","9791164635016","","7","","813.8","1","5","2025-01-02",
"11","똑똑똑! 집 지으러 왔어요","군타 슈닙케 글 안나 바이바레 그림; 박여원 옮김","미래M&B","2024","9788983949691","","7","","540","1","5","2025-01-02",
"12","동백 호빵 : 백유연 그림책","백유연 지음","웅진주니어","2024","9788901290706","","7","","813.8","1","4","2025-01-02",
"13","구름관찰자를 위한 그림책","개빈 프레터피니 글 윌리엄 그릴 그림; 김성훈 옮김","김영사","2024","9788934933922","","0","","453.76","1","1","2025-01-02",
"14","(흔한남매)과학 탐험대","흔한남매 원작 김언정, 송은경 글; 임혜영 그림","주니어김영사","2024","9791194330592","","7","12","404","1","2","2025-01-02",
"15","해피버쓰데이 : 백희나 그림책","백희나 지음","Storybowl(스토리보울)","2024","9791198807281","","7","","813.8","1","3","2025-01-02",
"16","학교가 싫을 때는 어떻게 해요?","이성엽 글 신현정 그림","자음과모음","2024","9788954451543","","7","","375.2","1","3","2025-01-02",
"17","컴퓨터에게 패턴을 가르쳐! : 규칙 찾기","김성화 권수진 [공]글; 이고은 그림","와이즈만 Books","2024","9791192936451","","7","","410","1","2","2025-01-02",
"18","(최재천의)동물대탐험","황혜영 글 박현미 그림","다산어린이","2024","9791130659091","","7","7","491.508","1","3","2025-01-02",
"19","(최재천의)동물대탐험","황혜영 글 박현미 그림","다산북스","2024","9791130654676","9791130694252","7","6","491.508","1","2","2025-01-02",
"20","재밌게 걷자! 창덕궁·창경궁","이시우 글 서평화 그림","알에이치코리아","2024","9788925574905","","7","","911","1","3","2025-01-02",
"21","재밌게 걷자! 덕수궁·경희궁","이시우 글 서평화 그림","주니어RHK(주니어랜덤)","2024","9788925574318","","7","","911","1","2","2025-01-02",
"22","자전거 도둑 : 박완서 단편집","박완서 글 한병호 그림","다림","2011","9788987721217","","7","","813.8","1","1","2025-01-02",
"23","이웃집 빙허각 : 채은하 장편동화","채은하 지음 박재인 그림","창비","2024","9788936443405","","7","","808.9","1","2","2025-01-02",
"24","이상한 과자 가게 전천당, 행운의 갈림길","히로시마 레이코 글 쟈쟈 그림; 김정화 옮김","길벗스쿨","2024","9791164068692","","7","1","833.8","1","3","2025-01-02",
"25","윔피 키드","제프 키니 글·그림 지혜연 옮김","미래엔아이세움","2024","9791173113772","","7","19","843","1","3","2025-01-02",
"26","우리 옆에 4차원이 있다! : 차원","김성화 권수진 [공]글; 감혜숙 그림","와이즈만 Books","2024","9791192936468","","7","","410","1","2","2025-01-02",
"27","암행어사 박아지","천효정 지음 호산 그림","비룡소","2024","9788949143019","","7","1","813.8","1","4","2025-01-02",
"28","아들 사춘기 대 갱년기","제성은 글 이승연 그림","개암나무","2024","9788968308512","","7","","813.8","1","3","2025-01-02",
"29","수상한 옆집","박현숙 지음 유영주 그림","북멘토(도서출판)","2024","9788963196176","","7","","813.8","1","3","2025-01-02",
"30","(설민석의)한국사 대모험","설민석 남이담 [공]글; 정현희 그림","단꿈아이","2024","9791193031742","","7","31","911","1","2","2025-01-02",
"31","별점 반장 나우주","이나영 지음 유시연 그림","우리학교","2024","9791167552952","","7","","813.8","1","3","2025-01-02",
"32","변비 탐정 실룩","이나영 글 박소연 그림","북스그라운드","2024","9791168342422","","7","4","813.8","1","5","2025-01-02",
"33","벌거벗은 한국사 : 초등학생이 꼭 알아야 할 필수 한국사","윤진숙 글 이효실 그림","아울북(북이십일 아울북)","2024","9788950943042","9788950942984","7","6","911","1","4","2025-01-02",
"34","벌거벗은 한국사","박선주 글 이효실 그림","아울북(북이십일 아울북)","2024","9788950943035","9788950942984","7","5","911","1","3","2025-01-02",
"35","밥상의 역사","금현진 글 이새미 그림","다림","2024","9788961773454","","7","","594.09","1","2","2025-01-02",
"36","반짝이는 돌 씨글라스","이선 글·그림","푸른숲주니어","2024","9791172545154","","7","","813.8","1","3","2025-01-02",
"37","(물리박사 김상욱의)수상한 연구실","김하연 글 정순규 그림","아울북","2024","9791171171057","","7","5","420","1","2","2025-01-02",
